tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,713.122,0,7998.32,0,101417,0,1599.78,0
20,0,341.031,0,3807.68,0,48134.6,0,759.689,0
40,0,183.526,0,2070.25,0,26156.4,0,418.621,0
60,0,118.807,0,1346.09,0,16972.3,0,277.797,0
80,0,89.1044,0,1012.35,0,11956.4,0,214.113,0
100,0,66.7424,0,758.592,0,9496.05,0,165.072,0
120,0,51.1735,0,581.08,0,7239.28,0,131.816,0
140,0,39.7994,0,450.986,0,5589.26,0,105.494,0
160,0,31.3528,0,355.224,0,4359.94,0,88.4927,0
180,0,24.9415,0,284.005,0,3430.28,0,77.1978,0
200,0,19.2761,0,219.99,0,2590.9,0,65.3665,0
220,0,15.5831,0,179.411,0,2030.61,0,60.786,0
240,0,12.93,0,148.47,0,1535.04,0,56.646,0
260,0,10.6765,0,123.951,0,1229.39,0,52.7498,0
280,0,10.492,0,122.735,0,1049.32,0,57.7199,0
300,0,9.05022,0,106.8,0,839.098,0,54.9992,0
320,0,7.86485,0,93.4743,0,685.013,0,51.0214,0
340,0,6.88657,0,83.8788,0,565.451,0,48.8458,0
360,0,7.03973,0,84.8193,0,528.594,0,49.2695,0
380,0,6.00071,0,74.4398,0,440.049,0,46.5376,0
400,0,5.85306,0,76.5496,0,435.886,0,49.5176,0
420,0,5.14667,0,69.6067,0,397.573,0,47.8967,0
440,0,4.06763,0,57.7586,0,332.513,0,41.5589,0
460,0,4.18587,0,60.4036,0,341.778,0,43.4219,0
480,0,4.39342,0,65.1617,0,363.501,0,45.6966,0
500,0,3.8738,0,59.7684,0,337.762,0,42.9877,0
520,0,2.99062,0,49.6376,0,306.586,0,39.9901,0
540,0,2.76649,0,47.9022,0,299.853,0,38.7506,0
560,0,3.03184,0,53.7875,0,341.058,0,42.6686,0
580,0,2.58195,0,47.8236,0,311.629,0,38.9943,0
600,0,3.33361,0,60.3742,0,379.599,0,46.0706,0
620,0,3.0433,0,57.4383,0,366.208,0,43.9629,0
640,0,2.68713,0,51.9755,0,348.287,0,42.0635,0
660,0,2.61782,0,50.3388,0,343.829,0,40.9288,0
680,0,2.31995,0,48.2547,0,333.728,0,38.9923,0
700,0,2.42352,0,51.6017,0,361.291,0,40.9111,0
720,0,2.26616,0,47.0888,0,335.473,0,38.7103,0
740,0,2.56622,0,52.7453,0,381.22,0,42.6467,0
760,0,2.55503,0,49.0117,0,349.084,0,38.8975,0
780,0,2.99316,0,55.6304,0,408.43,0,44.2104,0
800,0,2.92253,0,47.1957,0,354.21,0,39.3201,0
820,0,2.95268,0,51.147,0,394.545,0,42.536,0
840,0,3.64426,0,59.8421,0,460.841,0,47.2739,0
860,0,4.50273,0,60.0406,0,443.372,0,45.9752,0
880,0,4.43494,0,62.0423,0,479.551,0,47.7867,0
900,0,4.41913,0,62.2992,0,497.834,0,50.3665,0
920,0,4.64058,0,59.9733,0,466.237,0,47.4835,0
940,0,4.9097,0,58.7411,0,461.337,0,47.0023,0
960,0,6.30188,0,68.4675,0,534.027,0,52.4756,0
980,0,5.62033,0,63.5566,0,501.33,0,50.0847,0
1000,0,6.79711,0,78.762,0,638.111,0,63.3275,0
1020,0,4.62205,0,61.3026,0,479.375,0,49.691,0
1040,0,6.56766,0,67.3685,0,544.792,0,55.9326,0
1060,0,6.70704,0,67.6427,0,560.687,0,57.9681,0
1080,0,6.01437,0,69.3646,0,618.419,0,62.4692,0
1100,0,6.22816,0,70.7344,0,618.301,0,63.2336,0
1120,0,6.53525,0,66.5584,0,574.423,0,59.0746,0
