tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,727.035,0,8049.27,0,101366,0,1592.53,0
20,0,340.927,0,3818.97,0,48230.8,0,757.192,0
40,0,186.796,0,2119.07,0,26793.6,0,424.961,0
60,0,111.124,0,1279.98,0,16157.4,0,260.165,0
80,0,83.0166,0,960.09,0,12079,0,199.397,0
100,0,59.6659,0,692.138,0,8671.72,0,147.2,0
120,0,48.6199,0,566.294,0,7049.09,0,124.27,0
140,0,36.5898,0,427.377,0,5276.72,0,97.6413,0
160,0,26.6658,0,314.038,0,3839.53,0,75.2619,0
180,0,20.9702,0,251.095,0,2978.93,0,66.8091,0
200,0,16.3626,0,199.163,0,2297.08,0,58.021,0
220,0,12.7754,0,158.461,0,1750.78,0,51.6516,0
240,0,10.5225,0,134.095,0,1395.63,0,50.3317,0
260,0,8.83208,0,114.296,0,1116.2,0,46.5193,0
280,0,7.35454,0,98.3439,0,885.633,0,46.4938,0
300,0,6.30874,0,85.3528,0,706.327,0,47.6068,0
320,0,4.71594,0,70.0689,0,576.491,0,44.6364,0
340,0,4.54483,0,65.9841,0,510.675,0,46.1978,0
360,0,4.5046,0,65.7594,0,504.259,0,51.8167,0
380,0,3.698,0,55.3332,0,428.156,0,49.2176,0
400,0,3.58511,0,52.7873,0,401.816,0,50.1424,0
420,0,3.23445,0,50.2513,0,385.787,0,49.5703,0
440,0,3.09558,0,50.2662,0,404.559,0,55.8489,0
460,0,2.40888,0,43.3871,0,357.155,0,51.4624,0
480,0,2.16455,0,38.8276,0,331.122,0,48.4343,0
500,0,2.2695,0,44.233,0,384.889,0,56.2742,0
520,0,1.89354,0,39.2052,0,348.345,0,51.3003,0
540,0,1.65995,0,37.7779,0,346.489,0,51.1056,0
560,0,1.72618,0,36.1851,0,319.136,0,46.6664,0
580,0,2.38117,0,42.166,0,361.975,0,52.2223,0
600,0,1.80647,0,36.1956,0,315.19,0,44.4769,0
620,0,2.88007,0,44.9641,0,386.746,0,53.3049,0
640,0,2.89463,0,42.4512,0,358.106,0,48.768,0
660,0,2.20319,0,38.3783,0,348.309,0,47.7817,0
680,0,2.5894,0,39.3257,0,346.208,0,45.3192,0
700,0,3.1064,0,46.7664,0,421.55,0,56.8624,0
720,0,3.29657,0,50.8143,0,455.815,0,60.8255,0
740,0,2.67589,0,43.0644,0,383.764,0,50.6821,0
760,0,3.23231,0,46.5406,0,406.412,0,53.2477,0
780,0,3.51434,0,46.5927,0,405.422,0,53.0492,0
800,0,3.34991,0,47.3611,0,435.482,0,55.4725,0
820,0,3.64091,0,46.6734,0,410.397,0,53.3151,0
840,0,3.73156,0,47.3213,0,433.533,0,55.0748,0
860,0,4.58003,0,52.4243,0,449.762,0,58.1969,0
880,0,5.046,0,52.3642,0,441.495,0,56.9278,0
900,0,5.02995,0,53.7384,0,473.151,0,61.3868,0
920,0,4.60081,0,47.95,0,423.081,0,54.553,0
940,0,4.88438,0,48.4797,0,420.869,0,55.3493,0
960,0,7.24891,0,54.8704,0,418.138,0,53.4407,0
980,0,5.39,0,51.8596,0,476.315,0,62.2194,0
1000,0,5.88167,0,48.8422,0,407.608,0,53.0171,0
1020,0,5.83626,0,49.1069,0,424.886,0,55.1951,0
1040,0,5.83541,0,49.9431,0,459.197,0,61.18,0
1060,0,4.19202,0,40.0622,0,391.506,0,53.1628,0
1080,0,4.42374,0,39.5559,0,377.908,0,51.0632,0
1100,0,4.43748,0,38.5336,0,371.861,0,50.506,0
1120,0,5.07119,0,40.6903,0,385.568,0,51.5146,0
1140,0,4.31338,0,40.4472,0,420.893,0,55.5015,0
1160,0,4.15471,0,38.8038,0,407.399,0,54.8783,0
1180,0,4.3878,0,39.2861,0,396.531,0,52.5707,0
1200,0,4.2261,0,37.5252,0,389.044,0,50.9111,0
1220,0,3.67123,0,35.3322,0,376.365,0,49.0407,0
1240,0,4.03982,0,36.6048,0,389.467,0,50.8326,0
1260,0,3.41787,0,33.1203,0,349.232,0,45.0835,0
1280,0,3.43772,0,33.2928,0,354.303,0,45.7157,0
1300,0,3.17475,0,31.053,0,348.342,0,44.666,0
1320,0,2.9535,0,28.7323,0,319.687,0,40.5249,0
1340,0,2.9581,0,29.6748,0,336.984,0,43.2391,0
1360,0,2.43087,0,26.777,0,321.553,0,40.9162,0
1380,0,2.42118,0,26.9025,0,319.563,0,39.8069,0
1400,0,2.25445,0,25.8816,0,312.556,0,38.7792,0
1420,0,2.38928,0,25.664,0,319.246,0,38.7048,0
1440,0,1.99483,0,23.4449,0,294.741,0,36.1329,0
1460,0,2.06501,0,28.0313,0,351.967,0,42.2007,0
1480,0,1.92045,0,23.1052,0,316.318,0,37.5372,0
1500,0,1.84192,0,24.0915,0,309.225,0,36.4835,0
