tick,9,8,7,6,4,2,5,3,1,0
0,0.15,0.14,0.1,0.19,0.09,0.17,0.08,0.07,0.07,0.13
20,0.07,0.1,0.16,0.08,0.09,0.15,0.1,0.09,0.08,0.11
40,0.13,0.07,0.1,0.07,0.1,0.08,0.09,0.19,0.1,0.05
60,0.14,0.2,0.09,0.09,0.12,0.09,0.12,0.15,0.12,0.08
80,0.13,0.11,0.12,0.08,0.08,0.12,0.1,0.12,0.09,0.11
100,0.05,0.12,0.07,0.09,0.06,0.08,0.06,0.07,0.13,0.13
120,0.06,0.12,0.12,0.06,0.07,0.09,0.14,0.18,0.11,0.13
140,0.13,0.09,0.16,0.1,0.09,0.1,0.07,0.16,0.08,0.09
160,0.13,0.1,0.06,0.11,0.09,0.06,0.11,0.1,0.15,0.12
180,0.07,0.09,0.08,0.05,0.09,0.1,0.09,0.11,0.1,0.12
200,0.1,0.06,0.16,0.12,0.1,0.1,0.13,0.07,0.08,0.09
220,0.13,0.03,0.08,0.11,0.12,0.12,0.09,0.1,0.08,0.06
240,0.12,0.1,0.07,0.09,0.05,0.05,0.09,0.09,0.11,0.16
260,0.16,0.1,0.09,0.08,0.08,0.11,0.18,0.09,0.15,0.16
280,0.07,0.14,0.1,0.1,0.08,0.12,0.1,0.05,0.13,0.12
300,0.2,0.14,0.08,0.12,0.08,0.07,0.12,0.1,0.1,0.17
320,0.09,0.21,0.06,0.1,0.09,0.14,0.13,0.1,0.12,0.23
340,0.12,0.17,0.12,0.1,0.12,0.09,0.06,0.14,0.05,0.19
360,0.08,0.21,0.05,0.08,0.13,0.1,0.14,0.09,0.15,0.19
380,0.08,0.12,0.12,0.08,0.11,0.07,0.09,0.12,0.12,0.14
400,0.05,0.21,0.04,0.16,0.1,0.15,0.07,0.15,0.1,0.22
420,0.05,0.17,0.14,0.09,0.12,0.1,0.13,0.07,0.1,0.11
440,0.1,0.14,0.14,0.09,0.11,0.16,0.1,0.11,0.08,0.19
460,0.11,0.12,0.07,0.06,0.1,0.09,0.11,0.14,0.14,0.2
480,0.09,0.09,0.07,0.12,0.08,0.24,0.06,0.1,0.06,0.14
500,0.12,0.18,0.07,0.09,0.12,0.23,0.11,0.14,0.09,0.13
520,0.08,0.14,0.03,0.11,0.14,0.15,0.11,0.11,0.12,0.09
540,0.1,0.08,0.16,0.1,0.1,0.18,0.13,0.1,0.06,0.12
560,0.12,0.12,0.1,0.12,0.15,0.13,0.07,0.12,0.09,0.07
580,0.11,0.06,0.12,0.1,0.09,0.18,0.08,0.13,0.08,0.12
600,0.1,0.09,0.07,0.11,0.09,0.13,0.1,0.1,0.17,0.1
620,0.12,0.12,0.08,0.1,0.11,0.19,0.14,0.07,0.08,0.07
640,0.06,0.12,0.12,0.08,0.04,0.12,0.11,0.05,0.09,0.12
660,0.11,0.16,0.08,0.12,0.12,0.1,0.08,0.07,0.12,0.12
680,0.06,0.12,0.18,0.1,0.1,0.06,0.1,0.06,0.1,0.09
700,0.15,0.13,0.14,0.09,0.07,0.1,0.15,0.16,0.08,0.12
720,0.16,0.1,0.1,0.13,0.1,0.15,0.14,0.11,0.12,0.08
740,0.1,0.13,0.14,0.07,0.15,0.04,0.14,0.17,0.07,0.08
760,0.06,0.09,0.14,0.12,0.07,0.12,0.21,0.19,0.15,0.15
780,0.14,0.16,0.13,0.17,0.11,0.1,0.12,0.12,0.09,0.11
800,0.08,0.11,0.12,0.17,0.1,0.14,0.18,0.12,0.11,0.07
820,0.2,0.18,0.12,0.18,0.19,0.23,0.22,0.2,0.11,0.07
840,0.12,0.14,0.18,0.17,0.2,0.14,0.16,0.05,0.16,0.12
860,0.13,0.12,0.16,0.16,0.21,0.2,0.23,0.14,0.07,0.17
880,0.21,0.15,0.11,0.14,0.18,0.18,0.24,0.15,0.15,0.13
900,0.17,0.22,0.14,0.34,0.27,0.19,0.16,0.26,0.16,0.15
920,0.23,0.19,0.25,0.31,0.14,0.25,0.19,0.15,0.24,0.2
940,0.23,0.26,0.24,0.3,0.28,0.19,0.25,0.2,0.2,0.22
960,0.15,0.32,0.32,0.3,0.2,0.27,0.26,0.28,0.26,0.18
980,0.15,0.39,0.29,0.27,0.28,0.19,0.29,0.23,0.24,0.16
1000,0.23,0.48,0.42,0.4,0.31,0.26,0.44,0.3,0.42,0.28
1020,0.31,0.41,0.41,0.49,0.33,0.36,0.56,0.44,0.46,0.4
1040,0.4,0.49,0.54,0.58,0.55,0.43,0.52,0.49,0.45,0.5
1060,0.61,0.66,0.5,0.62,0.64,0.53,0.59,0.59,0.6,0.49
1080,0.57,0.64,0.59,0.54,0.61,0.6,0.68,0.69,0.61,0.56
1100,0.63,0.51,0.57,0.6,0.58,0.57,0.62,0.65,0.59,0.57
1120,0.53,0.5,0.64,0.57,0.59,0.59,0.59,0.53,0.7,0.64
1140,0.6,0.5,0.65,0.7,0.65,0.65,0.63,0.58,0.61,0.57
1160,0.66,0.65,0.61,0.66,0.75,0.67,0.71,0.58,0.69,0.64
1180,0.73,0.75,0.68,0.64,0.71,0.6,0.63,0.56,0.72,0.6
1200,0.66,0.67,0.69,0.69,0.71,0.64,0.62,0.67,0.63,0.66
1220,0.7,0.68,0.75,0.67,0.67,0.68,0.73,0.63,0.8,0.85
1240,0.72,0.65,0.74,0.73,0.73,0.74,0.75,0.7,0.76,0.7
1260,0.71,0.66,0.77,0.63,0.77,0.63,0.77,0.72,0.71,0.66
1280,0.7,0.78,0.72,0.72,0.77,0.64,0.72,0.78,0.79,0.68
1300,0.7,0.58,0.71,0.72,0.78,0.71,0.71,0.74,0.79,0.71
1320,0.52,0.79,0.78,0.67,0.82,0.76,0.84,0.77,0.7,0.76
1340,0.8,0.77,0.73,0.79,0.8,0.7,0.78,0.7,0.78,0.77
1360,0.7,0.76,0.65,0.83,0.81,0.63,0.78,0.75,0.78,0.8
1380,0.78,0.82,0.76,0.73,0.78,0.75,0.76,0.73,0.81,0.71
1400,0.8,0.83,0.79,0.81,0.8,0.78,0.81,0.66,0.82,0.84
1420,0.75,0.76,0.81,0.77,0.72,0.79,0.74,0.78,0.75,0.9
1440,0.76,0.77,0.81,0.81,0.75,0.69,0.82,0.76,0.78,0.8
1460,0.78,0.84,0.82,0.79,0.86,0.81,0.8,0.82,0.79,0.81
1480,0.78,0.71,0.81,0.8,0.67,0.65,0.82,0.85,0.86,0.76
1500,0.79,0.81,0.87,0.76,0.86,0.77,0.88,0.84,0.8,0.82
1520,0.85,0.81,0.75,0.82,0.83,0.73,0.76,0.88,0.8,0.86
1540,0.82,0.82,0.85,0.83,0.82,0.78,0.81,0.84,0.8,0.75
1560,0.82,0.88,0.87,0.89,0.86,0.83,0.85,0.87,0.8,0.87
1580,0.81,0.85,0.84,0.79,0.86,0.78,0.78,0.82,0.8,0.81
1600,0.85,0.85,0.83,0.88,0.85,0.69,0.81,0.86,0.85,0.86
1620,0.84,0.86,0.88,0.81,0.85,0.83,0.81,0.8,0.85,0.87
1640,0.8,0.82,0.83,0.9,0.91,0.8,0.89,0.88,0.86,0.82
1660,0.86,0.85,0.89,0.88,0.93,0.73,0.85,0.86,0.88,0.88
1680,0.87,0.91,0.77,0.81,0.89,0.84,0.87,0.84,0.94,0.87
1700,0.83,0.91,0.88,0.86,0.87,0.86,0.84,0.83,0.82,0.92
1720,0.92,0.81,0.87,0.81,0.76,0.87,0.87,0.84,0.84,0.89
1740,0.88,0.87,0.91,0.84,0.89,0.83,0.91,0.81,0.82,0.84
1760,0.9,0.88,0.83,0.92,0.78,0.9,0.87,0.85,0.88,0.88
1780,0.8,0.96,0.81,0.92,0.82,0.86,0.81,0.91,0.89,0.84
1800,0.86,0.87,0.8,0.81,0.88,0.78,0.83,0.9,0.89,0.86
1820,0.85,0.91,0.89,0.89,0.84,0.85,0.89,0.89,0.86,0.87
1840,0.87,0.92,0.91,0.9,0.86,0.83,0.91,0.93,0.9,0.92
1860,0.87,0.86,0.89,0.9,0.88,0.92,0.87,0.88,0.85,0.96
1880,0.9,0.93,0.97,0.91,0.91,0.84,0.93,0.91,0.9,0.93
1900,0.79,0.86,0.82,0.86,0.84,0.82,0.82,0.85,0.89,0.89
1920,0.82,0.88,0.89,0.86,0.81,0.85,0.9,0.95,0.87,0.92
1940,0.81,0.85,0.88,0.9,0.82,0.86,0.88,0.88,0.87,0.92
1960,0.83,0.85,0.77,0.93,0.89,0.88,0.84,0.9,0.87,0.82
1980,0.95,0.86,0.85,0.85,0.9,0.82,0.94,0.89,0.86,0.94
2000,0.94,0.89,0.91,0.88,0.89,0.87,0.89,0.9,0.87,0.92
2020,0.82,0.83,0.86,0.89,0.87,0.9,0.87,0.91,0.88,0.88
2040,0.84,0.87,0.89,0.91,0.8,0.88,0.86,0.87,0.91,0.91
2060,0.87,0.9,0.9,0.89,0.89,0.85,0.89,0.88,0.87,0.85
2080,0.88,0.86,0.89,0.94,0.88,0.81,0.9,0.92,0.88,0.92
2100,0.89,0.92,0.93,0.84,0.93,0.88,0.88,0.81,0.89,0.93
2120,0.88,0.87,0.9,0.89,0.85,0.85,0.83,0.89,0.89,0.89
2140,0.92,0.89,0.9,0.84,0.9,0.94,0.89,0.94,0.88,0.95
2160,0.86,0.87,0.9,0.93,0.93,0.87,0.9,0.86,0.93,0.92
2180,0.91,0.96,0.88,0.86,0.93,0.89,0.9,0.85,0.9,0.88
2200,0.88,0.93,0.92,0.92,0.88,0.91,0.86,0.9,0.89,0.91
2220,0.88,0.96,0.85,0.89,0.96,0.91,0.9,0.94,0.9,0.86
2240,0.87,0.93,0.9,0.9,0.88,0.81,0.93,0.91,0.84,0.83
2260,0.91,0.88,0.9,0.87,0.91,0.8,0.86,0.93,0.93,0.87
2280,0.93,0.9,0.89,0.92,0.83,0.91,0.89,0.87,0.95,0.85
2300,0.9,0.89,0.92,0.88,0.91,0.88,0.92,0.91,0.91,0.92
2320,0.87,0.93,0.88,0.87,0.88,0.87,0.76,0.89,0.93,0.86
2340,0.93,0.84,0.87,0.87,0.9,0.8,0.92,0.93,0.91,0.89
2360,0.97,0.84,0.87,0.89,0.89,0.9,0.83,0.88,0.94,0.9
2380,0.92,0.89,0.92,0.89,0.89,0.81,0.87,0.86,0.81,0.92
2400,0.91,0.93,0.89,0.92,0.97,0.94,0.92,0.86,0.92,0.91
2420,0.87,0.93,0.92,0.85,0.91,0.9,0.95,0.94,0.93,0.84
2440,0.95,0.9,0.88,0.92,0.95,0.86,0.95,0.89,0.93,0.91
2460,0.94,0.93,0.85,0.87,0.91,0.89,0.9,0.87,0.93,0.87
2480,0.81,0.97,0.89,0.94,0.91,0.92,0.85,0.9,0.87,0.87
2500,0.91,0.97,0.92,0.88,0.89,0.92,0.91,0.95,0.92,0.88
2520,0.89,0.91,0.95,0.85,0.94,0.89,0.93,0.89,0.94,0.9
2540,0.9,0.88,0.85,0.93,0.87,0.87,0.92,0.87,0.92,0.9
2560,0.87,0.89,0.87,0.92,0.9,0.86,0.85,0.83,0.89,0.91
2580,0.93,0.93,0.86,0.91,0.89,0.91,0.88,0.9,0.85,0.91
2600,0.9,0.96,0.96,0.91,0.84,0.87,0.9,0.96,0.9,0.92
2620,0.91,0.95,0.91,0.89,0.91,0.92,0.93,0.91,0.9,0.89
2640,0.87,0.86,0.86,0.9,0.87,0.86,0.9,0.94,0.93,0.94
2660,0.9,0.95,0.91,0.91,0.93,0.87,0.9,0.92,0.92,0.9
2680,0.88,0.91,0.9,0.9,0.9,0.88,0.94,0.96,0.88,0.9
2700,0.88,0.9,0.93,0.89,0.94,0.88,0.85,0.89,0.86,0.91
2720,0.97,0.93,0.91,0.94,0.97,0.91,0.94,0.88,0.88,0.93
2740,0.91,0.95,0.91,0.87,0.92,0.87,0.97,0.91,0.94,0.91
2760,0.91,0.93,0.89,0.92,0.97,0.92,0.96,0.95,0.83,0.92
2780,0.88,0.92,0.86,0.95,0.86,0.87,0.9,0.98,0.91,0.88
2800,0.86,0.91,0.95,0.88,0.88,0.89,0.93,0.94,0.94,0.96
2820,0.9,0.88,0.89,0.93,0.94,0.92,0.94,0.92,0.93,0.88
2840,0.93,0.89,0.9,0.93,0.88,0.95,0.92,0.94,0.91,0.96
2860,0.94,0.92,0.88,0.87,0.88,0.89,0.95,0.95,0.92,0.88
2880,0.9,0.94,0.93,0.91,0.92,0.88,0.91,0.89,0.9,0.89
2900,0.9,0.86,0.92,0.93,0.95,0.91,0.93,0.92,0.92,0.94
2920,0.93,0.89,0.95,0.92,0.9,0.93,0.85,0.95,0.86,0.94
2940,0.91,0.94,0.93,0.9,0.97,0.91,0.89,0.95,0.94,0.93
2960,0.95,0.93,0.9,0.94,0.88,0.93,0.89,0.92,0.93,0.91
2980,0.94,0.95,0.93,0.92,0.9,0.95,0.93,0.91,0.94,0.94
3000,0.89,0.9,0.91,0.91,0.86,0.89,0.85,0.96,0.9,0.95
3020,0.88,0.95,0.88,0.97,0.88,0.92,0.89,0.91,0.94,0.96
3040,0.9,0.97,0.88,0.96,0.9,0.94,0.92,0.89,0.93,0.92
3060,0.93,0.94,0.92,0.92,0.91,0.91,0.91,0.88,0.89,0.93
3080,0.91,0.94,0.87,0.91,0.98,0.96,0.91,0.95,0.94,0.92
3100,0.92,0.95,0.94,0.95,0.85,0.96,0.95,0.97,0.94,0.87
3120,0.89,0.96,0.94,0.95,0.93,0.95,0.9,0.93,0.95,0.93
3140,0.86,0.93,0.88,0.93,0.92,0.95,0.94,0.92,0.91,0.94
3160,0.95,0.92,0.91,0.9,0.92,0.93,0.89,0.9,0.94,0.89
3180,0.92,0.93,0.97,0.96,0.97,0.89,0.96,0.93,0.96,0.96
3200,0.9,0.9,0.92,0.94,0.93,0.94,0.97,0.97,0.9,0.95
3220,0.97,0.95,0.93,0.93,0.92,0.89,0.95,0.96,0.9,0.97
3240,0.96,0.92,0.98,0.91,0.91,0.9,0.98,0.94,0.93,0.96
3260,0.95,0.97,0.87,0.96,0.96,0.88,0.94,0.93,0.96,0.97
3280,0.94,0.94,0.89,0.92,0.94,0.91,0.95,0.86,0.91,0.94
3300,0.93,0.89,0.92,0.94,0.97,0.95,0.98,0.93,0.94,0.88
