tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,715.27,0,7998.15,0,101361,0,1592.56,0
20,0,361.509,0,3998.08,0,50578.7,0,792.875,0
40,0,199.706,0,2166.39,0,27356.7,0,430.295,0
60,0,141.284,0,1532.49,0,19327.2,0,305.473,0
80,0,103.896,0,1123.65,0,14162.6,0,224.438,0
100,0,71.5915,0,772.869,0,9730.5,0,155.74,0
120,0,56.9617,0,614.13,0,7726.3,0,124.61,0
140,0,43.4432,0,468.254,0,5881.53,0,96.0728,0
160,0,33.2902,0,358.698,0,4494.53,0,75.1112,0
180,0,24.8196,0,267.771,0,3338.9,0,57.5268,0
200,0,18.9855,0,205.088,0,2546.47,0,45.7007,0
220,0,14.3579,0,155.797,0,1914.52,0,36.5296,0
240,0,11.2896,0,123.654,0,1490.25,0,31.1614,0
260,0,8.27869,0,91.5357,0,1087.8,0,24.9587,0
280,0,6.61721,0,74.3992,0,852.797,0,22.2615,0
300,0,4.99043,0,57.5513,0,646.123,0,19.571,0
320,0,4.4554,0,52.7464,0,561.996,0,20.2069,0
340,0,3.38955,0,41.6238,0,418.115,0,17.8523,0
360,0,2.70301,0,34.1347,0,328.841,0,16.1144,0
380,0,2.39241,0,31.3939,0,280.348,0,16.178,0
400,0,1.93357,0,26.4674,0,222.761,0,15.0024,0
420,0,1.46072,0,21.6249,0,174.182,0,13.775,0
440,0,1.33907,0,20.9476,0,158.015,0,14.0696,0
460,0,1.31492,0,21.2033,0,150.228,0,14.8732,0
480,0,1.08883,0,18.8753,0,130.076,0,13.9215,0
500,0,1.11141,0,19.9118,0,131.916,0,14.8583,0
520,0,1.18881,0,19.7571,0,124.872,0,14.4419,0
540,0,1.0114,0,17.6334,0,112.93,0,13.4207,0
560,0,0.969297,0,16.9931,0,110.499,0,13.3741,0
580,0,1.03499,0,18.5097,0,121.1,0,14.8013,0
600,0,1.02001,0,16.7158,0,107.553,0,13.2314,0
620,0,1.22563,0,18.3002,0,114.948,0,14.0505,0
640,0,1.20939,0,17.9596,0,113.466,0,13.7771,0
660,0,1.18028,0,17.8474,0,117.119,0,14.2743,0
680,0,1.30943,0,18.0351,0,113.398,0,13.5035,0
700,0,1.34917,0,20.5155,0,133.684,0,15.625,0
720,0,1.48299,0,20.6824,0,130.13,0,14.9792,0
740,0,1.60948,0,24.135,0,155.403,0,17.5066,0
760,0,2.00263,0,24.9536,0,148.821,0,16.3651,0
780,0,1.81523,0,23.5008,0,149.527,0,16.4021,0
800,0,2.3019,0,26.7466,0,160.618,0,17.2081,0
820,0,2.42146,0,27.0598,0,163.165,0,17.4993,0
840,0,2.18956,0,25.3314,0,162.428,0,17.6479,0
860,0,2.67804,0,32.0057,0,202.919,0,21.5914,0
880,0,2.99715,0,29.566,0,174.298,0,18.8072,0
900,0,2.92857,0,30.3456,0,180.112,0,19.5117,0
920,0,3.52093,0,32.72,0,190.261,0,20.5185,0
940,0,3.50725,0,34.3027,0,204.967,0,21.9423,0
960,0,3.20086,0,33.7136,0,225.021,0,24.2475,0
980,0,3.96461,0,39.2864,0,245.824,0,26.5401,0
1000,0,4.62112,0,42.2258,0,261.567,0,28.3924,0
1020,0,5.08297,0,46.1782,0,281.786,0,30.8676,0
1040,0,6.99663,0,53.5399,0,277.452,0,30.5458,0
1060,0,7.37634,0,57.5065,0,328.997,0,35.0521,0
1080,0,6.63292,0,52.0338,0,305.158,0,32.9473,0
1100,0,7.35935,0,55.8148,0,350.284,0,37.7859,0
1120,0,7.60345,0,56.6346,0,344.663,0,36.4492,0
1140,0,6.7558,0,51.0017,0,315.54,0,33.7415,0
1160,0,7.97972,0,55.7324,0,310.601,0,34.1659,0
1180,0,7.31789,0,53.8357,0,332.214,0,35.3916,0
1200,0,7.1454,0,53.5337,0,323.448,0,34.1359,0
1220,0,7.28521,0,53.1791,0,314.081,0,33.267,0
1240,0,6.90907,0,52.0382,0,330.185,0,35.1477,0
1260,0,5.61763,0,43.4477,0,299.677,0,32.0858,0
1280,0,5.14353,0,40.5669,0,287.979,0,30.0363,0
1300,0,4.41466,0,36.9395,0,293.919,0,29.0658,0
1320,0,4.52096,0,36.4155,0,291.084,0,29.3484,0
1340,0,4.37872,0,34.0538,0,267.014,0,26.1549,0
1360,0,3.22423,0,28.301,0,262.065,0,27.0456,0
1380,0,3.28963,0,28.1266,0,258.46,0,26.8824,0
1400,0,2.55892,0,24.5018,0,250.455,0,25.1998,0
1420,0,2.38231,0,25.3789,0,260.961,0,26.527,0
1440,0,1.70899,0,21.232,0,219.046,0,20.6958,0
1460,0,1.73018,0,21.904,0,224.19,0,21.6116,0
1480,0,1.48703,0,20.9437,0,225.269,0,20.7574,0
1500,0,1.67916,0,24.1909,0,274.792,0,25.7197,0
1520,0,1.46044,0,21.9291,0,265.431,0,24.3242,0
1540,0,1.37716,0,20.7671,0,237.869,0,22.8588,0
