tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,716.617,0,7992.92,0,101278,0,1596.75,0
20,0,376.295,0,4214.51,0,53381.1,0,846.646,0
40,0,183.83,0,2069.71,0,26191.5,0,417.149,0
60,0,131.121,0,1479.92,0,18729.1,0,298.555,0
80,0,90.8462,0,1028.12,0,13011.4,0,207.583,0
100,0,66.7608,0,757.565,0,9582.88,0,153.391,0
120,0,49.1061,0,558.016,0,7060.86,0,113.076,0
140,0,38.2753,0,435.355,0,5508.85,0,88.2582,0
160,0,29.3135,0,333.664,0,4220.18,0,67.7814,0
180,0,22.4937,0,256.409,0,3240.66,0,52.262,0
200,0,16.9065,0,192.957,0,2436.16,0,39.4628,0
220,0,12.9106,0,147.467,0,1860.85,0,30.2641,0
240,0,10.5574,0,120.667,0,1521.37,0,24.841,0
260,0,7.92079,0,90.6034,0,1140.99,0,18.7523,0
280,0,6.13274,0,70.3921,0,882.892,0,14.7629,0
300,0,5.00215,0,57.4571,0,720.069,0,12.103,0
320,0,3.68575,0,42.5113,0,529.665,0,9.11638,0
340,0,2.94848,0,34.1964,0,422.708,0,7.49341,0
360,0,2.14466,0,25.0621,0,305.654,0,5.65477,0
380,0,1.79812,0,21.2477,0,254.804,0,5.0189,0
400,0,1.31507,0,15.7265,0,184.774,0,3.84589,0
420,0,1.06327,0,13.0856,0,146.014,0,3.4584,0
440,0,0.918399,0,11.3133,0,125.844,0,3.00624,0
460,0,0.764002,0,9.69362,0,96.9496,0,2.82723,0
480,0,0.745568,0,9.4168,0,81.0379,0,2.98364,0
500,0,0.570492,0,7.21299,0,57.313,0,2.35905,0
520,0,0.53085,0,6.61726,0,46.9554,0,2.25499,0
540,0,0.519384,0,6.15764,0,37.7482,0,2.11664,0
560,0,0.406793,0,5.14336,0,31.4854,0,1.84617,0
580,0,0.489474,0,5.62456,0,30.1917,0,1.90381,0
600,0,0.574991,0,6.43981,0,31.697,0,2.23029,0
620,0,0.564777,0,6.19664,0,29.1557,0,2.14133,0
640,0,0.626341,0,6.65115,0,29.6252,0,2.31,0
660,0,0.655405,0,6.78678,0,29.196,0,2.38341,0
680,0,0.565666,0,5.978,0,26.1378,0,2.16416,0
700,0,0.583802,0,5.90343,0,25.382,0,2.12469,0
720,0,0.703622,0,6.83417,0,28.8016,0,2.46704,0
740,0,0.627146,0,6.17853,0,26.7883,0,2.33036,0
760,0,0.977964,0,8.74647,0,34.3304,0,3.05433,0
780,0,0.784891,0,7.27659,0,30.9319,0,2.77533,0
800,0,0.92395,0,8.37424,0,35.3713,0,3.24173,0
820,0,1.03931,0,9.28056,0,39.5351,0,3.65649,0
840,0,1.03002,0,9.11609,0,39.539,0,3.65005,0
860,0,1.07803,0,9.5853,0,42.6129,0,3.99944,0
880,0,1.45484,0,11.973,0,47.677,0,4.51356,0
900,0,1.2579,0,10.1811,0,40.8031,0,3.85164,0
920,0,1.55367,0,12.273,0,49.8975,0,4.80907,0
940,0,1.62859,0,12.7864,0,52.2604,0,5.08108,0
960,0,1.93964,0,14.5928,0,56.4631,0,5.38976,0
980,0,2.19885,0,16.2593,0,61.5208,0,5.85859,0
1000,0,2.127,0,15.8517,0,62.8396,0,6.11447,0
1020,0,2.47133,0,18.0796,0,71.0134,0,7.04,0
1040,0,2.87098,0,20.758,0,81.4851,0,8.12412,0
1060,0,2.9534,0,21.307,0,85.2698,0,8.57789,0
1080,0,2.76618,0,19.8904,0,83.1516,0,8.53798,0
1100,0,2.40635,0,17.5264,0,83.4561,0,8.66493,0
1120,0,3.14282,0,21.8489,0,94.5645,0,9.7243,0
1140,0,3.59641,0,24.5032,0,102.648,0,10.6824,0
1160,0,3.19919,0,21.8597,0,95.3633,0,10.0545,0
1180,0,4.99208,0,33.494,0,136.41,0,14.5301,0
