tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,780.805,0,8677.98,0,109502,0,1722.78,0
20,0,491.686,0,5433.1,0,68591.1,0,1077.27,0
40,0,317.854,0,3469.77,0,43869.4,0,696.767,0
60,0,239.262,0,2612.04,0,33045.9,0,532.346,0
80,0,160.849,0,1760.96,0,22219.2,0,369.474,0
100,0,158.617,0,1738.72,0,21913.4,0,370.223,0
120,0,113.468,0,1243.19,0,15563.8,0,275.929,0
140,0,102.665,0,1124.87,0,13937.3,0,260.313,0
160,0,83.7044,0,917.184,0,11250.5,0,222.367,0
180,0,57.1764,0,627.962,0,7589.12,0,165.131,0
200,0,54.4971,0,599.746,0,7055.97,0,169.087,0
220,0,42.9448,0,474.773,0,5362.92,0,149.753,0
240,0,37.2865,0,411.508,0,4540.18,0,138.66,0
260,0,37.3771,0,411.352,0,4416.75,0,147.884,0
280,0,32.2201,0,356.744,0,3672.35,0,143.162,0
300,0,28.5408,0,319.963,0,3171.87,0,137.903,0
320,0,23.5783,0,261.773,0,2459.86,0,121.917,0
340,0,24.1681,0,271.132,0,2480.12,0,133.39,0
360,0,19.0542,0,216.556,0,1898.86,0,117.928,0
380,0,17.8796,0,205.07,0,1708.24,0,121.21,0
400,0,17.6034,0,198.308,0,1606.7,0,124.578,0
420,0,13.4137,0,155.657,0,1226.24,0,100.41,0
440,0,13.0056,0,155.87,0,1211.23,0,107.72,0
460,0,10.0041,0,127.458,0,994.858,0,96.2682,0
480,0,9.39232,0,130.541,0,951.93,0,95.6459,0
500,0,9.16798,0,120.446,0,878.409,0,89.6923,0
520,0,8.97106,0,117.745,0,835.424,0,86.9791,0
540,0,7.57567,0,105.008,0,732.938,0,78.2191,0
560,0,9.04537,0,123.219,0,852.912,0,90.3969,0
580,0,8.65685,0,118.919,0,829.239,0,88.7421,0
600,0,7.72675,0,111.908,0,794.762,0,84.732,0
620,0,8.6708,0,117.242,0,805.148,0,86.0661,0
640,0,8.74597,0,113.81,0,781.839,0,83.8424,0
660,0,9.01954,0,117.023,0,825.693,0,88.1728,0
680,0,8.34753,0,109.6,0,765.288,0,82.1699,0
700,0,8.26404,0,107.885,0,804.603,0,86.0654,0
720,0,9.01498,0,110.391,0,784.701,0,84.3202,0
740,0,8.68473,0,103.112,0,737.529,0,78.7855,0
760,0,8.55497,0,101.926,0,736.984,0,77.9105,0
780,0,8.52164,0,105.448,0,798.622,0,83.4118,0
800,0,8.01978,0,100.149,0,773.603,0,81.9468,0
820,0,7.11492,0,85.7589,0,659.517,0,70.0344,0
840,0,6.294,0,75.8958,0,582.799,0,63.2125,0
860,0,5.56447,0,67.9921,0,532.171,0,56.8632,0
880,0,4.8319,0,65.9766,0,541.68,0,56.57,0
900,0,5.22446,0,68.1907,0,560.266,0,58.6501,0
920,0,5.65591,0,68.1116,0,558.618,0,57.3332,0
940,0,4.95401,0,60.9268,0,492.525,0,50.1544,0
960,0,4.37476,0,61.4458,0,535.917,0,52.712,0
980,0,4.13786,0,57.4507,0,499.926,0,49.2074,0
1000,0,4.03978,0,55.0954,0,468.068,0,45.9805,0
1020,0,3.55209,0,55.5514,0,489.053,0,47.1618,0
1040,0,3.40895,0,51.9577,0,464.979,0,43.7458,0
1060,0,3.1951,0,48.951,0,437.477,0,41.0532,0
1080,0,3.35781,0,51.488,0,473.004,0,43.2481,0
1100,0,3.2078,0,47.1527,0,432.553,0,39.4951,0
1120,0,3.23959,0,49.3598,0,475.077,0,41.9086,0
1140,0,3.19669,0,49.7382,0,443.665,0,39.3739,0
1160,0,3.05873,0,48.18,0,427.156,0,37.1765,0
1180,0,2.86643,0,45.6968,0,411.432,0,34.3385,0
1200,0,2.75024,0,44.3178,0,397.069,0,33.2521,0
1220,0,2.64888,0,41.025,0,375.643,0,31.7974,0
1240,0,2.81439,0,45.3011,0,426.413,0,34.5311,0
1260,0,2.31825,0,38.6077,0,356.138,0,30.629,0
1280,0,2.4665,0,45.5345,0,451.568,0,36.9474,0
1300,0,2.39975,0,44.1723,0,445.203,0,36.3872,0
1320,0,2.28241,0,41.5564,0,418.77,0,33.6369,0
1340,0,2.34817,0,39.6444,0,391.459,0,31.2042,0
1360,0,2.17957,0,38.226,0,378.553,0,31.5186,0
1380,0,2.1302,0,37.3787,0,379.369,0,30.2586,0
1400,0,2.06964,0,36.2413,0,373.945,0,30.4539,0
1420,0,2.05194,0,34.4663,0,345.275,0,27.8558,0
1440,0,1.97698,0,32.7723,0,331.718,0,27.1015,0
1460,0,2.08723,0,33.0823,0,333.969,0,26.3638,0
1480,0,1.93555,0,31.5453,0,320.446,0,26.1241,0
1500,0,1.89271,0,31.5258,0,333.828,0,26.8428,0
1520,0,2.1578,0,38.6721,0,400.526,0,30.6331,0
1540,0,2.21203,0,38.4331,0,390.854,0,29.2301,0
1560,0,1.78504,0,33.8132,0,347.725,0,27.4877,0
1580,0,1.94612,0,38.0582,0,374.058,0,27.8076,0
1600,0,1.74036,0,37.9532,0,392.827,0,29.2642,0
1620,0,1.70637,0,36.6469,0,381.467,0,28.2666,0
1640,0,1.61165,0,34.7193,0,364.696,0,27.3261,0
1660,0,1.8682,0,36.5351,0,383.251,0,28.5612,0
1680,0,1.69172,0,35.5385,0,376.232,0,27.6053,0
1700,0,1.61561,0,32.4796,0,345.859,0,25.2797,0
1720,0,1.57701,0,30.1197,0,315.685,0,23.7735,0
1740,0,1.56197,0,31.2502,0,333.701,0,25.0119,0
1760,0,1.47461,0,30.1717,0,324.029,0,24.4826,0
1780,0,1.38038,0,27.5755,0,286.582,0,21.805,0
1800,0,1.40792,0,28.7654,0,306.508,0,23.773,0
1820,0,1.37965,0,27.5096,0,293.88,0,22.5039,0
1840,0,1.34392,0,27.8414,0,297.511,0,23.2445,0
1860,0,1.341,0,26.8175,0,283.478,0,21.9586,0
1880,0,1.503,0,30.8852,0,332.101,0,25.4901,0
1900,0,1.47331,0,29.5311,0,309.085,0,23.0302,0
1920,0,1.43864,0,28.5459,0,303.146,0,22.9296,0
1940,0,1.4459,0,29.4244,0,308.303,0,22.9759,0
1960,0,1.38478,0,29.2645,0,302.38,0,22.6777,0
1980,0,1.37221,0,30.4955,0,327.407,0,24.2804,0
2000,0,1.46866,0,30.9283,0,330.53,0,24.6196,0
2020,0,1.38284,0,28.3896,0,290.524,0,21.9025,0
2040,0,1.4009,0,28.0826,0,289.5,0,21.8728,0
2060,0,1.26958,0,27.5621,0,289.054,0,21.922,0
2080,0,1.38578,0,30.1581,0,317.583,0,23.8261,0
2100,0,1.41884,0,29.8094,0,312.369,0,23.6412,0
2120,0,1.33259,0,28.2317,0,298.075,0,22.1104,0
2140,0,1.27273,0,26.555,0,277.127,0,20.1466,0
2160,0,1.35928,0,28.7197,0,300.315,0,22.1613,0
2180,0,1.29988,0,26.5994,0,271.045,0,19.7384,0
2200,0,1.36078,0,26.6539,0,271.095,0,19.4449,0
2220,0,1.29241,0,26.6852,0,281.07,0,20.601,0
2240,0,1.34741,0,26.5142,0,272.147,0,19.861,0
2260,0,1.19823,0,25.4368,0,261.619,0,19.4194,0
2280,0,1.48669,0,29.0929,0,299.252,0,21.0083,0
2300,0,1.36219,0,27.2211,0,288.907,0,20.0697,0
2320,0,1.32302,0,27.5922,0,290.987,0,17.6602,0
2340,0,1.3745,0,28.5264,0,298.538,0,20.7304,0
2360,0,1.33201,0,27.7002,0,280.181,0,19.3664,0
2380,0,1.35943,0,28.8596,0,295.455,0,20.9164,0
2400,0,1.2727,0,27.7864,0,278.408,0,19.7353,0
2420,0,1.25464,0,27.0989,0,273.457,0,19.4763,0
2440,0,1.2349,0,26.9308,0,273.069,0,19.518,0
2460,0,1.22811,0,27.4208,0,279.594,0,19.9038,0
2480,0,1.19744,0,26.2656,0,271.24,0,19.5623,0
2500,0,1.28487,0,27.9951,0,286.95,0,20.5098,0
2520,0,1.1565,0,25.5436,0,260.677,0,18.8864,0
2540,0,1.18634,0,25.0542,0,251.673,0,18.3271,0
2560,0,1.26336,0,25.0933,0,253.313,0,15.1918,0
2580,0,1.06827,0,23.5051,0,242.376,0,17.3082,0
2600,0,1.21702,0,25.3818,0,261.687,0,18.4953,0
2620,0,1.21758,0,24.4713,0,247.325,0,17.3415,0
2640,0,1.15221,0,23.8582,0,246.769,0,17.4871,0
2660,0,1.13089,0,23.0682,0,237.142,0,16.8848,0
2680,0,1.14098,0,23.9254,0,245.68,0,17.5039,0
2700,0,1.16474,0,23.3853,0,229.034,0,16.5717,0
2720,0,1.10674,0,22.8379,0,225.622,0,16.393,0
2740,0,1.13345,0,24.757,0,248.54,0,18.0039,0
2760,0,1.14607,0,24.9728,0,245.798,0,17.725,0
2780,0,1.20505,0,25.5618,0,247.523,0,17.4093,0
2800,0,1.15922,0,24.133,0,235.048,0,16.7323,0
2820,0,1.03132,0,20.5011,0,197.438,0,14.0059,0
2840,0,1.06072,0,21.9457,0,209.252,0,14.9105,0
2860,0,1.0987,0,21.5989,0,211.251,0,15.1292,0
2880,0,1.17821,0,23.0124,0,219.661,0,15.3726,0
2900,0,1.19403,0,24.359,0,235.102,0,16.3832,0
2920,0,1.16552,0,25.216,0,248.224,0,17.684,0
2940,0,1.1505,0,25.4549,0,247.376,0,17.5645,0
2960,0,1.10339,0,23.5928,0,233.92,0,16.3557,0
2980,0,1.06126,0,22.3294,0,224.478,0,15.8728,0
3000,0,1.08302,0,22.4436,0,227.542,0,15.5995,0
3020,0,1.13827,0,23.9028,0,239.434,0,15.9379,0
3040,0,1.03685,0,21.7963,0,213.557,0,14.9497,0
3060,0,1.02114,0,20.758,0,197.637,0,13.8872,0
3080,0,1.12675,0,23.0432,0,217.981,0,15.1758,0
3100,0,1.1321,0,23.0884,0,218.978,0,14.9167,0
3120,0,0.975419,0,21.9576,0,214.249,0,14.3528,0
3140,0,0.876003,0,18.6731,0,177.042,0,11.8444,0
3160,0,1.05387,0,22.8174,0,217.272,0,14.6211,0
3180,0,1.05388,0,22.1154,0,212.325,0,14.6397,0
3200,0,1.03499,0,22.4373,0,218.759,0,15.1534,0
3220,0,1.0019,0,22.15,0,210.468,0,14.3979,0
3240,0,0.977204,0,20.5064,0,198.105,0,13.3298,0
3260,0,1.03133,0,21.9565,0,211.141,0,14.315,0
3280,0,0.968549,0,20.7898,0,200.924,0,13.761,0
3300,0,0.94434,0,20.2627,0,201.581,0,13.6267,0
3320,0,0.962037,0,20.5674,0,201.672,0,13.892,0
3340,0,0.881873,0,18.438,0,180.802,0,12.9635,0
3360,0,0.906817,0,18.7143,0,183.938,0,13.2246,0
3380,0,1.04163,0,21.2778,0,206.473,0,14.4786,0
3400,0,1.02093,0,21.6949,0,211.351,0,14.6388,0
3420,0,0.920164,0,18.8846,0,187.413,0,13.0059,0
3440,0,0.901314,0,18.2933,0,182.023,0,12.5683,0
3460,0,1.05024,0,22.001,0,223.08,0,15.066,0
3480,0,1.00112,0,20.4889,0,202.893,0,13.8836,0
3500,0,0.982596,0,20.4477,0,197.925,0,13.7379,0
3520,0,1.0352,0,20.2785,0,199.56,0,13.722,0
3540,0,0.991844,0,19.3138,0,184.655,0,12.8996,0
3560,0,0.988558,0,18.3831,0,179.117,0,12.2541,0
3580,0,1.23102,0,25.4676,0,237.177,0,15.3637,0
3600,0,1.55893,0,33.1076,0,262.202,0,15.9875,0
3620,0,1.5154,0,35.2874,0,256.126,0,14.5294,0
3640,0,1.8643,0,42.8823,0,291.093,0,15.7596,0
3660,0,2.1141,0,46.1416,0,295.082,0,15.5666,0
3680,0,2.46187,0,54.0121,0,338.468,0,17.5516,0
3700,0,2.54671,0,55.0373,0,336.301,0,17.137,0
3720,0,2.23492,0,48.5899,0,307.574,0,15.9863,0
3740,0,2.27437,0,48.3166,0,295.225,0,15.3416,0
3760,0,2.00278,0,42.1814,0,269.882,0,14.2481,0
3780,0,1.92057,0,40.7027,0,273.803,0,15.1304,0
3800,0,1.54836,0,33.3926,0,234.52,0,13.7889,0
3820,0,1.45448,0,30.2407,0,218.062,0,12.9958,0
3840,0,1.3265,0,28.1253,0,213.337,0,13.0357,0
3860,0,1.37694,0,28.3932,0,228.955,0,14.0396,0
3880,0,1.34051,0,27.3531,0,229.315,0,13.671,0
3900,0,1.27474,0,24.7831,0,214.657,0,13.3545,0
3920,0,1.20255,0,22.0647,0,192.756,0,11.994,0
3940,0,1.20318,0,22.7622,0,210.383,0,13.0536,0
3960,0,1.17347,0,23.0884,0,210.134,0,13.3654,0
3980,0,1.13032,0,22.0385,0,210.683,0,13.5737,0
4000,0,1.15344,0,21.5593,0,205.065,0,13.0874,0
