tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,746.228,0,8346.8,0,105630,0,1669.92,0
20,0,371.049,0,4074.26,0,51569.9,0,818.491,0
40,0,281.898,0,3063.87,0,38731.5,0,622.898,0
60,0,216.197,0,2334.09,0,29437.7,0,485.706,0
80,0,135.238,0,1459.05,0,18295,0,316.536,0
100,0,118.062,0,1270.03,0,15778.2,0,286.626,0
120,0,88.4227,0,954.358,0,11630.7,0,232.619,0
140,0,63.5364,0,689.066,0,8143.72,0,184.048,0
160,0,45.8125,0,502.093,0,5563.09,0,156.656,0
180,0,42.0279,0,464.792,0,4931.33,0,158.989,0
200,0,36.6312,0,413.024,0,4198.41,0,162.398,0
220,0,28.149,0,321.259,0,3244.68,0,140.44,0
240,0,18.7933,0,225.592,0,2112.09,0,113.018,0
260,0,13.9667,0,174.325,0,1577.7,0,103.015,0
280,0,12.5081,0,162.357,0,1358.58,0,102.182,0
300,0,11.5279,0,154.19,0,1231.81,0,105.315,0
320,0,10.7374,0,149.696,0,1139.83,0,110.686,0
340,0,9.56985,0,134.225,0,976.731,0,101.746,0
360,0,9.56186,0,136.406,0,958.137,0,105.787,0
380,0,9.11139,0,132.563,0,902.406,0,104.816,0
400,0,8.98591,0,132.029,0,876.508,0,105.576,0
420,0,9.26802,0,137.186,0,902.721,0,112.561,0
440,0,9.46803,0,137.001,0,896.923,0,115.162,0
460,0,9.29843,0,129.463,0,849.862,0,109.606,0
480,0,10.084,0,134.998,0,847.704,0,109.728,0
500,0,9.62767,0,128.366,0,813.829,0,106.772,0
520,0,9.86316,0,129.195,0,813.788,0,106.844,0
540,0,9.20693,0,116.483,0,741.486,0,97.9868,0
560,0,10.1109,0,123.743,0,764.586,0,99.9808,0
580,0,10.7362,0,125.242,0,757.281,0,97.4855,0
600,0,12.1074,0,129.799,0,764.987,0,95.5266,0
620,0,12.6987,0,129.478,0,754.976,0,93.5514,0
640,0,14.3264,0,136.771,0,778.713,0,95.4841,0
660,0,14.6341,0,133.964,0,739.074,0,89.1563,0
680,0,13.8505,0,122.292,0,682.208,0,81.6465,0
700,0,15.3907,0,136.185,0,734.502,0,87.6804,0
720,0,16.371,0,140.62,0,746.668,0,88.1251,0
740,0,15.6908,0,133.297,0,685.143,0,79.4919,0
760,0,14.9416,0,128.375,0,687.324,0,80.3675,0
780,0,16.7348,0,141.573,0,743.788,0,84.6757,0
800,0,16.6392,0,140.203,0,750.175,0,85.5136,0
820,0,13.3583,0,111.758,0,601.294,0,67.6437,0
840,0,16.009,0,130.42,0,700.903,0,79.2288,0
860,0,13.7624,0,112.344,0,601.282,0,67.8021,0
880,0,13.8208,0,113.711,0,637.044,0,73.8924,0
900,0,13.6008,0,110.502,0,617.185,0,69.3013,0
920,0,13.1002,0,106.058,0,607.017,0,67.2716,0
940,0,13.235,0,108.36,0,616.826,0,69.2578,0
960,0,13.8531,0,112.27,0,621.357,0,69.4152,0
980,0,12.9863,0,105.957,0,611.797,0,67.351,0
1000,0,11.4037,0,96.361,0,589.101,0,65.1256,0
1020,0,10.6343,0,91.7879,0,592.022,0,63.7699,0
1040,0,9.3416,0,81.2869,0,546.233,0,57.4687,0
1060,0,9.4436,0,85.5047,0,617.079,0,65.5146,0
1080,0,8.6667,0,78.1885,0,556.918,0,57.8155,0
1100,0,8.57217,0,75.7107,0,546.505,0,57.2449,0
1120,0,8.02418,0,72.558,0,529.969,0,55.3093,0
1140,0,7.35188,0,70.8654,0,541.867,0,55.771,0
1160,0,6.63469,0,66.8357,0,520.121,0,54.4737,0
1180,0,5.86863,0,64.19,0,528.005,0,55.1549,0
1200,0,5.91278,0,62.2717,0,503.398,0,51.0587,0
1220,0,6.34702,0,62.0678,0,506.889,0,51.2585,0
1240,0,6.81135,0,65.3832,0,570.81,0,57.3841,0
1260,0,5.99037,0,60.5878,0,517.088,0,53.0691,0
1280,0,5.39485,0,57.8385,0,494.828,0,49.5857,0
1300,0,5.53492,0,59.4477,0,528.772,0,52.0198,0
1320,0,5.22143,0,58.1437,0,517.077,0,51.5138,0
1340,0,5.15464,0,56.3928,0,495.835,0,48.9346,0
1360,0,4.89288,0,54.7861,0,490.424,0,47.8862,0
1380,0,4.64786,0,56.3845,0,523.374,0,51.4564,0
1400,0,4.7766,0,57.1103,0,524.493,0,51.9603,0
1420,0,3.90289,0,51.9975,0,469.372,0,47.2705,0
1440,0,4.79231,0,56.5361,0,519.203,0,51.831,0
1460,0,4.15711,0,53.3311,0,489.464,0,49.1367,0
1480,0,4.24729,0,48.5835,0,433.851,0,42.6884,0
1500,0,3.52903,0,47.6915,0,441.313,0,42.0952,0
1520,0,4.30643,0,59.6612,0,540.747,0,50.8164,0
1540,0,4.01148,0,56.3279,0,509.658,0,47.1915,0
1560,0,3.73984,0,51.2211,0,451.588,0,42.7131,0
1580,0,4.18903,0,55.0908,0,488.606,0,46.3797,0
1600,0,3.61828,0,49.8489,0,464.952,0,43.9347,0
1620,0,3.44753,0,50.2197,0,460.427,0,42.7107,0
1640,0,3.63071,0,54.6367,0,491.335,0,47.2122,0
1660,0,3.9669,0,56.4027,0,513.39,0,48.5758,0
1680,0,3.51723,0,52.091,0,477.707,0,44.76,0
1700,0,3.60811,0,52.969,0,469.195,0,43.1555,0
1720,0,3.55248,0,51.4149,0,482.336,0,42.6228,0
1740,0,3.5472,0,49.9678,0,484.275,0,42.6114,0
1760,0,3.37464,0,48.1147,0,433.357,0,39.5624,0
1780,0,3.4941,0,50.0099,0,450.955,0,40.9444,0
1800,0,3.1979,0,47.203,0,441.688,0,39.6878,0
1820,0,3.18307,0,46.7902,0,439.183,0,40.6167,0
1840,0,3.03873,0,44.1024,0,423.565,0,38.901,0
1860,0,3.41601,0,48.1252,0,446.427,0,40.1097,0
1880,0,2.63612,0,39.3436,0,381.248,0,34.404,0
1900,0,2.6014,0,37.2955,0,357.517,0,32.5161,0
1920,0,2.75988,0,39.2744,0,382.363,0,33.4442,0
1940,0,3.17254,0,42.6705,0,404.666,0,36.0781,0
1960,0,2.31408,0,34.56,0,354.052,0,30.8182,0
1980,0,2.36835,0,34.9186,0,342.923,0,30.7268,0
2000,0,2.48461,0,35.654,0,369.53,0,31.4508,0
2020,0,2.59153,0,38.6577,0,379.933,0,32.9987,0
2040,0,2.40269,0,38.3112,0,401.855,0,33.5742,0
2060,0,2.4942,0,39.0324,0,405.141,0,34.2418,0
2080,0,2.31736,0,37.6307,0,390.212,0,31.9446,0
2100,0,2.14181,0,33.9799,0,348.946,0,29.5883,0
2120,0,2.5003,0,40.751,0,443.723,0,34.9189,0
2140,0,2.2486,0,37.7751,0,398.777,0,31.1838,0
2160,0,2.22027,0,37.2915,0,392.366,0,31.1946,0
2180,0,2.18287,0,37.8204,0,376.216,0,30.2403,0
2200,0,2.34938,0,39.6105,0,384.528,0,30.7565,0
2220,0,2.17099,0,36.4502,0,367.242,0,29.1518,0
2240,0,2.07209,0,33.6401,0,332.245,0,27.4978,0
2260,0,1.73001,0,28.7392,0,295.837,0,24.6379,0
2280,0,1.74398,0,30.2126,0,321.636,0,27.0801,0
2300,0,1.73042,0,29.3916,0,311.249,0,26.1429,0
2320,0,1.76751,0,30.2833,0,324.996,0,27.0756,0
2340,0,1.69585,0,27.2346,0,308.316,0,24.4636,0
2360,0,1.87677,0,29.306,0,348.643,0,28.079,0
2380,0,1.69857,0,25.868,0,299.932,0,25.1706,0
2400,0,1.73913,0,26.9089,0,305.235,0,25.1852,0
2420,0,2.17032,0,30.1809,0,331.218,0,26.9678,0
2440,0,1.9606,0,27.1515,0,297.641,0,25.4359,0
2460,0,1.87296,0,25.8046,0,278.203,0,23.544,0
2480,0,1.89135,0,26.8015,0,295.965,0,24.2759,0
2500,0,1.86913,0,28.3111,0,311.961,0,26.0227,0
2520,0,1.69151,0,26.3316,0,312.534,0,25.7236,0
2540,0,1.54005,0,25.9805,0,302.81,0,25.0427,0
2560,0,1.52024,0,25.4416,0,287.029,0,23.7504,0
2580,0,1.5538,0,25.781,0,300.664,0,24.4552,0
2600,0,1.56187,0,26.7421,0,302.056,0,24.2142,0
2620,0,1.64637,0,27.5061,0,315.011,0,24.2101,0
2640,0,1.62422,0,26.3789,0,296.824,0,23.1208,0
2660,0,1.84403,0,28.7809,0,328.849,0,26.8293,0
2680,0,1.90823,0,28.9555,0,336.38,0,26.9899,0
2700,0,2.00852,0,29.9317,0,350.714,0,27.9291,0
2720,0,1.942,0,29.316,0,352.938,0,27.9342,0
2740,0,2.00097,0,30.2468,0,342.896,0,27.3945,0
2760,0,1.84945,0,27.1275,0,318.192,0,25.6853,0
2780,0,1.69922,0,26.6638,0,323.363,0,24.8421,0
2800,0,1.65182,0,25.9979,0,305.785,0,23.3862,0
2820,0,1.55293,0,24.6371,0,297.738,0,22.5397,0
2840,0,1.64204,0,24.2056,0,301.305,0,22.6801,0
2860,0,1.61943,0,22.6052,0,266.266,0,20.1816,0
2880,0,1.53081,0,23.0465,0,277.359,0,20.2256,0
2900,0,1.67214,0,23.5524,0,265.358,0,20.3921,0
2920,0,1.61704,0,23.1703,0,249.841,0,18.6533,0
2940,0,1.64197,0,24.2786,0,268.659,0,19.6181,0
2960,0,1.54715,0,24.2733,0,271.624,0,20.0936,0
2980,0,1.6473,0,27.2479,0,311.374,0,23.298,0
3000,0,1.36226,0,22.2803,0,251.834,0,19.6777,0
3020,0,1.52922,0,28.1616,0,326.975,0,24.139,0
3040,0,1.34424,0,26.1262,0,313.457,0,23.0092,0
3060,0,1.39398,0,26.3389,0,316.406,0,23.5758,0
3080,0,1.32604,0,23.9263,0,297.657,0,21.7694,0
3100,0,1.42004,0,26.6395,0,327.962,0,23.8469,0
3120,0,1.366,0,24.7987,0,307.57,0,22.3493,0
3140,0,1.23937,0,22.7075,0,296.462,0,22.3989,0
3160,0,1.19406,0,20.8403,0,264.609,0,20.1172,0
3180,0,1.37867,0,24.8544,0,324.711,0,23.586,0
3200,0,1.43738,0,24.7364,0,306.855,0,22.5705,0
3220,0,1.48239,0,23.8284,0,287.73,0,21.3648,0
3240,0,1.68121,0,26.5801,0,317.386,0,23.411,0
3260,0,1.57183,0,24.0211,0,288.838,0,21.5694,0
3280,0,1.7133,0,26.0487,0,302.778,0,21.3956,0
3300,0,1.6332,0,24.3909,0,276.855,0,20.1137,0
