tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,734.285,0,8133.07,0,102989,0,1618.91,0
20,0,394.338,0,4291.79,0,54504.3,0,852.539,0
40,0,244.387,0,2633.22,0,33510.5,0,525.934,0
60,0,150.276,0,1602.75,0,20437.3,0,323.289,0
80,0,105.988,0,1127.48,0,14377.8,0,230.004,0
100,0,87.7814,0,933.328,0,11885.8,0,193.019,0
120,0,67.7992,0,720.139,0,9158.47,0,151.329,0
140,0,49.8717,0,529.661,0,6721.48,0,113.604,0
160,0,32.9473,0,350.677,0,4426.33,0,78.4806,0
180,0,26.4706,0,283.387,0,3543.65,0,67.2675,0
200,0,18.3117,0,198.443,0,2436.81,0,51.3675,0
220,0,13.8479,0,151.971,0,1826.46,0,43.0517,0
240,0,9.52614,0,107.285,0,1239.46,0,34.4662,0
260,0,7.70582,0,88.0383,0,996.233,0,30.3816,0
280,0,5.84097,0,70.2507,0,746.542,0,28.1035,0
300,0,5.37302,0,65.4612,0,665.377,0,28.0344,0
320,0,3.65368,0,48.0713,0,443.75,0,23.533,0
340,0,3.17979,0,43.7144,0,366.622,0,23.5336,0
360,0,2.37739,0,37.1823,0,279.832,0,22.7883,0
380,0,2.34788,0,37.5921,0,266.294,0,24.3187,0
400,0,2.38629,0,36.8415,0,235.088,0,24.7689,0
420,0,2.21114,0,35.5399,0,219.482,0,24.2342,0
440,0,2.07344,0,33.8096,0,206.257,0,23.9817,0
460,0,1.75305,0,32.962,0,207.755,0,24.7371,0
480,0,1.91799,0,36.5078,0,231.008,0,27.8024,0
500,0,1.90929,0,36.6862,0,234.885,0,28.7702,0
520,0,1.54998,0,30.1639,0,200.126,0,24.9695,0
540,0,1.34369,0,29.2906,0,202.104,0,25.5325,0
560,0,1.16868,0,28.4132,0,200.761,0,24.8541,0
580,0,1.59347,0,29.4101,0,198.602,0,25.2438,0
600,0,1.47848,0,28.1091,0,190.902,0,23.7242,0
620,0,1.18277,0,24.5547,0,177.633,0,22.2105,0
640,0,1.35675,0,25.3818,0,187.763,0,23.2148,0
660,0,1.34457,0,25.3755,0,193.638,0,23.6488,0
680,0,1.63915,0,28.4671,0,223.024,0,26.6609,0
700,0,1.54962,0,26.89,0,219.56,0,26.2139,0
720,0,1.70359,0,27.9977,0,228.655,0,27.4659,0
740,0,1.7137,0,27.1675,0,227.202,0,27.6742,0
760,0,2.20555,0,28.3738,0,217.803,0,26.0006,0
780,0,2.13193,0,27.681,0,219.321,0,26.3107,0
800,0,2.74288,0,32.126,0,245.943,0,28.5286,0
820,0,3.51123,0,32.7802,0,226.065,0,26.4439,0
840,0,3.00932,0,31.9188,0,247.471,0,29.6116,0
860,0,3.52929,0,37.8648,0,295.79,0,34.9275,0
880,0,4.08056,0,39.748,0,298.672,0,35.4175,0
900,0,4.50911,0,42.8558,0,334.37,0,38.2992,0
920,0,4.9629,0,43.9507,0,328.065,0,38.2265,0
940,0,5.05305,0,45.5854,0,347.005,0,39.7406,0
960,0,5.97937,0,49.6546,0,354.211,0,40.2869,0
980,0,7.28793,0,57.0704,0,407.372,0,45.2168,0
1000,0,7.55613,0,57.6745,0,386.542,0,42.4914,0
1020,0,6.80626,0,54.0995,0,393.131,0,44.0008,0
1040,0,8.12628,0,61.9043,0,431.65,0,47.924,0
1060,0,7.0825,0,54.8962,0,389.345,0,42.8444,0
1080,0,6.75796,0,52.4272,0,402.506,0,42.149,0
1100,0,6.12957,0,50.9624,0,430.16,0,44.0012,0
1120,0,5.27109,0,45.7623,0,418.931,0,43.3407,0
1140,0,4.75173,0,42.2399,0,392.775,0,40.9598,0
1160,0,3.94462,0,36.3451,0,379.687,0,38.2691,0
1180,0,3.39892,0,36.7901,0,379.314,0,37.172,0
1200,0,2.76194,0,33.5472,0,349.938,0,33.5277,0
1220,0,2.76893,0,33.0388,0,363.895,0,35.4292,0
1240,0,2.18496,0,30.12,0,362.768,0,32.4761,0
1260,0,2.2039,0,30.6157,0,368.106,0,32.8545,0
1280,0,2.11426,0,29.9864,0,350.963,0,31.381,0
1300,0,1.95657,0,30.473,0,343.512,0,29.3539,0
1320,0,1.91023,0,31.5529,0,386.549,0,33.8704,0
1340,0,1.48305,0,25.2167,0,335.849,0,29.0977,0
1360,0,1.45819,0,24.381,0,353.27,0,28.8865,0
1380,0,1.32018,0,21.9391,0,288.282,0,22.7332,0
1400,0,1.51156,0,23.1803,0,283.289,0,22.2074,0
1420,0,1.37675,0,23.5666,0,312.282,0,25.63,0
1440,0,1.437,0,24.9842,0,341.72,0,27.6431,0
1460,0,1.65372,0,28.8817,0,391.49,0,32.3724,0
1480,0,1.41798,0,23.8243,0,295.908,0,24.9646,0
1500,0,1.31972,0,22.6903,0,295.715,0,24.1363,0
1520,0,1.1973,0,23.0755,0,297.417,0,23.8119,0
1540,0,1.12481,0,21.3168,0,284.379,0,23.3792,0
1560,0,1.11856,0,21.8672,0,292.381,0,23.4667,0
1580,0,1.07403,0,22.7745,0,305.096,0,24.2139,0
1600,0,1.13935,0,23.1035,0,296.803,0,22.3402,0
1620,0,1.17797,0,22.3762,0,292.778,0,22.7582,0
1640,0,1.18424,0,22.0193,0,296.914,0,23.4005,0
1660,0,1.20811,0,22.405,0,286.158,0,22.8139,0
1680,0,1.08582,0,19.386,0,233.89,0,19.6778,0
1700,0,1.25624,0,22.6658,0,301.738,0,25.1278,0
1720,0,1.16908,0,22.9524,0,304.892,0,24.3346,0
1740,0,1.15897,0,22.9356,0,301.191,0,22.7634,0
1760,0,1.21736,0,21.7429,0,269.011,0,21.2823,0
1780,0,1.22647,0,22.0004,0,262.163,0,20.2592,0
1800,0,1.15941,0,21.4979,0,252.693,0,18.7687,0
1820,0,1.03307,0,19.5926,0,245.73,0,18.9578,0
1840,0,1.16261,0,20.141,0,295.418,0,22.6539,0
1860,0,0.964892,0,19.2259,0,270.59,0,21.2659,0
1880,0,0.852504,0,18.0023,0,257.478,0,19.7551,0
1900,0,0.73367,0,18.4544,0,246.934,0,18.5302,0
1920,0,0.770152,0,20.5916,0,273.906,0,19.3481,0
1940,0,0.725457,0,19.7512,0,252.332,0,18.4255,0
1960,0,0.710621,0,19.1601,0,260.191,0,19.494,0
1980,0,0.728548,0,16.8861,0,223.442,0,17.9141,0
2000,0,0.987278,0,21.1737,0,292.095,0,22.4698,0
2020,0,0.831248,0,17.8916,0,245.171,0,18.5651,0
2040,0,0.962179,0,21.8839,0,282.812,0,21.3948,0
2060,0,0.979305,0,18.3935,0,238.974,0,17.6473,0
2080,0,1.19338,0,21.0758,0,270.798,0,20.0085,0
2100,0,1.14379,0,18.8697,0,244.161,0,18.5924,0
2120,0,1.19261,0,19.4059,0,259.124,0,18.9864,0
2140,0,1.18281,0,19.3698,0,249.774,0,18.8165,0
2160,0,1.0614,0,20.0947,0,256.62,0,19.0102,0
2180,0,0.959979,0,21.08,0,270.007,0,19.3943,0
2200,0,0.913472,0,20.0339,0,249.854,0,17.8945,0
2220,0,1.02513,0,20.6194,0,263.941,0,18.7795,0
2240,0,0.969309,0,18.9884,0,237.3,0,17.0097,0
2260,0,1.04278,0,21.4115,0,268.408,0,18.9306,0
2280,0,1.02175,0,21.2616,0,268.338,0,19.1201,0
2300,0,1.06108,0,20.6038,0,261.162,0,19.3387,0
2320,0,1.06521,0,20.5997,0,290.415,0,21.6296,0
2340,0,0.902921,0,16.9793,0,235.018,0,17.3865,0
2360,0,0.916895,0,19.5431,0,269.064,0,19.4452,0
2380,0,0.930007,0,19.1417,0,261.204,0,18.7774,0
2400,0,1.00286,0,22.1497,0,295.284,0,20.5222,0
2420,0,0.853254,0,19.3868,0,258.928,0,17.7599,0
2440,0,0.852014,0,20.4944,0,264.412,0,18.0456,0
2460,0,0.953246,0,20.3847,0,252.002,0,17.5666,0
2480,0,0.910469,0,19.3758,0,256.218,0,17.6759,0
2500,0,0.823172,0,16.8334,0,234.702,0,16.1953,0
2520,0,1.01335,0,20.789,0,275.772,0,20.0102,0
2540,0,0.998154,0,21.4117,0,296.856,0,20.9261,0
2560,0,0.949331,0,21.0966,0,284.592,0,19.5802,0
2580,0,0.910474,0,21.7015,0,269.744,0,18.6704,0
2600,0,0.887933,0,21.7425,0,264.275,0,17.8692,0
2620,0,0.812935,0,17.2573,0,230.817,0,16.1296,0
2640,0,0.924265,0,19.6179,0,270.09,0,19.282,0
2660,0,0.820293,0,19.0116,0,267.849,0,18.7955,0
2680,0,0.79256,0,19.3966,0,267.536,0,18.4039,0
2700,0,0.794631,0,17.6327,0,225.067,0,15.504,0
2720,0,0.715072,0,16.5995,0,229.442,0,15.7517,0
2740,0,0.740005,0,17.7139,0,246.098,0,17.0829,0
2760,0,0.78761,0,16.9506,0,229.933,0,16.3823,0
2780,0,0.813407,0,18.9053,0,231.043,0,16.3152,0
2800,0,0.788492,0,18.2209,0,233.864,0,16.5213,0
2820,0,0.792091,0,18.162,0,263.82,0,17.7245,0
2840,0,0.925074,0,19.7737,0,277.451,0,18.6814,0
2860,0,0.906105,0,19.6925,0,266.959,0,17.7593,0
2880,0,0.839439,0,20.113,0,285.29,0,18.8053,0
2900,0,0.789101,0,19.5196,0,271.054,0,18.1647,0
2920,0,0.677287,0,18.5145,0,261.846,0,17.7375,0
2940,0,0.740466,0,21.4924,0,286.493,0,18.8699,0
2960,0,0.730358,0,18.1399,0,250.49,0,16.4272,0
2980,0,0.781714,0,18.0601,0,240.981,0,16.7324,0
