tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,718.712,0,8048.61,0,101747,0,1603.46,0
20,0,394.715,0,4402.85,0,55598.6,0,876.779,0
40,0,223.478,0,2513.02,0,31703.7,0,500.174,0
60,0,128.173,0,1447.96,0,18241.8,0,288.268,0
80,0,88.025,0,996.638,0,12547.8,0,198.638,0
100,0,57.9083,0,655.898,0,8260.11,0,131.194,0
120,0,44.2409,0,501.971,0,6316.54,0,100.599,0
140,0,29.3074,0,332.559,0,4183.49,0,66.802,0
160,0,22.9112,0,260.258,0,3272.11,0,52.3825,0
180,0,15.8099,0,179.717,0,2257.87,0,36.2833,0
200,0,11.9708,0,136.28,0,1709.33,0,27.6733,0
220,0,8.51796,0,97.3475,0,1215.73,0,20.0346,0
240,0,6.23668,0,71.3984,0,889.749,0,14.853,0
260,0,4.47319,0,51.4059,0,636.815,0,10.9028,0
280,0,3.05965,0,35.6503,0,433.783,0,7.8341,0
300,0,2.06356,0,24.3877,0,290.778,0,5.59694,0
320,0,1.48448,0,18.0384,0,208.138,0,4.42331,0
340,0,1.04992,0,13.0331,0,143.361,0,3.41531,0
360,0,0.726431,0,9.30962,0,93.3894,0,2.66163,0
380,0,0.50973,0,7.07645,0,62.7809,0,2.3282,0
400,0,0.358124,0,5.26209,0,41.5257,0,1.82382,0
420,0,0.359835,0,5.14914,0,33.2249,0,1.86775,0
440,0,0.302915,0,4.36189,0,25.1988,0,1.63964,0
460,0,0.370474,0,4.89995,0,24.483,0,1.86405,0
480,0,0.380247,0,4.94739,0,23.3743,0,1.91769,0
500,0,0.40611,0,4.86509,0,22.0618,0,1.90431,0
520,0,0.388816,0,4.61345,0,20.7486,0,1.81675,0
540,0,0.395081,0,4.37857,0,19.332,0,1.71219,0
560,0,0.402128,0,4.36634,0,19.7487,0,1.84903,0
580,0,0.502531,0,5.09893,0,21.9669,0,2.06818,0
600,0,0.665793,0,6.50398,0,27.1094,0,2.52872,0
620,0,0.55987,0,5.65511,0,25.4897,0,2.45769,0
640,0,0.62926,0,6.31096,0,28.3638,0,2.77115,0
660,0,0.537204,0,5.5508,0,26.1425,0,2.5559,0
680,0,0.655436,0,6.47402,0,29.5263,0,2.89058,0
700,0,0.634086,0,6.03212,0,27.9519,0,2.80604,0
720,0,1.08342,0,9.32424,0,38.566,0,3.79279,0
740,0,1.31159,0,10.9118,0,44.1936,0,4.36566,0
760,0,1.05414,0,9.01292,0,39.594,0,3.97758,0
780,0,0.669868,0,6.11542,0,32.2353,0,3.27162,0
800,0,1.11148,0,9.37281,0,45.8752,0,4.65075,0
820,0,1.06223,0,9.22617,0,49.3555,0,5.12733,0
840,0,1.32058,0,11.0589,0,56.8205,0,6.00253,0
860,0,1.74138,0,13.8161,0,68.3006,0,7.04714,0
880,0,1.78776,0,14.2246,0,72.3287,0,7.42595,0
900,0,1.24688,0,10.5898,0,67.3323,0,7.09652,0
920,0,1.72898,0,13.967,0,84.7465,0,9.39497,0
940,0,1.6786,0,14.5258,0,88.0907,0,9.83985,0
960,0,2.02757,0,16.5261,0,97.264,0,10.8127,0
980,0,2.20329,0,17.7516,0,99.8109,0,10.6215,0
1000,0,3.22958,0,23.2198,0,121.47,0,13.0186,0
1020,0,3.50203,0,25.2101,0,139.095,0,14.9706,0
1040,0,2.88933,0,21.2027,0,129.33,0,14.5593,0
1060,0,3.74206,0,26.2339,0,150.126,0,16.696,0
1080,0,4.67015,0,32.2702,0,175.825,0,18.9437,0
1100,0,4.3695,0,30.8307,0,185.058,0,20.6681,0
1120,0,6.19783,0,40.8038,0,192.983,0,21.5873,0
1140,0,7.39349,0,48.1156,0,212.492,0,23.3169,0
1160,0,6.55271,0,43.6812,0,217.146,0,23.9769,0
1180,0,7.20897,0,47.782,0,227.098,0,24.947,0
1200,0,6.56505,0,44.8409,0,238.416,0,25.9859,0
1220,0,6.20241,0,42.6694,0,239.87,0,25.4608,0
1240,0,4.8431,0,34.0961,0,215.255,0,22.1214,0
1260,0,4.22442,0,31.6048,0,219.934,0,22.9984,0
1280,0,3.43845,0,27.8992,0,257.411,0,28.9539,0
1300,0,3.33547,0,29.2252,0,251.313,0,25.237,0
1320,0,2.95998,0,29.7958,0,275.682,0,25.6369,0
1340,0,2.38544,0,23.4256,0,230.468,0,20.7045,0
1360,0,1.91053,0,21.5803,0,238.919,0,22.2263,0
1380,0,1.64619,0,20.1778,0,260.171,0,23.3953,0
1400,0,1.74368,0,21.7181,0,229.881,0,20.9584,0
1420,0,1.68474,0,20.999,0,245.08,0,23.0178,0
1440,0,1.6448,0,22.6601,0,264.644,0,23.231,0
1460,0,1.49324,0,21.2749,0,258.584,0,22.0884,0
1480,0,1.42726,0,21.8461,0,248.82,0,20.1366,0
1500,0,1.14189,0,18.0493,0,228.817,0,18.8287,0
1520,0,1.01919,0,17.8096,0,260.49,0,21.4175,0
1540,0,1.22407,0,19.3346,0,244.031,0,19.7684,0
1560,0,1.49317,0,20.732,0,261.897,0,20.7436,0
1580,0,1.44542,0,19.0932,0,234.851,0,18.3372,0
1600,0,1.4982,0,19.8601,0,251.874,0,19.9975,0
1620,0,1.46247,0,19.4884,0,248.236,0,20.0884,0
1640,0,1.22735,0,20.7356,0,261.685,0,19.9918,0
