tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,714,0,7968.45,0,100974,0,1599.2,0
20,0,326.418,0,3682.85,0,46561.4,0,738.992,0
40,0,157.081,0,1783.77,0,22476.4,0,361.666,0
60,0,104.443,0,1187.83,0,14903.1,0,246.215,0
80,0,80.8836,0,917.12,0,11480.7,0,195.222,0
100,0,69.364,0,783.137,0,9837.19,0,165.755,0
120,0,64.873,0,731.129,0,9160.89,0,159.045,0
140,0,62.5504,0,702.19,0,8768.43,0,155.091,0
160,0,55.1701,0,615.75,0,7696.1,0,136.017,0
180,0,51.889,0,577.508,0,7179.47,0,132.365,0
200,0,49.829,0,552.407,0,6863.58,0,127.244,0
220,0,49.4868,0,546.701,0,6770.59,0,128.81,0
240,0,44.3594,0,487.639,0,6056.71,0,114.602,0
260,0,40.9161,0,449.144,0,5569.98,0,107.262,0
280,0,40.7269,0,445.631,0,5474.25,0,112.074,0
300,0,38.8161,0,423.715,0,5184.4,0,107.991,0
320,0,36.0851,0,392.812,0,4781.42,0,104.472,0
340,0,35.7946,0,388.357,0,4697.93,0,106.267,0
360,0,31.8336,0,343.759,0,4147.32,0,96.0877,0
380,0,31.231,0,336.537,0,4018.79,0,97.5098,0
400,0,28.5069,0,306.061,0,3625.43,0,92.3371,0
420,0,30.2988,0,323.249,0,3823.19,0,98.3192,0
440,0,28.9574,0,307.962,0,3619.3,0,95.7898,0
460,0,27.3155,0,289.264,0,3390.01,0,91.718,0
480,0,26.2202,0,277.308,0,3208.4,0,91.2836,0
500,0,25.9736,0,273.308,0,3144.21,0,92.5376,0
520,0,21.3042,0,223.23,0,2556.9,0,77.1878,0
540,0,22.741,0,237.668,0,2695.48,0,85.2153,0
560,0,22.2723,0,232.458,0,2638.2,0,81.7151,0
580,0,20.9975,0,202.056,0,2451.05,0,79.2111,0
600,0,15.1042,0,156.399,0,1738.82,0,59.9957,0
620,0,22.0719,0,227.219,0,2498.24,0,85.9122,0
640,0,19.6303,0,201.98,0,2213.11,0,76.7638,0
660,0,18.0901,0,184.991,0,1998.93,0,73.7782,0
680,0,17.6305,0,180.398,0,1901,0,77.0422,0
700,0,16.0504,0,163.131,0,1705.85,0,70.3823,0
720,0,15.877,0,160.746,0,1667.12,0,70.9628,0
740,0,14.7949,0,149.171,0,1537.05,0,65.1958,0
760,0,14.2911,0,143.382,0,1466.19,0,63.857,0
780,0,12.956,0,130.635,0,1322.22,0,60.9986,0
800,0,13.8249,0,138.982,0,1385.49,0,65.1342,0
820,0,12.6296,0,126.251,0,1244.92,0,58.9784,0
840,0,11.8547,0,117.615,0,1145.46,0,57.0528,0
860,0,10.9942,0,109.897,0,1050,0,55.505,0
880,0,10.8153,0,106.934,0,994.035,0,56.6981,0
900,0,10.577,0,104.714,0,952.577,0,56.0463,0
920,0,9.57754,0,95.1374,0,840.875,0,54.7208,0
940,0,11.0262,0,108.821,0,964.388,0,58.6127,0
960,0,10.3871,0,103.286,0,898.022,0,58.051,0
980,0,9.22235,0,91.3861,0,784.938,0,51.4708,0
1000,0,8.99627,0,88.8247,0,754.15,0,51.0038,0
1020,0,8.60832,0,85.8359,0,707.522,0,51.4315,0
1040,0,8.30284,0,81.9034,0,677.577,0,48.2593,0
1060,0,8.1887,0,81.4152,0,659.009,0,49.2303,0
1080,0,8.46786,0,84.4897,0,665.118,0,52.074,0
1100,0,7.79185,0,77.3758,0,606.244,0,47.0866,0
1120,0,7.80667,0,77.9588,0,595.001,0,50.3854,0
1140,0,7.1515,0,71.2999,0,541.361,0,44.3348,0
1160,0,6.87815,0,69.0159,0,510.711,0,44.6882,0
1180,0,6.73537,0,67.4916,0,483.225,0,44.3872,0
1200,0,6.60709,0,66.9931,0,471.301,0,43.7286,0
1220,0,6.0433,0,60.9915,0,423.884,0,40.6885,0
1240,0,6.34414,0,64.5415,0,446.795,0,42.9697,0
1260,0,6.14822,0,62.1041,0,426.847,0,42.9491,0
1280,0,5.91279,0,61.1672,0,405.995,0,43.048,0
1300,0,5.9105,0,61.7859,0,401.051,0,44.1257,0
1320,0,5.45682,0,57.369,0,362.54,0,41.7439,0
1340,0,5.77047,0,61.0392,0,378.25,0,45.2408,0
1360,0,5.91292,0,62.3321,0,380.825,0,45.6782,0
1380,0,5.11984,0,54.3205,0,325.139,0,40.1642,0
1400,0,4.85781,0,51.713,0,310.645,0,37.6169,0
1420,0,4.51451,0,49.0891,0,284.007,0,37.571,0
1440,0,4.64532,0,50.6674,0,288.323,0,38.1515,0
1460,0,4.75935,0,52.8638,0,295.289,0,40.8657,0
1480,0,4.36319,0,48.2629,0,269.789,0,36.5435,0
1500,0,4.18651,0,47.0928,0,258.959,0,37.0301,0
1520,0,3.92328,0,43.7911,0,244.335,0,34.1246,0
1540,0,4.00063,0,45.3092,0,247.497,0,36.066,0
1560,0,3.90504,0,43.7963,0,237.51,0,34.6153,0
1580,0,3.75207,0,43.7123,0,230.64,0,36.0289,0
1600,0,3.98469,0,45.9505,0,242.856,0,37.1899,0
1620,0,3.38418,0,39.4786,0,211.002,0,31.7749,0
1640,0,3.23438,0,38.2762,0,200.882,0,32.1275,0
1660,0,3.40068,0,40.8773,0,207.537,0,34.6757,0
1680,0,3.36064,0,40.9956,0,207.014,0,35.535,0
1700,0,3.07047,0,37.2753,0,191.105,0,31.9529,0
1720,0,3.12981,0,38.3176,0,193.734,0,33.789,0
1740,0,3.03564,0,38.3715,0,194.463,0,33.9583,0
1760,0,2.79192,0,34.9168,0,177.89,0,30.2686,0
1780,0,2.75515,0,34.7752,0,170.375,0,32.1149,0
1800,0,2.73065,0,35.3432,0,173.201,0,32.3493,0
1820,0,2.34993,0,29.9653,0,154.282,0,26.6632,0
1840,0,2.40597,0,31.3878,0,158.485,0,28.648,0
1860,0,2.4246,0,32.2523,0,164.175,0,29.5777,0
1880,0,2.31811,0,30.5868,0,156.895,0,27.8836,0
1900,0,2.53017,0,33.7851,0,173.953,0,31.0039,0
1920,0,2.39882,0,32.2789,0,163.053,0,30.4373,0
1940,0,2.33702,0,31.5712,0,163.613,0,29.4867,0
1960,0,2.03861,0,28.4181,0,143.873,0,28.3432,0
1980,0,1.97306,0,27.3448,0,144.391,0,26.2054,0
2000,0,1.96044,0,27.6973,0,145.246,0,27.3504,0
2020,0,1.84272,0,25.3786,0,138.651,0,24.3981,0
2040,0,1.76039,0,24.7075,0,135.318,0,24.0688,0
2060,0,1.75697,0,24.9729,0,140.054,0,24.8305,0
2080,0,1.79033,0,25.1252,0,143.173,0,25.3392,0
