tick,9,8,7,6,4,2,5,3,1,0
0,0.13,0.21,0.09,0.1,0.02,0.1,0.1,0.11,0.16,0.15
20,0.12,0.17,0.13,0.07,0.1,0.06,0.16,0.13,0.16,0.14
40,0.18,0.15,0.13,0.12,0.09,0.12,0.13,0.04,0.11,0.08
60,0.08,0.14,0.11,0.11,0.05,0.07,0.04,0.08,0.11,0.07
80,0.14,0.04,0.2,0.11,0.04,0.1,0.13,0.07,0.1,0.09
100,0.09,0.08,0.15,0.15,0.08,0.08,0.21,0.08,0.16,0.09
120,0.07,0.05,0.23,0.11,0.11,0.12,0.12,0.08,0.08,0.09
140,0.14,0.15,0.11,0.09,0.15,0.06,0.09,0.08,0.15,0.1
160,0.12,0.1,0.13,0.14,0.08,0.08,0.11,0.16,0.06,0.11
180,0.13,0.08,0.12,0.12,0.08,0.09,0.14,0.07,0.09,0.05
200,0.16,0.09,0.09,0.15,0.14,0.11,0.09,0.16,0.09,0.11
220,0.12,0.11,0.15,0.08,0.14,0.09,0.11,0.1,0.15,0.12
240,0.07,0.12,0.12,0.12,0.04,0.1,0.08,0.13,0.09,0.11
260,0.11,0.07,0.12,0.18,0.14,0.15,0.12,0.1,0.13,0.03
280,0.09,0.06,0.06,0.11,0.13,0.16,0.13,0.07,0.14,0.06
300,0.08,0.14,0.1,0.14,0.15,0.1,0.15,0.07,0.07,0.07
320,0.09,0.09,0.15,0.11,0.09,0.11,0.11,0.12,0.08,0.07
340,0.05,0.12,0.14,0.07,0.09,0.08,0.11,0.1,0.12,0.05
360,0.13,0.09,0.08,0.1,0.06,0.09,0.14,0.11,0.11,0.12
380,0.09,0.06,0.14,0.11,0.09,0.11,0.08,0.11,0.07,0.08
400,0.08,0.08,0.07,0.1,0.13,0.06,0.14,0.08,0.09,0.07
420,0.12,0.08,0.1,0.15,0.11,0.09,0.09,0.07,0.06,0.08
440,0.11,0.11,0.06,0.05,0.13,0.09,0.09,0.11,0.03,0.07
460,0.07,0.08,0.06,0.13,0.14,0.1,0.11,0.07,0.13,0.05
480,0.11,0.08,0.11,0.07,0.07,0.09,0.1,0.12,0.04,0.11
500,0.07,0.17,0.13,0.09,0.12,0.08,0.14,0.08,0.06,0.09
520,0.13,0.12,0.02,0.08,0.09,0.07,0.12,0.1,0.08,0.05
540,0.08,0.1,0.09,0.12,0.11,0.07,0.06,0.09,0.1,0.05
560,0.14,0.06,0.19,0.12,0.09,0.15,0.1,0.15,0.06,0.07
580,0.13,0.09,0.07,0.09,0.09,0.12,0.15,0.13,0.12,0.06
600,0.15,0.12,0.11,0.08,0.07,0.05,0.09,0.09,0.07,0.05
620,0.09,0.1,0.06,0.09,0.1,0.09,0.14,0.11,0.13,0.14
640,0.1,0.08,0.02,0.08,0.07,0.11,0.11,0.09,0.1,0.1
660,0.08,0.12,0.04,0.11,0.09,0.09,0.12,0.06,0.11,0.1
680,0.11,0.08,0.07,0.11,0.08,0.09,0.06,0.17,0.16,0.15
700,0.06,0.11,0.16,0.12,0.09,0.1,0.1,0.12,0.14,0.06
720,0.09,0.12,0.09,0.08,0.06,0.1,0.22,0.13,0.05,0.24
740,0.12,0.1,0.11,0.12,0.08,0.12,0.08,0.16,0.1,0.09
760,0.09,0.12,0.09,0.12,0.07,0.09,0.09,0.07,0.09,0.12
780,0.06,0.13,0.06,0.1,0.08,0.08,0.15,0.13,0.08,0.06
800,0.18,0.09,0.05,0.12,0.1,0.05,0.12,0.1,0.09,0.11
820,0.09,0.1,0.09,0.05,0.12,0.07,0.11,0.07,0.17,0.1
840,0.09,0.05,0.1,0.17,0.11,0.08,0.15,0.16,0.13,0.1
860,0.06,0.08,0.09,0.14,0.04,0.07,0.07,0.08,0.11,0.15
