tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,714.5,0,7960.57,0,100913,0,1601.29,0
20,0,358.055,0,4008.26,0,50766.3,0,809.544,0
40,0,152.513,0,1737.64,0,21990.1,0,356.333,0
60,0,109.189,0,1244.71,0,15718.7,0,259.825,0
80,0,88.0547,0,1002.95,0,12626.5,0,211.528,0
100,0,70.8269,0,804.068,0,10088.9,0,171.046,0
120,0,60.9761,0,688.417,0,8615.43,0,148.253,0
140,0,59.1965,0,663.905,0,8270.97,0,143.793,0
160,0,53.4064,0,596.408,0,7411.02,0,131.022,0
180,0,49.7929,0,553.249,0,6871.31,0,121.104,0
200,0,48.8609,0,540.94,0,6707.71,0,120.449,0
220,0,47.2092,0,521.115,0,6447.04,0,117.98,0
240,0,44.2437,0,487.506,0,6022.9,0,111.082,0
260,0,41.7039,0,458.206,0,5651.09,0,104.825,0
280,0,39.1365,0,429.686,0,5273.57,0,102.585,0
300,0,39.3022,0,431.074,0,5280.41,0,104.302,0
320,0,36.1788,0,395.1,0,4824.11,0,96.6605,0
340,0,33.2524,0,362.552,0,4403.08,0,91.722,0
360,0,30.7315,0,333.635,0,4035.59,0,85.1932,0
380,0,30.5442,0,331.354,0,3998.31,0,86.6774,0
400,0,27.4779,0,297.519,0,3579.68,0,78.9675,0
420,0,27.4064,0,296.12,0,3551,0,80.7156,0
440,0,25.0936,0,270.082,0,3226.42,0,73.4236,0
460,0,25.2331,0,271.312,0,3225.67,0,76.2609,0
480,0,22.2517,0,238.647,0,2831.12,0,67.2119,0
500,0,23.2711,0,249.181,0,2942.78,0,71.9006,0
520,0,20.7238,0,221.514,0,2610.35,0,64.6252,0
540,0,19.2226,0,205.194,0,2414.06,0,61.137,0
560,0,19.1094,0,203.449,0,2368.63,0,62.6465,0
580,0,17.8903,0,190.314,0,2216.82,0,58.5522,0
600,0,16.6447,0,176.9,0,2062.2,0,54.6095,0
620,0,15.4984,0,164.336,0,1898.5,0,52.2281,0
640,0,14.7718,0,156.637,0,1812.93,0,50.3355,0
660,0,14.6098,0,154.67,0,1778.35,0,50.7056,0
680,0,14.2057,0,150.354,0,1723.25,0,50.0647,0
700,0,13.1833,0,139.358,0,1593.23,0,46.8362,0
720,0,13.2521,0,140,0,1600.09,0,47.1341,0
740,0,11.7965,0,124.581,0,1413.98,0,43.5073,0
760,0,10.8268,0,114.44,0,1288.08,0,41.7005,0
780,0,10.8678,0,114.813,0,1288.09,0,42.2319,0
800,0,10.3342,0,109.206,0,1222.64,0,40.7584,0
820,0,9.26402,0,97.6655,0,1095.27,0,36.129,0
840,0,9.26164,0,97.7671,0,1090.65,0,37.6253,0
860,0,7.85914,0,82.8942,0,920.983,0,32.4473,0
880,0,8.31843,0,87.8535,0,972.107,0,34.9005,0
900,0,7.14095,0,75.35,0,830.696,0,30.5825,0
920,0,7.16954,0,75.7947,0,832.13,0,31.4118,0
940,0,6.77342,0,71.7086,0,781.918,0,30.2441,0
960,0,6.53465,0,69.239,0,753.501,0,29.6676,0
980,0,6.21078,0,65.6364,0,716.513,0,28.48,0
1000,0,6.24647,0,66.2697,0,717.057,0,29.941,0
1020,0,5.73108,0,60.9314,0,655.846,0,28.3204,0
1040,0,5.44689,0,57.6888,0,624.535,0,26.4014,0
1060,0,4.75493,0,50.3917,0,543.545,0,24.2987,0
1080,0,4.90975,0,52.1498,0,560.478,0,26.0763,0
1100,0,4.39554,0,46.6614,0,501.72,0,23.4609,0
1120,0,4.3295,0,46.0649,0,492.638,0,24.0041,0
1140,0,4.00032,0,42.5561,0,454.707,0,22.5405,0
1160,0,3.9127,0,41.7047,0,444.222,0,22.6858,0
1180,0,3.81405,0,40.718,0,432.898,0,23.0523,0
1200,0,3.56978,0,38.0677,0,404.78,0,22.0822,0
1220,0,3.33538,0,35.7776,0,377.976,0,21.8157,0
1240,0,3.11734,0,33.2992,0,353.277,0,20.0773,0
1260,0,2.83254,0,30.484,0,321.052,0,19.6123,0
1280,0,2.83133,0,30.4663,0,320.882,0,19.838,0
1300,0,2.77329,0,29.9362,0,314.335,0,20.016,0
