tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,727.803,0,7958.71,0,100920,0,1581.16,0
20,0,349.785,0,3806.31,0,48292.7,0,758.557,0
40,0,186.871,0,2019.84,0,25647.6,0,404.883,0
60,0,109.717,0,1181.52,0,15016.4,0,237.946,0
80,0,91.694,0,994.241,0,12617.8,0,201.871,0
100,0,73.7034,0,802.289,0,10167,0,164.322,0
120,0,63.7934,0,695.495,0,8806.27,0,142.676,0
140,0,60.1622,0,657.564,0,8320.33,0,134.917,0
160,0,57.1957,0,625.892,0,7912.51,0,128.5,0
180,0,52.3077,0,571.942,0,7228.28,0,116.982,0
200,0,46.446,0,507.734,0,6412.7,0,104.046,0
220,0,45.7029,0,499.45,0,6304.93,0,102.489,0
240,0,45.4238,0,496.31,0,6262.68,0,102.124,0
260,0,41.7437,0,455.956,0,5751.92,0,94.0339,0
280,0,38.7425,0,423.11,0,5336.77,0,87.3698,0
300,0,38.1893,0,416.938,0,5257.77,0,86.3237,0
320,0,33.9822,0,370.889,0,4674.6,0,77.6702,0
340,0,33.5107,0,365.653,0,4608.11,0,76.6624,0
360,0,32.5195,0,354.818,0,4471.52,0,74.5839,0
380,0,29.5259,0,322.104,0,4058.85,0,67.7151,0
400,0,28.1882,0,307.437,0,3873.04,0,65.0515,0
420,0,26.4545,0,288.488,0,3633.66,0,61.3985,0
440,0,24.2723,0,264.648,0,3332.78,0,56.6812,0
460,0,23.0392,0,251.188,0,3163.05,0,53.9481,0
480,0,19.0372,0,207.513,0,2612.4,0,45.1289,0
500,0,19.1275,0,208.485,0,2624.41,0,45.4225,0
520,0,17.7146,0,193.059,0,2430.02,0,42.3387,0
540,0,18.4543,0,201.092,0,2530.86,0,44.3569,0
560,0,18.0317,0,196.488,0,2472.74,0,43.4565,0
580,0,18.4516,0,201.042,0,2529.97,0,44.6315,0
600,0,15.5762,0,169.701,0,2135.33,0,37.9571,0
620,0,15.1843,0,165.441,0,2081.59,0,37.0968,0
640,0,14.1108,0,153.737,0,1934.32,0,34.6416,0
660,0,13.4114,0,146.101,0,1838.11,0,33.2901,0
680,0,12.5627,0,136.847,0,1721.6,0,31.4985,0
700,0,11.9592,0,130.266,0,1638.64,0,30.0577,0
720,0,9.99648,0,108.879,0,1369.64,0,25.2594,0
740,0,10.4045,0,113.305,0,1425.4,0,26.5049,0
760,0,10.356,0,112.771,0,1418.61,0,26.6453,0
780,0,9.77025,0,106.395,0,1338.34,0,25.1971,0
800,0,8.85058,0,96.3798,0,1212.31,0,23.0198,0
820,0,8.5289,0,92.8724,0,1168.25,0,22.313,0
840,0,7.73364,0,84.2119,0,1059.27,0,20.5148,0
860,0,7.48972,0,81.5497,0,1025.77,0,19.9412,0
880,0,7.1052,0,77.3694,0,973.176,0,19.1307,0
900,0,6.68472,0,72.7912,0,915.54,0,18.1457,0
920,0,5.16788,0,56.2801,0,707.801,0,14.2237,0
940,0,5.72256,0,62.3214,0,783.807,0,16.0686,0
960,0,5.57381,0,60.6983,0,763.378,0,15.6486,0
980,0,5.66915,0,61.7347,0,776.437,0,16.0065,0
1000,0,5.18558,0,56.4747,0,710.251,0,14.7857,0
1020,0,4.85157,0,52.8372,0,664.48,0,14.0498,0
1040,0,4.58846,0,49.9757,0,628.509,0,13.4343,0
1060,0,4.35139,0,47.3837,0,595.935,0,12.8072,0
1080,0,4.19683,0,45.6981,0,574.739,0,12.6124,0
1100,0,3.86407,0,40.7274,0,529.175,0,11.8283,0
1120,0,3.742,0,40.748,0,512.425,0,11.5852,0
1140,0,3.45021,0,37.5744,0,472.509,0,10.8115,0
1160,0,3.44284,0,37.4982,0,471.607,0,10.9063,0
1180,0,3.14916,0,34.3024,0,431.47,0,10.0943,0
1200,0,2.50873,0,27.3288,0,343.732,0,8.17362,0
1220,0,2.61076,0,28.4405,0,357.751,0,8.7286,0
1240,0,2.43943,0,26.5809,0,334.327,0,8.31002,0
1260,0,2.39599,0,26.1064,0,328.352,0,8.27679,0
1280,0,2.31926,0,25.2706,0,317.861,0,8.22857,0
1300,0,2.24501,0,24.4573,0,307.677,0,8.03335,0
1320,0,2.1322,0,23.2212,0,292.21,0,7.70555,0
