tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,709.37,0,7972.74,0,100893,0,1596.64,0
20,0,258.491,0,3242.77,0,41117,0,650.461,0
40,0,153.377,0,1736.17,0,22016.3,0,348.078,0
60,0,91.9357,0,1059.47,0,13444.6,0,213.299,0
80,0,79.3875,0,937.527,0,11889.2,0,188.787,0
100,0,63.7796,0,763.911,0,9679.91,0,154.107,0
120,0,57.3821,0,693.782,0,8792.64,0,139.923,0
140,0,55.4634,0,671.831,0,8518.92,0,135.566,0
160,0,53.155,0,643.171,0,8157.41,0,129.912,0
180,0,47.7682,0,577.307,0,7324.25,0,116.667,0
200,0,42.0138,0,507.479,0,6439,0,102.635,0
220,0,42.8977,0,517.805,0,6570.5,0,104.707,0
240,0,41.8738,0,505.242,0,6410.83,0,102.195,0
260,0,36.8905,0,444.983,0,5646.29,0,90.021,0
280,0,35.9222,0,433.134,0,5495.89,0,87.6198,0
300,0,33.2671,0,401.077,0,5089.05,0,81.1262,0
320,0,33.3901,0,402.494,0,5106.81,0,81.4607,0
340,0,27.4395,0,330.656,0,4195.15,0,66.9506,0
360,0,28.6285,0,344.823,0,4375.42,0,69.8373,0
380,0,27.6642,0,333.275,0,4228.29,0,67.5341,0
400,0,26.1359,0,314.91,0,3994.7,0,63.8176,0
420,0,22.7827,0,274.442,0,3481.39,0,55.6808,0
440,0,21.9809,0,264.826,0,3359.05,0,53.7154,0
460,0,20.5035,0,246.965,0,3132.54,0,50.1267,0
480,0,20.2332,0,243.614,0,3090.55,0,49.4485,0
500,0,18.6086,0,224.08,0,2842.61,0,45.4635,0
520,0,17.8299,0,214.686,0,2722.75,0,43.5458,0
540,0,17.7605,0,213.713,0,2711.41,0,43.3796,0
560,0,16.8912,0,203.364,0,2579.58,0,41.3005,0
580,0,15.6805,0,188.751,0,2394.62,0,38.3242,0
600,0,14.5548,0,175.177,0,2221.79,0,35.5446,0
620,0,13.5982,0,163.768,0,2076.78,0,33.2421,0
640,0,12.5405,0,151.072,0,1916.25,0,30.6739,0
660,0,12.3355,0,148.558,0,1884.33,0,30.2089,0
680,0,11.2028,0,134.859,0,1711.07,0,27.4479,0
700,0,10.9878,0,132.157,0,1676.31,0,26.8938,0
720,0,10.4524,0,125.719,0,1595.53,0,25.5968,0
740,0,9.68244,0,116.52,0,1478.55,0,23.6942,0
760,0,9.36319,0,112.699,0,1429.59,0,22.9046,0
780,0,8.47422,0,102.18,0,1295.84,0,20.7189,0
800,0,8.22799,0,99.1552,0,1257.83,0,20.139,0
820,0,8.0343,0,96.8783,0,1228.31,0,19.6458,0
840,0,6.83436,0,82.3724,0,1045.37,0,16.7124,0
860,0,6.74888,0,81.4392,0,1034.14,0,16.5385,0
880,0,6.16065,0,74.1725,0,942.642,0,15.0526,0
900,0,5.84522,0,70.5405,0,896.104,0,14.3309,0
920,0,5.55127,0,67.0591,0,851.77,0,13.603,0
940,0,5.37651,0,64.9465,0,825.094,0,13.2112,0
960,0,5.09368,0,61.6438,0,782.672,0,12.4909,0
980,0,4.80066,0,58.0205,0,737.117,0,11.7622,0
1000,0,4.61928,0,55.7539,0,709.519,0,11.3385,0
1020,0,4.67176,0,56.4132,0,718.072,0,11.4483,0
1040,0,4.34691,0,52.4654,0,667.666,0,10.6808,0
1060,0,3.82488,0,46.3173,0,591.22,0,9.47134,0
1080,0,3.50467,0,42.5765,0,543.025,0,8.69595,0
1100,0,3.40058,0,41.2676,0,527.557,0,8.41324,0
1120,0,3.38326,0,41.247,0,526.305,0,8.36716,0
1140,0,3.05599,0,37.2723,0,477.039,0,7.58969,0
1160,0,2.8601,0,34.9238,0,447.804,0,7.13356,0
1180,0,2.60553,0,31.8498,0,408.407,0,6.49317,0
1200,0,2.45194,0,30.1856,0,388.245,0,6.15162,0
1220,0,2.32761,0,28.6048,0,368.927,0,5.85538,0
1240,0,2.27489,0,27.9522,0,360.969,0,5.69775,0
1260,0,2.13164,0,26.32,0,340.363,0,5.35966,0
1280,0,1.96752,0,24.479,0,316.785,0,4.97036,0
1300,0,1.87932,0,23.482,0,304.625,0,4.74836,0
1320,0,1.79779,0,22.5972,0,293.63,0,4.55956,0
1340,0,1.77563,0,22.2308,0,290.073,0,4.53592,0
1360,0,1.51931,0,19.1446,0,250.146,0,3.8975,0
1380,0,1.42529,0,18.1583,0,238.273,0,3.70762,0
1400,0,1.37611,0,17.5749,0,232.076,0,3.54638,0
1420,0,1.30952,0,16.8989,0,224.81,0,3.43189,0
1440,0,1.23957,0,16.0133,0,212.825,0,3.2765,0
1460,0,1.17728,0,15.4172,0,206.082,0,3.1638,0
1480,0,1.07837,0,14.1665,0,190.576,0,2.89271,0
1500,0,1.09082,0,14.5451,0,195.503,0,2.95968,0
1520,0,0.986415,0,13.2807,0,180.114,0,2.6963,0
1540,0,0.940336,0,12.8962,0,175.598,0,2.61405,0
1560,0,0.871327,0,12.1479,0,166.421,0,2.46591,0
1580,0,0.863975,0,12.0717,0,165.487,0,2.46892,0
1600,0,0.808581,0,11.4681,0,158.027,0,2.34636,0
1620,0,0.750629,0,11.1479,0,154.289,0,2.25578,0
1640,0,0.715862,0,10.7287,0,149.874,0,2.18491,0
1660,0,0.647947,0,9.74846,0,136.001,0,1.989,0
1680,0,0.636735,0,9.80207,0,137.702,0,1.98817,0
1700,0,0.583195,0,9.2155,0,129.927,0,1.88867,0
1720,0,0.56597,0,9.1325,0,131.062,0,1.84865,0
1740,0,0.51297,0,8.26824,0,118.638,0,1.67312,0
1760,0,0.506683,0,8.49114,0,123.795,0,1.71678,0
1780,0,0.516177,0,8.90911,0,130.823,0,1.84996,0
1800,0,0.48696,0,8.5273,0,124.189,0,1.75555,0
1820,0,0.474566,0,8.44568,0,124.637,0,1.7329,0
1840,0,0.415876,0,7.79515,0,115.842,0,1.58775,0
1860,0,0.438574,0,8.60403,0,128.14,0,1.75577,0
1880,0,0.387333,0,7.76425,0,116.474,0,1.58944,0
1900,0,0.389893,0,7.92818,0,119.836,0,1.6166,0
1920,0,0.350167,0,7.6232,0,115.232,0,1.54404,0
1940,0,0.283978,0,6.24852,0,94.1871,0,1.28543,0
1960,0,0.303148,0,7.24462,0,110.79,0,1.49023,0
1980,0,0.289965,0,7.04786,0,107.969,0,1.4503,0
2000,0,0.277288,0,6.94137,0,105.94,0,1.41837,0
2020,0,0.264461,0,6.99181,0,107.784,0,1.42867,0
2040,0,0.237248,0,6.66922,0,103.638,0,1.34176,0
2060,0,0.241366,0,6.88239,0,106.891,0,1.37541,0
2080,0,0.2361,0,6.92039,0,108.524,0,1.40465,0
2100,0,0.233619,0,6.74676,0,105.825,0,1.37928,0
2120,0,0.235313,0,6.89763,0,108.289,0,1.41411,0
2140,0,0.213771,0,6.57002,0,103.776,0,1.36071,0
2160,0,0.214726,0,6.67876,0,105.36,0,1.38386,0
2180,0,0.20034,0,6.49577,0,101.968,0,1.34223,0
2200,0,0.203711,0,6.69322,0,105.631,0,1.37488,0
2220,0,0.188608,0,6.50058,0,102.811,0,1.33776,0
2240,0,0.188583,0,6.65238,0,105.147,0,1.36194,0
2260,0,0.180877,0,6.67475,0,105.588,0,1.3459,0
2280,0,0.176829,0,6.51802,0,103.693,0,1.34062,0
2300,0,0.166755,0,6.28821,0,99.8653,0,1.29576,0
2320,0,0.173269,0,6.50122,0,103.66,0,1.33849,0
2340,0,0.164385,0,6.55995,0,104.644,0,1.34648,0
2360,0,0.152985,0,6.01452,0,95.9123,0,1.2317,0
2380,0,0.158421,0,6.49612,0,103.274,0,1.31554,0
2400,0,0.145657,0,6.10186,0,96.9959,0,1.24284,0
2420,0,0.131384,0,5.65829,0,89.8995,0,1.17131,0
2440,0,0.153343,0,6.51851,0,104.401,0,1.31586,0
2460,0,0.151263,0,6.48152,0,103.266,0,1.32432,0
2480,0,0.135489,0,6.12613,0,96.8433,0,1.25741,0
2500,0,0.143895,0,6.58163,0,105.158,0,1.36273,0
2520,0,0.150486,0,6.79791,0,108.751,0,1.39587,0
2540,0,0.135757,0,6.47925,0,103.532,0,1.33533,0
2560,0,0.144508,0,6.67307,0,106.413,0,1.37762,0
2580,0,0.14277,0,6.50759,0,104.311,0,1.35037,0
2600,0,0.142902,0,6.8188,0,108.499,0,1.40526,0
2620,0,0.142768,0,6.48458,0,103.392,0,1.3252,0
2640,0,0.137431,0,6.2496,0,100.061,0,1.28046,0
2660,0,0.138808,0,6.49149,0,103.618,0,1.33738,0
2680,0,0.131489,0,6.11549,0,97.3047,0,1.24669,0
2700,0,0.141449,0,6.64865,0,105.929,0,1.36805,0
2720,0,0.13442,0,6.37924,0,101.733,0,1.30149,0
2740,0,0.126122,0,6.3114,0,100.695,0,1.29703,0
2760,0,0.133934,0,6.39518,0,101.488,0,1.29834,0
2780,0,0.119056,0,6.05757,0,96.0699,0,1.24662,0
2800,0,0.140758,0,6.59811,0,105.922,0,1.37007,0
2820,0,0.135419,0,6.57407,0,105.205,0,1.37257,0
2840,0,0.136252,0,6.64557,0,106.323,0,1.37977,0
2860,0,0.136302,0,6.80637,0,108.65,0,1.40192,0
2880,0,0.12765,0,6.57747,0,104.983,0,1.35372,0
2900,0,0.12157,0,6.20847,0,99.1804,0,1.26985,0
2920,0,0.127316,0,6.15847,0,98.5097,0,1.26095,0
2940,0,0.126403,0,6.36574,0,102.01,0,1.31027,0
2960,0,0.133124,0,6.52141,0,103.761,0,1.31332,0
2980,0,0.137962,0,6.54087,0,104.001,0,1.31945,0
3000,0,0.137377,0,6.51101,0,104.503,0,1.32785,0
3020,0,0.152658,0,7.34764,0,117.784,0,1.49719,0
3040,0,0.136364,0,6.4956,0,104.303,0,1.32288,0
3060,0,0.134792,0,6.49719,0,104.174,0,1.31668,0
3080,0,0.115665,0,5.85848,0,93.8023,0,1.20477,0
3100,0,0.131243,0,6.41422,0,102.264,0,1.30879,0
3120,0,0.129309,0,6.28656,0,100.447,0,1.27799,0
3140,0,0.13048,0,6.60165,0,105.775,0,1.33967,0
3160,0,0.123836,0,6.28164,0,100.748,0,1.27193,0
3180,0,0.128528,0,6.33871,0,101.263,0,1.27725,0
3200,0,0.123792,0,6.24014,0,99.8934,0,1.25873,0
3220,0,0.120235,0,6.21728,0,99.75,0,1.28023,0
3240,0,0.120011,0,6.41581,0,102.036,0,1.29353,0
3260,0,0.129193,0,6.38515,0,102.151,0,1.29146,0
3280,0,0.13182,0,6.46414,0,103.475,0,1.30896,0
3300,0,0.137132,0,6.83359,0,108.978,0,1.39248,0
3320,0,0.136304,0,6.43755,0,102.728,0,1.31429,0
