tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,794.421,0,8871.78,0,112526,0,1779.78,0
20,0,395.184,0,4534.15,0,57360.1,0,905.258,0
40,0,241.57,0,2759.15,0,34869.5,0,554.059,0
60,0,139.71,0,1567.65,0,19745.2,0,322.157,0
80,0,104.446,0,1167.97,0,14634.5,0,248.037,0
100,0,113.873,0,1258.44,0,15714.4,0,275.102,0
120,0,90.8876,0,997.691,0,12418.5,0,222.194,0
140,0,89.6964,0,986.238,0,12194.7,0,222.71,0
160,0,67.9663,0,744.658,0,9119.3,0,177.203,0
180,0,74.9837,0,812.92,0,9911.87,0,194.516,0
200,0,62.1845,0,670.471,0,8084.8,0,169.64,0
220,0,69.3194,0,735.27,0,8886.62,0,186.737,0
240,0,54.5935,0,576.237,0,6881.62,0,158.12,0
260,0,51.9785,0,539.183,0,6264.14,0,158.295,0
280,0,50.5669,0,525.041,0,6104.6,0,152.853,0
300,0,46.9681,0,485.246,0,5637,0,148.632,0
320,0,45.5894,0,466.929,0,5328.36,0,149.506,0
340,0,47.4677,0,482.034,0,5420.8,0,160.232,0
360,0,43.0862,0,435.846,0,4916.86,0,146.381,0
380,0,37.1136,0,373.733,0,4188.19,0,135.7,0
400,0,39.1175,0,391.266,0,4375.53,0,136.228,0
420,0,33.7192,0,335.691,0,3720.5,0,122.382,0
440,0,33.9954,0,337.898,0,3724.06,0,126.927,0
460,0,31.8804,0,316.17,0,3459.38,0,123.518,0
480,0,34.7849,0,343.033,0,3737.28,0,129.172,0
500,0,35.0003,0,341.204,0,3692,0,125.16,0
520,0,30.3924,0,295.585,0,3162.36,0,111.994,0
540,0,29.5917,0,285.723,0,3022.91,0,113.742,0
560,0,28.1378,0,268.818,0,2817.91,0,107.533,0
580,0,28.3213,0,269.275,0,2784.69,0,104.894,0
600,0,29.5352,0,278.87,0,2866.2,0,106.375,0
620,0,26.9759,0,251.629,0,2533.69,0,105.173,0
640,0,25.2041,0,234.525,0,2337.12,0,101.127,0
660,0,23.1978,0,211.639,0,2041.09,0,97.0508,0
680,0,23.3191,0,212.247,0,2019.47,0,99.0609,0
700,0,21.4689,0,192.495,0,1810.29,0,89.8061,0
720,0,22.3179,0,199.778,0,1843.99,0,93.2373,0
740,0,22.3977,0,199.286,0,1781.51,0,98.4256,0
760,0,21.501,0,190.595,0,1681.19,0,98.0401,0
780,0,18.9967,0,167.498,0,1430.25,0,86.8302,0
800,0,19.3054,0,169.152,0,1433.35,0,85.4255,0
820,0,20.5723,0,178.599,0,1490.85,0,88.2206,0
840,0,19.5333,0,169.811,0,1372.38,0,87.2348,0
860,0,19.0846,0,164.671,0,1299.45,0,84.4395,0
880,0,18.7984,0,162.72,0,1270.92,0,83.4532,0
900,0,17.457,0,150.716,0,1150.64,0,75.8945,0
920,0,17.8643,0,155.179,0,1142.56,0,82.5944,0
940,0,15.8693,0,137.877,0,992.513,0,72.8233,0
960,0,16.083,0,139.571,0,1011.81,0,77.8962,0
980,0,15.8153,0,137.386,0,951.83,0,74.4338,0
1000,0,16.5136,0,144.007,0,962.446,0,81.0714,0
1020,0,14.8828,0,129.351,0,856.107,0,72.7245,0
1040,0,15.8798,0,138.62,0,882.12,0,74.9261,0
1060,0,14.5231,0,127.84,0,793.864,0,71.5414,0
1080,0,14.3077,0,125.816,0,762.8,0,68.4572,0
1100,0,14.0937,0,124.945,0,736.294,0,71.5738,0
1120,0,14.0753,0,124.278,0,718.925,0,70.493,0
1140,0,13.6389,0,120.727,0,697.089,0,71.1795,0
