tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,771.787,0,8688.8,0,109859,0,1737.21,0
20,0,466.042,0,5111.02,0,64546,0,1021.27,0
40,0,276.244,0,3063.64,0,38571.9,0,615.724,0
60,0,180.09,0,1985.91,0,24893.8,0,401.338,0
80,0,138.111,0,1521.44,0,19019,0,312.384,0
100,0,101.436,0,1121.61,0,13976.1,0,235.142,0
120,0,83.7819,0,925.62,0,11478.6,0,199.386,0
140,0,70.3664,0,776.833,0,9610.47,0,171.09,0
160,0,56.5223,0,624.462,0,7698.98,0,142.865,0
180,0,58.4531,0,646.308,0,7966.95,0,146.775,0
200,0,45.565,0,504.127,0,6192.85,0,119.57,0
220,0,39.9897,0,441.823,0,5393.8,0,107.91,0
240,0,44.8347,0,495.802,0,6037.65,0,124.376,0
260,0,30.6728,0,339.309,0,4087.51,0,91.6239,0
280,0,24.4928,0,271.908,0,3252.82,0,80.5838,0
300,0,30.6559,0,338.028,0,4046.34,0,96.8305,0
320,0,22.0827,0,241.75,0,2872.97,0,74.665,0
340,0,27.6692,0,300.077,0,3575.26,0,87.3548,0
360,0,24.5451,0,265.742,0,3135.35,0,85.9522,0
380,0,28.3805,0,305.704,0,3602.18,0,96.9707,0
400,0,29.2875,0,313.4,0,3676.87,0,97.0437,0
420,0,23.9209,0,255.978,0,3000.75,0,81.922,0
440,0,15.5382,0,165.309,0,1898.5,0,60.8945,0
460,0,13.2396,0,140.96,0,1603.14,0,58.1879,0
480,0,14.5722,0,153.772,0,1743.45,0,60.2132,0
500,0,13.1784,0,137.987,0,1541.69,0,56.2732,0
520,0,11.039,0,115.456,0,1279.85,0,47.1723,0
540,0,8.76762,0,91.7679,0,992.856,0,46.595,0
560,0,5.79106,0,60.4699,0,634.667,0,35.2452,0
580,0,5.48396,0,58.4878,0,634.318,0,35.0214,0
600,0,5.88933,0,63.2975,0,702.155,0,40.6355,0
620,0,6.05784,0,65.0911,0,740.633,0,33.2353,0
640,0,5.25788,0,55.7054,0,601.242,0,32.9009,0
660,0,5.59552,0,59.8596,0,685.911,0,34.4148,0
680,0,7.01155,0,73.9138,0,807.741,0,36.763,0
700,0,6.47764,0,68.6628,0,767.924,0,37.5116,0
720,0,7.71029,0,79.3473,0,878.347,0,41.6264,0
740,0,8.96256,0,91.4765,0,1010.37,0,45.8824,0
760,0,9.50341,0,96.4911,0,1058.76,0,49.4474,0
780,0,8.89881,0,90.8561,0,987.453,0,43.7481,0
800,0,10.013,0,101.208,0,1093.03,0,49.6145,0
820,0,11.0266,0,109.389,0,1155.09,0,54.307,0
840,0,10.7515,0,106.35,0,1116.9,0,54.165,0
860,0,9.50647,0,94.2998,0,977.812,0,48.5542,0
880,0,7.76342,0,76.471,0,784.762,0,38.234,0
900,0,8.24131,0,82.2817,0,842.526,0,39.7456,0
920,0,7.83138,0,78.1845,0,797.165,0,37.0055,0
940,0,6.78854,0,67.6482,0,682.723,0,33.2283,0
960,0,7.02249,0,71.5049,0,741.768,0,35.8163,0
980,0,7.48305,0,76.9505,0,801.049,0,36.9863,0
1000,0,6.9174,0,70.3393,0,721.722,0,35.9017,0
1020,0,6.54606,0,65.6808,0,654.047,0,33.4936,0
1040,0,6.85873,0,68.8349,0,684.033,0,35.5352,0
1060,0,6.8136,0,68.5885,0,680.486,0,36.3795,0
1080,0,6.51548,0,65.2697,0,643.944,0,33.9169,0
1100,0,5.93817,0,60.7554,0,596.496,0,32.286,0
1120,0,6.35366,0,64.0747,0,621.89,0,34.7371,0
1140,0,6.47,0,64.9263,0,620.68,0,34.4066,0
1160,0,6.36644,0,63.9343,0,610.014,0,34.6872,0
1180,0,6.34502,0,64.1207,0,605.125,0,35.6727,0
1200,0,6.19837,0,62.4535,0,582.898,0,34.4516,0
1220,0,6.1235,0,61.6567,0,566.107,0,34.1926,0
1240,0,5.79366,0,58.2773,0,531.23,0,33.6778,0
1260,0,5.75696,0,57.8651,0,531.525,0,32.6762,0
1280,0,5.70391,0,57.6796,0,526.898,0,33.578,0
1300,0,5.72139,0,57.6379,0,520.625,0,33.3449,0
1320,0,5.68373,0,57.3839,0,510.013,0,33.2186,0
1340,0,5.46823,0,55.4083,0,493.403,0,32.5115,0
1360,0,6.17405,0,62.4907,0,561.105,0,36.9759,0
1380,0,6.32101,0,64.0416,0,569.949,0,37.3607,0
1400,0,5.5134,0,55.8751,0,494.113,0,33.9043,0
1420,0,5.34637,0,54.3091,0,471.193,0,33.1448,0
1440,0,6.13386,0,63.0262,0,555.008,0,36.3036,0
1460,0,6.85757,0,70.3167,0,610.663,0,40.3356,0
1480,0,6.38822,0,65.5597,0,561.874,0,38.1736,0
1500,0,6.2173,0,63.7787,0,545.319,0,37.0957,0
1520,0,6.70184,0,68.8628,0,579.447,0,40.1453,0
1540,0,6.5363,0,67.0429,0,563.379,0,39.2131,0
1560,0,6.12987,0,63.0657,0,522.884,0,37.4327,0
1580,0,6.03599,0,62.031,0,512.444,0,37.2009,0
1600,0,5.99856,0,61.6835,0,504.735,0,37.2781,0
1620,0,6.22479,0,64.0446,0,521.976,0,39.3033,0
1640,0,6.01546,0,62.2595,0,501.014,0,38.6624,0
1660,0,5.4556,0,56.6477,0,450.972,0,35.8288,0
1680,0,5.53212,0,57.4387,0,456.547,0,36.0086,0
1700,0,5.19985,0,54.009,0,428.554,0,34.4621,0
