tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,714.819,0,8000.33,0,101198,0,1600.98,0
20,0,364.834,0,4095.51,0,51763.8,0,818.249,0
40,0,174.793,0,2008.76,0,25372.9,0,402.563,0
60,0,112.731,0,1309.65,0,16534.2,0,263.726,0
80,0,79.9279,0,929.148,0,11726.8,0,187.832,0
100,0,66.0129,0,763.841,0,9638.14,0,154.748,0
120,0,55.9201,0,640.493,0,8079.3,0,129.495,0
140,0,43.9303,0,500.545,0,6311.7,0,101.58,0
160,0,41.4544,0,471.043,0,5939.13,0,95.451,0
180,0,44.5531,0,504.082,0,6360.1,0,101.712,0
200,0,36.4223,0,411.829,0,5194.57,0,83.3838,0
220,0,38.7234,0,436.992,0,5513.59,0,88.2599,0
240,0,33.105,0,373.124,0,4707.31,0,75.5238,0
260,0,36.2961,0,408.611,0,5155.92,0,82.6658,0
280,0,35.3622,0,397.878,0,5020.03,0,80.6961,0
300,0,38.5906,0,433.966,0,5475.56,0,88.0527,0
320,0,28.4561,0,319.891,0,4035.35,0,65.1955,0
340,0,26.0274,0,292.526,0,3690.23,0,59.7361,0
360,0,24.0727,0,270.452,0,3410.66,0,55.6363,0
380,0,26.804,0,301.044,0,3796.71,0,61.9139,0
400,0,22.8559,0,256.655,0,3236.91,0,52.8592,0
420,0,27.2503,0,305.953,0,3858.46,0,63.2159,0
440,0,20.3366,0,228.284,0,2878.63,0,47.2605,0
460,0,15.038,0,168.745,0,2127.23,0,35.3233,0
480,0,17.8136,0,199.88,0,2519.83,0,41.9299,0
500,0,15.2741,0,171.393,0,2160.82,0,35.8617,0
520,0,17.0324,0,191.106,0,2409.09,0,40.2091,0
540,0,18.5116,0,207.683,0,2618.01,0,43.7563,0
560,0,11.7068,0,131.342,0,1655.29,0,27.9768,0
580,0,10.698,0,119.964,0,1511.71,0,25.7679,0
600,0,5.68542,0,63.7343,0,802.867,0,14.0164,0
620,0,4.25244,0,47.6347,0,599.685,0,10.8176,0
640,0,3.13068,0,35.0598,0,441.076,0,8.22602,0
660,0,2.4952,0,27.9436,0,351.046,0,7.09542,0
680,0,1.93543,0,21.6492,0,271.734,0,6.06754,0
700,0,1.35965,0,15.2102,0,190.349,0,5.00307,0
720,0,0.930445,0,10.4494,0,130.049,0,4.0904,0
740,0,0.691813,0,7.805,0,96.605,0,3.7455,0
760,0,0.477631,0,5.43218,0,66.8078,0,3.41881,0
780,0,0.351598,0,4.02849,0,48.896,0,3.46219,0
800,0,0.259179,0,2.99563,0,35.885,0,3.31478,0
820,0,0.215953,0,2.49304,0,29.6174,0,3.07334,0
840,0,4.96392,0,55.7084,0,700.008,0,14.1326,0
860,0,8.62355,0,96.6121,0,1216.03,0,21.9734,0
880,0,10.4607,0,117.182,0,1475.06,0,26.3204,0
900,0,12.3157,0,137.895,0,1736.27,0,30.8222,0
920,0,13.6816,0,153.221,0,1928.98,0,34.2172,0
940,0,16.1573,0,180.94,0,2277.9,0,40.286,0
960,0,16.0185,0,179.382,0,2258.2,0,39.9188,0
980,0,20.3982,0,228.313,0,2874.81,0,50.1797,0
1000,0,19.4922,0,218.164,0,2746.87,0,48.1977,0
1020,0,22.2768,0,249.307,0,3139.01,0,54.8792,0
1040,0,18.8747,0,211.204,0,2659.05,0,46.4508,0
1060,0,18.3279,0,205.048,0,2581.45,0,45.1617,0
1080,0,16.2196,0,181.437,0,2283.98,0,39.9677,0
1100,0,15.5401,0,173.809,0,2187.77,0,38.3729,0
1120,0,14.411,0,161.176,0,2028.74,0,35.6822,0
1140,0,16.9506,0,189.558,0,2385.83,0,42.1331,0
1160,0,18.8878,0,211.197,0,2658.05,0,46.9337,0
1180,0,15.0991,0,168.813,0,2124.55,0,37.5295,0
1200,0,14.3281,0,160.172,0,2015.68,0,35.6928,0
1220,0,15.6006,0,174.403,0,2194.67,0,38.8869,0
1240,0,12.0635,0,134.848,0,1696.87,0,30.1798,0
1260,0,13.1119,0,146.557,0,1844.07,0,32.8694,0
1280,0,14.3126,0,159.963,0,2012.86,0,35.9135,0
1300,0,12.4044,0,138.625,0,1744.2,0,31.271,0
1320,0,12.4105,0,138.697,0,1745.05,0,31.3389,0
1340,0,9.13774,0,102.112,0,1284.71,0,23.182,0
1360,0,8.06916,0,90.1584,0,1134.28,0,20.563,0
1380,0,8.44949,0,94.4065,0,1187.76,0,21.6609,0
1400,0,7.10394,0,79.3773,0,998.588,0,18.2845,0
1420,0,6.75744,0,75.5019,0,949.836,0,17.5041,0
1440,0,8.31598,0,92.9116,0,1168.84,0,21.4695,0
1460,0,8.56131,0,95.6449,0,1203.25,0,22.164,0
1480,0,8.43949,0,94.2707,0,1186.03,0,21.8615,0
1500,0,8.21533,0,91.7737,0,1154.49,0,21.4867,0
1520,0,8.2535,0,92.1988,0,1159.8,0,21.5508,0
1540,0,8.27848,0,92.4714,0,1163.19,0,21.7478,0
1560,0,7.72942,0,86.3309,0,1085.99,0,20.3557,0
1580,0,7.14059,0,79.7642,0,1003.37,0,18.9736,0
1600,0,6.84386,0,76.4485,0,961.682,0,18.1298,0
1620,0,6.33151,0,70.7131,0,889.511,0,16.8491,0
1640,0,6.73477,0,75.2175,0,946.065,0,18.0199,0
1660,0,6.5041,0,72.6504,0,913.75,0,17.4382,0
1680,0,6.01703,0,67.2163,0,845.517,0,16.2029,0
1700,0,5.30215,0,59.2287,0,745.03,0,14.352,0
1720,0,4.85694,0,54.2506,0,682.348,0,13.221,0
1740,0,4.41787,0,49.3448,0,620.696,0,12.1344,0
1760,0,4.32115,0,48.2642,0,607.153,0,11.932,0
1780,0,4.36079,0,48.7033,0,612.702,0,12.0343,0
1800,0,4.37202,0,48.8254,0,614.164,0,12.114,0
1820,0,4.09083,0,45.6771,0,574.581,0,11.4721,0
1840,0,3.82558,0,42.7164,0,537.276,0,10.8114,0
1860,0,3.56687,0,39.8373,0,501.116,0,10.179,0
1880,0,3.29385,0,36.7894,0,462.732,0,9.50015,0
1900,0,3.08329,0,34.435,0,433.16,0,8.99734,0
1920,0,2.92829,0,32.7058,0,411.362,0,8.55955,0
1940,0,2.77399,0,30.9786,0,389.684,0,8.22531,0
1960,0,2.59313,0,28.9701,0,364.387,0,7.68474,0
1980,0,2.57582,0,28.7491,0,361.721,0,7.70989,0
2000,0,2.35606,0,26.2972,0,330.955,0,7.14032,0
2020,0,2.16738,0,24.1902,0,304.362,0,6.59309,0
2040,0,2.12091,0,23.6928,0,298.079,0,6.48239,0
2060,0,2.05084,0,22.9151,0,288.227,0,6.31212,0
2080,0,1.79045,0,20.0151,0,251.669,0,5.61407,0
2100,0,1.6856,0,18.8381,0,236.984,0,5.41977,0
2120,0,1.60597,0,17.9436,0,225.841,0,5.24589,0
2140,0,1.48387,0,16.5835,0,208.732,0,4.91422,0
2160,0,1.39936,0,15.6468,0,197.012,0,4.72784,0
2180,0,1.33787,0,14.9542,0,188.229,0,4.67433,0
2200,0,1.33774,0,14.9552,0,188.263,0,4.72621,0
2220,0,1.28467,0,14.3615,0,180.735,0,4.61817,0
2240,0,1.16537,0,13.0211,0,163.983,0,4.28303,0
2260,0,1.10798,0,12.3854,0,155.895,0,4.18383,0
2280,0,1.081,0,12.0896,0,152.189,0,4.20997,0
