tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,727.173,0,8016.5,0,101231,0,1605.39,0
20,0,318.188,0,3513.97,0,44491.4,0,703.533,0
40,0,163.397,0,1804.8,0,22864.8,0,363.148,0
60,0,101.496,0,1143.11,0,14488.6,0,230.211,0
80,0,85.4466,0,969.561,0,12277.6,0,194.982,0
100,0,75.6697,0,862.404,0,10916.2,0,173.541,0
120,0,62.3262,0,709.868,0,8979.03,0,142.763,0
140,0,57.4176,0,652.018,0,8241.01,0,131.062,0
160,0,44.6959,0,506.547,0,6399.59,0,101.789,0
180,0,41.1933,0,466.244,0,5886.45,0,93.811,0
200,0,34.527,0,390.286,0,4929.41,0,78.4742,0
220,0,30.7942,0,347.786,0,4392.48,0,69.9246,0
240,0,28.7941,0,324.97,0,4102.88,0,65.3936,0
260,0,24.0621,0,271.466,0,3427.38,0,54.6166,0
280,0,23.6048,0,266.179,0,3359.13,0,53.6539,0
300,0,21.5865,0,243.35,0,3069.81,0,49.1585,0
320,0,17.2029,0,193.982,0,2444.14,0,39.3297,0
340,0,14.2939,0,160.941,0,2027.8,0,32.7023,0
360,0,12.3094,0,138.525,0,1744.31,0,28.1825,0
380,0,11.0071,0,123.788,0,1558.37,0,25.2648,0
400,0,9.14091,0,102.62,0,1291.3,0,21.0036,0
420,0,7.71985,0,86.6681,0,1088.47,0,17.8599,0
440,0,6.19717,0,69.3462,0,869.13,0,14.3932,0
460,0,4.44517,0,49.6174,0,619.429,0,10.4655,0
480,0,3.26583,0,36.3847,0,450.538,0,7.86727,0
500,0,2.47075,0,27.3603,0,335.779,0,6.10931,0
520,0,1.7774,0,19.7133,0,239.205,0,4.59822,0
540,0,1.48652,0,16.2211,0,189.745,0,4.02149,0
560,0,1.13121,0,12.3875,0,143.548,0,3.26654,0
580,0,0.949546,0,10.1855,0,111.542,0,2.85011,0
600,0,0.774285,0,8.31472,0,88.3375,0,2.49532,0
620,0,0.652101,0,7.05429,0,70.5565,0,2.2182,0
640,0,0.459007,0,5.02006,0,47.7324,0,1.6877,0
660,0,0.408589,0,4.24516,0,35.7721,0,1.46088,0
680,0,0.399657,0,4.13978,0,31.4157,0,1.52622,0
700,0,0.34911,0,3.66152,0,26.2971,0,1.47395,0
720,0,0.319484,0,3.55393,0,24.9734,0,1.72193,0
740,0,0.422948,0,4.36874,0,26.0292,0,2.07555,0
760,0,0.292335,0,3.43364,0,23.5402,0,2.04597,0
780,0,0.343859,0,3.85469,0,23.9484,0,2.24855,0
800,0,0.477463,0,4.61583,0,23.3183,0,2.24273,0
820,0,0.545601,0,5.03701,0,24.3941,0,2.35899,0
840,0,0.450577,0,4.57792,0,23.659,0,2.33927,0
