tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,712.262,0,8012.45,0,101281,0,1595.25,0
20,0,307.915,0,3438.83,0,43435.1,0,682.36,0
40,0,188.095,0,2100.02,0,26485.3,0,421.182,0
60,0,133.351,0,1489.15,0,18743.6,0,304.51,0
80,0,95.3031,0,1063.02,0,13351.5,0,222.446,0
100,0,73.9559,0,827.191,0,10328.6,0,181.04,0
120,0,54.1714,0,606.014,0,7525.59,0,138.47,0
140,0,42.3267,0,472.968,0,5845.33,0,114.016,0
160,0,33.018,0,369.234,0,4528.51,0,94.7705,0
180,0,23.7191,0,264.663,0,3201.3,0,74.7897,0
200,0,20.6279,0,229.911,0,2719.82,0,71.5878,0
220,0,15.323,0,171.168,0,1967.66,0,60.3822,0
240,0,13.611,0,152.746,0,1674.14,0,62.1029,0
260,0,10.7428,0,120.447,0,1259.42,0,55.2323,0
280,0,9.3073,0,105.661,0,1001.48,0,54.3914,0
300,0,7.70252,0,86.9714,0,816.371,0,49.311,0
320,0,6.80429,0,80.3755,0,666.438,0,49.5627,0
340,0,6.17938,0,72.9672,0,562.558,0,48.7909,0
360,0,6.53285,0,79.1449,0,547.52,0,54.6158,0
380,0,5.37816,0,66.7265,0,455.601,0,48.5451,0
400,0,5.39653,0,69.5132,0,435.481,0,49.6047,0
420,0,5.50156,0,72.2429,0,437.211,0,51.3385,0
440,0,5.1053,0,68.2574,0,411.631,0,49.8149,0
460,0,5.5595,0,77.7963,0,461.193,0,55.5575,0
480,0,4.46697,0,62.8276,0,388.132,0,48.2362,0
500,0,4.71122,0,69.8221,0,422.225,0,50.7041,0
520,0,3.94365,0,59.2838,0,385.439,0,47.3801,0
540,0,3.49785,0,54.2266,0,358.17,0,43.9002,0
560,0,3.55688,0,55.1347,0,353.134,0,42.6299,0
580,0,3.4707,0,55.8222,0,357.994,0,42.6165,0
600,0,3.1403,0,50.9997,0,332.191,0,39.5948,0
620,0,3.24144,0,52.6701,0,357.685,0,42.0587,0
640,0,3.16819,0,52.3785,0,360.084,0,41.9701,0
660,0,3.06877,0,54.9917,0,387.475,0,43.829,0
680,0,2.90688,0,50.8065,0,372.271,0,42.156,0
700,0,2.81285,0,50.1465,0,356.247,0,39.1772,0
720,0,3.20434,0,55.7608,0,411.183,0,44.4062,0
740,0,3.06574,0,55.3282,0,409.326,0,43.064,0
760,0,2.73215,0,55.4039,0,426.765,0,44.6272,0
780,0,3.01128,0,50.9082,0,400.86,0,41.8363,0
800,0,2.93285,0,54.3962,0,429.279,0,43.4454,0
820,0,2.93347,0,56.0605,0,448.778,0,45.479,0
840,0,2.79359,0,53.1678,0,438.903,0,44.4689,0
860,0,2.85955,0,56.1709,0,474.244,0,46.9098,0
880,0,2.96406,0,53.3159,0,459.125,0,45.3567,0
900,0,2.93393,0,55.72,0,471.915,0,46.4693,0
920,0,3.16984,0,54.9492,0,469.214,0,45.7386,0
940,0,3.37547,0,58.6377,0,524.611,0,50.8736,0
960,0,3.74538,0,65.256,0,602.994,0,57.7405,0
980,0,3.62696,0,62.2666,0,593.826,0,56.4313,0
1000,0,3.60713,0,64.1094,0,615.115,0,59.4643,0
1020,0,4.08321,0,64.1949,0,620.821,0,60.0556,0
1040,0,3.88512,0,65.283,0,653.699,0,63.1925,0
1060,0,4.65796,0,66.1685,0,634.18,0,60.7061,0
1080,0,5.06074,0,66.6015,0,614.041,0,58.9137,0
1100,0,5.34434,0,73.0556,0,679.092,0,62.6967,0
1120,0,4.99362,0,70.4281,0,635.188,0,60.4306,0
1140,0,5.05861,0,69.766,0,619.493,0,57.4571,0
1160,0,5.39046,0,71.5861,0,607.293,0,55.5519,0
1180,0,4.81282,0,69.3422,0,611.107,0,55.6351,0
1200,0,4.3118,0,64.4434,0,545.538,0,49.1676,0
1220,0,4.33532,0,65.7368,0,566.059,0,51.4375,0
1240,0,4.2331,0,60.5003,0,537.665,0,48.4613,0
1260,0,3.40773,0,55.9703,0,511.579,0,46.2947,0
1280,0,3.15961,0,51.8638,0,478.477,0,43.4645,0
1300,0,3.15447,0,51.017,0,509.223,0,45.3583,0
1320,0,2.98525,0,48.573,0,485.773,0,42.7613,0
1340,0,2.4502,0,42.947,0,436.952,0,38.9204,0
1360,0,2.60571,0,45.4397,0,476.619,0,41.4023,0
1380,0,2.64342,0,42.1146,0,429.448,0,35.9956,0
1400,0,2.53272,0,42.1962,0,450.044,0,37.0614,0
1420,0,2.20163,0,35.5608,0,376.26,0,31.8616,0
1440,0,2.15038,0,36.0543,0,395.989,0,32.2962,0
1460,0,2.03003,0,33.8873,0,381.819,0,31.9244,0
1480,0,1.99191,0,34.3313,0,391.388,0,31.4948,0
1500,0,1.74753,0,30.9582,0,367.598,0,28.4427,0
1520,0,1.76618,0,32.8813,0,382.365,0,29.0423,0
1540,0,1.80223,0,33.1876,0,382.162,0,28.9412,0
1560,0,1.68295,0,30.0382,0,344.418,0,26.4755,0
1580,0,1.65336,0,30.1307,0,350.248,0,26.6764,0
1600,0,1.53487,0,26.3445,0,301.496,0,23.7833,0
1620,0,1.70263,0,31.3965,0,367.011,0,27.0886,0
1640,0,1.66691,0,31.0706,0,379.883,0,28.5574,0
1660,0,1.63367,0,28.2959,0,324.355,0,24.4511,0
1680,0,1.56562,0,26.8689,0,327.535,0,24.7965,0
1700,0,1.66231,0,28.925,0,353.376,0,25.5082,0
1720,0,1.46369,0,25.1858,0,296.609,0,22.2655,0
1740,0,1.42117,0,26.1152,0,317.468,0,23.0692,0
1760,0,1.44341,0,25.553,0,310.003,0,22.4834,0
1780,0,1.42219,0,26.0575,0,313.921,0,22.8293,0
1800,0,1.4826,0,27.3986,0,337.086,0,23.9516,0
1820,0,1.32148,0,24.6515,0,309.841,0,22.5374,0
1840,0,1.35119,0,25.5164,0,314.098,0,21.7698,0
1860,0,1.59055,0,32.6553,0,357.295,0,24.1469,0
1880,0,1.72704,0,35.0966,0,376.339,0,24.4515,0
1900,0,1.49923,0,30.8294,0,350.652,0,23.0792,0
1920,0,1.3573,0,29.1968,0,331.429,0,22.6166,0
1940,0,1.41974,0,28.4589,0,322.444,0,21.7253,0
1960,0,1.40525,0,28.1072,0,332.999,0,22.5891,0
1980,0,1.32517,0,26.2575,0,318.49,0,22.1443,0
2000,0,1.20517,0,23.6521,0,291.563,0,20.8873,0
2020,0,1.198,0,25.0113,0,308.906,0,21.6371,0
2040,0,1.15774,0,22.7533,0,285.813,0,20.4532,0
2060,0,1.23503,0,23.2718,0,292.051,0,21.2803,0
2080,0,1.2346,0,21.736,0,274.536,0,20.2165,0
2100,0,1.2249,0,21.6346,0,263.882,0,19.0577,0
2120,0,1.32813,0,23.8537,0,289.456,0,20.3844,0
2140,0,1.33903,0,24.2448,0,290.019,0,19.413,0
2160,0,1.33929,0,23.5348,0,280.982,0,19.3289,0
2180,0,1.12729,0,20.8719,0,246.413,0,17.2115,0
2200,0,1.10043,0,20.8601,0,255.948,0,17.9123,0
2220,0,1.2832,0,24.2663,0,313.25,0,20.2345,0
2240,0,1.26721,0,23.0588,0,287.019,0,18.6365,0
2260,0,1.18958,0,22.2586,0,286.24,0,18.867,0
2280,0,1.24502,0,23.0436,0,304.115,0,19.8876,0
2300,0,1.15478,0,21.9937,0,289.748,0,19.0199,0
2320,0,1.1074,0,20.9662,0,270.838,0,18.4316,0
2340,0,1.27624,0,24.7654,0,307.896,0,19.9845,0
2360,0,1.1377,0,21.0898,0,266.37,0,17.7633,0
2380,0,1.24141,0,23.3997,0,283.021,0,18.33,0
2400,0,1.29884,0,24.5652,0,299.091,0,19.0304,0
2420,0,1.26013,0,24.8492,0,297.011,0,18.5583,0
2440,0,1.28973,0,24.5719,0,295.622,0,18.4359,0
2460,0,1.16002,0,21.119,0,248.75,0,16.598,0
2480,0,1.35223,0,24.7152,0,286.727,0,18.4127,0
2500,0,1.36228,0,24.7699,0,288.237,0,18.2075,0
2520,0,1.34816,0,25.3204,0,296.489,0,18.237,0
2540,0,1.20173,0,22.6415,0,276.488,0,17.6348,0
2560,0,1.14951,0,20.8957,0,254.328,0,16.495,0
2580,0,1.18255,0,22.3726,0,278.925,0,17.6151,0
2600,0,1.05787,0,20.4627,0,261.663,0,16.8814,0
2620,0,1.08766,0,21.8138,0,283.655,0,18.2507,0
2640,0,1.08148,0,21.4263,0,256.872,0,16.8618,0
2660,0,1.00525,0,20.2533,0,248.253,0,16.2705,0
2680,0,1.00714,0,18.8706,0,229.839,0,15.2435,0
2700,0,1.03388,0,20.3724,0,259.314,0,16.821,0
2720,0,1.09176,0,20.2033,0,252.617,0,16.4929,0
2740,0,1.00592,0,18.2529,0,221.854,0,15.1394,0
2760,0,1.05521,0,19.4065,0,238.374,0,16.2095,0
2780,0,1.0169,0,18.6153,0,231.187,0,15.9394,0
2800,0,1.02253,0,17.5461,0,216.691,0,15.1461,0
2820,0,1.0116,0,17.5626,0,219.279,0,15.0724,0
2840,0,1.02251,0,17.5441,0,219.836,0,15.0917,0
2860,0,1.12032,0,19.6827,0,226.581,0,14.9174,0
2880,0,1.09024,0,18.3005,0,210.088,0,14.2966,0
2900,0,1.15126,0,19.0401,0,225.473,0,15.1939,0
2920,0,1.13389,0,19.1611,0,231.29,0,15.0732,0
2940,0,1.11499,0,19.1629,0,230.207,0,15.8467,0
2960,0,1.09393,0,18.7888,0,222.09,0,15.3201,0
2980,0,1.03155,0,17.7861,0,212.855,0,14.5137,0
3000,0,1.04391,0,18.4399,0,223.928,0,14.9007,0
3020,0,0.93785,0,17.7261,0,223.318,0,15.0843,0
3040,0,0.94746,0,17.4609,0,217.404,0,14.7895,0
3060,0,1.04267,0,17.7128,0,217.336,0,14.6592,0
3080,0,1.13428,0,20.3715,0,248.72,0,16.6081,0
3100,0,1.22428,0,21.4857,0,268.402,0,17.9198,0
3120,0,1.19239,0,19.7697,0,240.033,0,16.0488,0
3140,0,1.18801,0,20.3978,0,252.879,0,16.2244,0
3160,0,0.995658,0,17.338,0,213.639,0,14.1797,0
3180,0,0.991283,0,17.5099,0,211.128,0,13.9414,0
3200,0,0.862324,0,16.3955,0,202.744,0,13.3227,0
3220,0,0.844334,0,16.3133,0,207.771,0,13.9617,0
3240,0,0.66944,0,13.0438,0,164.051,0,11.3253,0
3260,0,0.889779,0,17.3873,0,214.209,0,14.1259,0
3280,0,0.879655,0,16.7384,0,208.614,0,14.1617,0
3300,0,0.878467,0,17.6139,0,218.511,0,13.9064,0
3320,0,0.869026,0,18.4862,0,228.292,0,14.9908,0
3340,0,0.887816,0,17.4415,0,205.176,0,13.4627,0
3360,0,0.912419,0,18.5381,0,219.394,0,14.2757,0
3380,0,0.951585,0,19.5784,0,231.633,0,14.6456,0
3400,0,1.07856,0,21.5026,0,258.821,0,16.3726,0
3420,0,0.968842,0,18.8602,0,228.755,0,14.626,0
3440,0,0.923011,0,17.6364,0,211.781,0,13.6856,0
3460,0,0.98245,0,18.5446,0,227.248,0,14.5399,0
3480,0,0.963055,0,17.8733,0,220.831,0,14.1976,0
3500,0,0.933688,0,16.9509,0,211.52,0,13.6404,0
3520,0,0.944918,0,16.8051,0,205.568,0,12.9675,0
3540,0,0.976115,0,18.5702,0,233.347,0,15.0392,0
3560,0,0.995807,0,18.1142,0,218.847,0,14.5187,0
3580,0,0.996022,0,17.8779,0,214.99,0,14.1033,0
3600,0,1.00722,0,16.9637,0,198.641,0,13.131,0
3620,0,0.910244,0,16.4619,0,199.318,0,12.9547,0
3640,0,0.958839,0,17.436,0,206.147,0,13.2391,0
3660,0,0.986076,0,18.9719,0,217.173,0,13.365,0
3680,0,0.951744,0,19.0497,0,230.792,0,14.6119,0
3700,0,0.885999,0,18.3941,0,217.384,0,13.694,0
3720,0,0.892928,0,18.2601,0,221.023,0,14.0286,0
3740,0,0.910698,0,17.8444,0,214.217,0,13.5424,0
3760,0,0.92058,0,17.3232,0,200.906,0,12.6436,0
3780,0,0.824311,0,15.7394,0,185.802,0,11.8943,0
3800,0,0.961004,0,17.8532,0,218.047,0,13.6323,0
3820,0,0.923445,0,16.9307,0,208.979,0,13.2424,0
3840,0,0.73604,0,15.78,0,202.934,0,13.1242,0
3860,0,0.719211,0,14.4977,0,186.884,0,12.0699,0
3880,0,0.75418,0,15.1949,0,196.497,0,12.5754,0
3900,0,0.726733,0,14.5476,0,185.458,0,11.9049,0
3920,0,0.708923,0,13.8996,0,171.946,0,11.1194,0
3940,0,0.692789,0,13.409,0,162.04,0,10.6838,0
3960,0,0.710151,0,13.451,0,170.362,0,11.2426,0
3980,0,0.773984,0,14.9084,0,186.391,0,11.634,0
4000,0,0.697483,0,12.4462,0,162.929,0,10.7415,0
