tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,730.575,0,8010.72,0,101353,0,1604.72,0
20,0,392.923,0,4279.11,0,54030.6,0,850.439,0
40,0,204.133,0,2239.63,0,28187.9,0,445.275,0
60,0,141.814,0,1565.76,0,19650.8,0,317.26,0
80,0,96.2282,0,1064.93,0,13324.1,0,220.84,0
100,0,84.5488,0,938.487,0,11686.1,0,200.866,0
120,0,61.3646,0,683.386,0,8463.16,0,151.334,0
140,0,45.2992,0,505.167,0,6209.18,0,117.87,0
160,0,35.7866,0,400.145,0,4862.58,0,99.4874,0
180,0,27.769,0,313.488,0,3717.12,0,87.3668,0
200,0,21.6795,0,247.064,0,2873.64,0,74.4527,0
220,0,17.0802,0,197.491,0,2178.14,0,68.2487,0
240,0,16.1412,0,190.731,0,1956.52,0,76.1069,0
260,0,13.0783,0,156.202,0,1508.66,0,68.368,0
280,0,11.314,0,140.94,0,1254.29,0,71.1218,0
300,0,10.0129,0,129.195,0,1069.28,0,72.4222,0
320,0,8.39018,0,107.967,0,833.571,0,64.5411,0
340,0,7.4913,0,99.4772,0,745.163,0,63.0183,0
360,0,6.1143,0,82.3806,0,601.274,0,55.2259,0
380,0,5.37995,0,73.0545,0,524.807,0,53.047,0
400,0,5.11359,0,70.0171,0,491.128,0,53.576,0
420,0,4.26845,0,59.8607,0,436.441,0,50.3153,0
440,0,3.73384,0,53.7721,0,390.897,0,48.3019,0
460,0,3.27576,0,47.6109,0,361.816,0,47.2003,0
480,0,3.21423,0,48.6243,0,391.381,0,52.2861,0
500,0,3.04225,0,45.0976,0,366.965,0,49.4241,0
520,0,2.94665,0,43.5638,0,364.997,0,50.2426,0
540,0,2.9104,0,42.7477,0,369.784,0,51.7214,0
560,0,2.33124,0,39.2392,0,362.105,0,51.1088,0
580,0,2.41671,0,37.0283,0,326.909,0,44.8464,0
600,0,2.45132,0,36.2784,0,330.469,0,45.3608,0
620,0,2.495,0,38.403,0,347.302,0,46.427,0
640,0,2.22565,0,38.1615,0,361.663,0,48.9365,0
660,0,2.20623,0,38.0458,0,364.39,0,47.4127,0
680,0,2.07312,0,34.537,0,337.936,0,44.9216,0
700,0,2.63489,0,38.3635,0,367.888,0,48.0024,0
720,0,2.72497,0,34.5672,0,332.489,0,44.5999,0
740,0,2.99527,0,40.2982,0,382.381,0,48.5764,0
760,0,3.22012,0,42.0248,0,398.15,0,49.6698,0
780,0,3.71135,0,42.8365,0,379.277,0,46.7384,0
800,0,4.63459,0,45.7519,0,386.247,0,48.0824,0
820,0,4.55927,0,47.1901,0,429.781,0,53.786,0
840,0,4.13162,0,42.8664,0,395.309,0,49.5935,0
860,0,5.14473,0,49.1619,0,418.981,0,49.6726,0
880,0,5.66873,0,53.4653,0,461.037,0,53.3909,0
900,0,5.06622,0,50.2325,0,444.247,0,51.2013,0
920,0,4.18702,0,44.6436,0,383.28,0,44.5925,0
940,0,4.8468,0,50.736,0,407.961,0,46.9514,0
960,0,6.04366,0,56.1961,0,402.568,0,45.0434,0
980,0,5.85674,0,59.7398,0,440.393,0,48.11,0
1000,0,6.06486,0,56.4036,0,424.093,0,47.8091,0
1020,0,6.0885,0,56.6351,0,442.435,0,49.4412,0
1040,0,7.02133,0,62.7376,0,458.151,0,50.1822,0
1060,0,6.13092,0,59.5855,0,441.107,0,47.5291,0
1080,0,6.50429,0,61.1481,0,429.3,0,45.1909,0
1100,0,5.94336,0,59.1566,0,437.726,0,46.0025,0
1120,0,5.7552,0,56.4164,0,415.334,0,43.7609,0
1140,0,5.3674,0,54.5657,0,415.839,0,44.1764,0
1160,0,5.09998,0,53.1076,0,429.41,0,46.1824,0
1180,0,4.85697,0,51.2961,0,436.828,0,45.692,0
