tick,9,8,7,6,4,2,5,3,1,0
0,0.07,0.06,0.08,0.07,0.1,0.09,0.11,0.03,0.09,0.07
20,0.06,0.15,0.07,0.16,0.07,0.1,0.09,0.09,0.09,0.14
40,0.15,0.09,0.2,0.13,0.07,0.13,0.14,0.12,0.12,0.1
60,0.1,0.11,0.11,0.04,0.08,0.08,0.06,0.09,0.08,0.11
80,0.07,0.07,0.11,0.08,0.1,0.1,0.12,0.11,0.07,0.16
100,0.12,0.11,0.09,0.14,0.08,0.09,0.1,0.07,0.09,0.11
120,0.1,0.07,0.07,0.11,0.09,0.07,0.05,0.05,0.06,0.07
140,0.09,0.08,0.09,0.07,0.09,0.14,0.1,0.05,0.08,0.11
160,0.1,0.12,0.08,0.08,0.1,0.19,0.05,0.1,0.05,0.07
180,0.13,0.12,0.1,0.08,0.1,0.13,0.09,0.1,0.07,0.18
200,0.11,0.09,0.08,0.08,0.11,0.07,0.08,0.07,0.1,0.09
220,0.1,0.11,0.14,0.09,0.11,0.14,0.13,0.07,0.08,0.11
240,0.11,0.13,0.13,0.06,0.09,0.24,0.12,0.12,0.11,0.1
260,0.13,0.14,0.2,0.19,0.1,0.12,0.12,0.09,0.11,0.11
280,0.12,0.29,0.12,0.16,0.16,0.1,0.04,0.07,0.09,0.09
300,0.05,0.12,0.09,0.08,0.08,0.1,0.08,0.13,0.09,0.1
320,0.04,0.14,0.11,0.11,0.1,0.11,0.09,0.11,0.13,0.07
340,0.06,0.06,0.29,0.1,0.19,0.08,0.12,0.11,0.08,0.1
360,0.07,0.13,0.22,0.13,0.27,0.22,0.07,0.14,0.07,0.18
380,0.2,0.21,0.12,0.1,0.21,0.11,0.07,0.2,0.13,0.05
400,0.1,0.06,0.08,0.2,0.07,0.13,0.11,0.34,0.09,0.06
420,0.11,0.24,0.11,0.14,0.13,0.1,0.1,0.16,0.08,0.22
440,0.11,0.22,0.12,0.21,0.11,0.09,0.1,0.35,0.16,0.15
460,0.1,0.15,0.12,0.31,0.07,0.15,0.14,0.31,0.11,0.08
480,0.09,0.11,0.16,0.32,0.18,0.17,0.1,0.13,0.08,0.18
500,0.08,0.14,0.17,0.21,0.22,0.07,0.09,0.09,0.12,0.17
520,0.1,0.22,0.2,0.21,0.13,0.09,0.08,0.05,0.13,0.19
540,0.11,0.21,0.2,0.24,0.15,0.08,0.09,0.08,0.08,0.11
560,0.2,0.19,0.29,0.2,0.29,0.18,0.14,0.12,0.14,0.21
580,0.17,0.18,0.27,0.21,0.37,0.21,0.31,0.11,0.16,0.17
600,0.23,0.19,0.2,0.19,0.32,0.19,0.12,0.1,0.14,0.21
620,0.23,0.21,0.32,0.3,0.12,0.27,0.26,0.11,0.25,0.22
640,0.2,0.19,0.33,0.23,0.25,0.11,0.25,0.13,0.26,0.22
660,0.23,0.24,0.33,0.27,0.21,0.13,0.37,0.06,0.18,0.31
680,0.16,0.23,0.14,0.21,0.36,0.26,0.25,0.1,0.25,0.22
700,0.16,0.31,0.28,0.34,0.12,0.21,0.26,0.13,0.19,0.32
720,0.2,0.3,0.37,0.27,0.13,0.21,0.26,0.23,0.17,0.19
740,0.18,0.28,0.41,0.26,0.29,0.28,0.36,0.24,0.19,0.27
760,0.25,0.27,0.32,0.27,0.25,0.24,0.22,0.25,0.26,0.2
780,0.29,0.21,0.33,0.37,0.29,0.24,0.35,0.16,0.29,0.36
800,0.24,0.19,0.39,0.27,0.34,0.23,0.36,0.24,0.28,0.3
820,0.35,0.24,0.38,0.35,0.35,0.29,0.39,0.32,0.29,0.19
840,0.38,0.24,0.32,0.28,0.28,0.38,0.49,0.36,0.25,0.22
860,0.45,0.19,0.4,0.33,0.33,0.22,0.27,0.14,0.36,0.28
880,0.38,0.29,0.58,0.4,0.22,0.18,0.4,0.34,0.26,0.25
900,0.26,0.19,0.36,0.32,0.24,0.16,0.37,0.39,0.31,0.39
920,0.18,0.24,0.37,0.25,0.27,0.27,0.44,0.41,0.21,0.31
940,0.2,0.31,0.32,0.33,0.3,0.38,0.26,0.51,0.32,0.45
960,0.35,0.32,0.29,0.32,0.32,0.32,0.33,0.3,0.32,0.34
980,0.33,0.43,0.34,0.34,0.32,0.34,0.35,0.33,0.27,0.48
1000,0.37,0.23,0.35,0.35,0.36,0.43,0.45,0.24,0.28,0.5
1020,0.34,0.27,0.41,0.36,0.39,0.45,0.39,0.37,0.42,0.54
1040,0.32,0.25,0.31,0.39,0.46,0.35,0.49,0.51,0.39,0.39
1060,0.42,0.3,0.37,0.45,0.47,0.42,0.48,0.43,0.4,0.52
1080,0.36,0.28,0.39,0.46,0.27,0.56,0.39,0.43,0.29,0.42
1100,0.35,0.33,0.44,0.42,0.41,0.53,0.37,0.2,0.42,0.35
1120,0.36,0.33,0.4,0.28,0.41,0.6,0.49,0.16,0.48,0.56
1140,0.37,0.44,0.42,0.49,0.46,0.29,0.53,0.32,0.39,0.48
1160,0.42,0.48,0.3,0.49,0.38,0.33,0.46,0.42,0.49,0.48
1180,0.37,0.43,0.45,0.5,0.4,0.4,0.48,0.5,0.29,0.56
1200,0.39,0.36,0.47,0.54,0.49,0.35,0.5,0.48,0.4,0.54
1220,0.4,0.46,0.39,0.44,0.53,0.46,0.55,0.5,0.41,0.36
