tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,722.137,0,8030.78,0,101331,0,1610.97,0
20,0,339.704,0,3850.64,0,48675.8,0,772.704,0
40,0,186.843,0,2142.25,0,27113,0,433.453,0
60,0,121.579,0,1405.54,0,17786,0,286.433,0
80,0,88.881,0,1032.27,0,13054.6,0,211.837,0
100,0,59.5778,0,694.813,0,8773,0,144.689,0
120,0,48.504,0,566.855,0,7148.63,0,119.117,0
140,0,37.967,0,444.846,0,5597.43,0,95.289,0
160,0,26.9724,0,317.391,0,3976.02,0,69.8739,0
180,0,22.4988,0,264.942,0,3313.3,0,59.2956,0
200,0,16.1594,0,191.055,0,2376.62,0,44.3688,0
220,0,12.6147,0,150.829,0,1854.53,0,37.3073,0
240,0,9.41557,0,113.315,0,1380.87,0,29.6821,0
260,0,7.61297,0,93.1017,0,1114.93,0,26.7242,0
280,0,5.57822,0,69.2168,0,813.552,0,21.6474,0
300,0,4.6418,0,59.0314,0,671.193,0,20.3554,0
320,0,3.56269,0,46.3438,0,517.628,0,17.3356,0
340,0,2.86912,0,38.7607,0,414.435,0,16.1448,0
360,0,2.34699,0,33.1524,0,333.647,0,15.6096,0
380,0,1.94039,0,28.3234,0,267.627,0,14.2223,0
400,0,1.54706,0,23.6078,0,212.124,0,12.8495,0
420,0,1.36886,0,22.3489,0,184.562,0,13.6821,0
440,0,1.21875,0,19.6773,0,149.21,0,12.5658,0
460,0,1.13811,0,18.5891,0,132.501,0,12.4535,0
480,0,0.980499,0,17.8988,0,123.758,0,12.9042,0
500,0,0.872441,0,16.5478,0,111.898,0,12.3187,0
520,0,0.94254,0,17.7135,0,116.788,0,13.5457,0
540,0,1.13479,0,18.0743,0,113.949,0,13.382,0
560,0,1.05788,0,16.8513,0,107.836,0,13.0505,0
580,0,1.04664,0,16.0125,0,104.057,0,12.8173,0
600,0,1.17686,0,19.1149,0,126.54,0,16.3424,0
620,0,1.12192,0,18.6682,0,129.565,0,16.7109,0
640,0,1.13572,0,18.845,0,130.233,0,16.9411,0
660,0,1.08733,0,17.6285,0,118.832,0,14.9698,0
680,0,1.1185,0,18.2785,0,122.702,0,15.4018,0
700,0,1.3652,0,21.0468,0,137.258,0,17.0375,0
720,0,0.892532,0,17.948,0,125.078,0,15.4287,0
740,0,1.02689,0,19.4969,0,137.992,0,17.4246,0
760,0,1.29523,0,20.5595,0,143.462,0,17.648,0
780,0,1.45596,0,23.7046,0,169.604,0,21.361,0
800,0,1.0044,0,20.2623,0,155.222,0,19.5722,0
820,0,1.16604,0,22.1585,0,171.93,0,21.7676,0
840,0,1.39203,0,24.3569,0,188.028,0,23.8375,0
