tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,716.885,0,8005.65,0,101317,0,1596.23,0
20,0,348.153,0,3892.04,0,49410.5,0,781.354,0
40,0,192.339,0,2129.25,0,27098.6,0,431.006,0
60,0,122.076,0,1355.21,0,17255.5,0,275.632,0
80,0,91.9927,0,1022.9,0,13026.6,0,208.626,0
100,0,67.7836,0,755.15,0,9614.38,0,154.343,0
120,0,51.9327,0,579.078,0,7370.35,0,118.563,0
140,0,39.3636,0,439.058,0,5586.03,0,90.089,0
160,0,29.0847,0,324.68,0,4127.22,0,66.845,0
180,0,22.3067,0,249.262,0,3164.36,0,51.5756,0
200,0,17.4479,0,195.047,0,2473.98,0,40.4776,0
220,0,12.9712,0,145.181,0,1838.27,0,30.3088,0
240,0,9.90546,0,111.001,0,1402.98,0,23.3274,0
260,0,7.48335,0,84.0867,0,1058.99,0,17.8719,0
280,0,5.58779,0,63.0195,0,789.971,0,13.5785,0
300,0,4.65063,0,52.5788,0,656.484,0,11.4515,0
320,0,3.36546,0,38.3928,0,474.404,0,8.5766,0
340,0,2.67152,0,30.6667,0,376.052,0,7.00209,0
360,0,1.93115,0,22.4572,0,271.372,0,5.29525,0
380,0,1.56978,0,18.5056,0,219.854,0,4.53554,0
400,0,1.10556,0,13.3748,0,153.18,0,3.46768,0
420,0,0.846008,0,10.5399,0,115.812,0,2.85786,0
440,0,0.707011,0,9.2601,0,92.1576,0,2.75636,0
460,0,0.545049,0,7.45763,0,69.7399,0,2.34127,0
480,0,0.508675,0,7.20484,0,62.28,0,2.3685,0
500,0,0.425829,0,6.3913,0,51.1242,0,2.21412,0
520,0,0.387301,0,5.86016,0,42.093,0,2.08765,0
540,0,0.387184,0,5.80471,0,36.48,0,2.12831,0
560,0,0.305652,0,4.80857,0,29.4965,0,1.80794,0
580,0,0.279552,0,4.84204,0,28.0384,0,1.88214,0
600,0,0.251636,0,4.47894,0,24.7547,0,1.73737,0
620,0,0.472623,0,6.38595,0,29.46,0,2.30387,0
640,0,0.26951,0,4.36364,0,22.5459,0,1.78636,0
660,0,0.358016,0,5.3606,0,26.3303,0,2.16923,0
680,0,0.340786,0,5.18961,0,26.0459,0,2.15656,0
700,0,0.421252,0,5.69574,0,27.3254,0,2.29258,0
720,0,0.523305,0,6.51312,0,30.6126,0,2.68993,0
740,0,0.545029,0,6.39537,0,29.9967,0,2.6672,0
760,0,0.548123,0,6.3865,0,29.8199,0,2.61483,0
780,0,0.5873,0,6.71248,0,32.7787,0,2.91826,0
800,0,0.417897,0,5.71684,0,33.6415,0,3.09359,0
820,0,0.698572,0,7.53981,0,36.5615,0,3.45189,0
