tick,9,8,7,6,4,2,5,3,1,0
0,0.2,0.13,0.09,0.06,0.09,0.14,0.08,0.07,0.09,0.23
20,0.13,0.17,0.12,0.15,0.11,0.11,0.07,0.1,0.15,0.15
40,0.12,0.1,0.08,0.17,0.04,0.08,0.08,0.11,0.09,0.17
60,0.1,0.07,0.07,0.12,0.07,0.14,0.1,0.07,0.09,0.03
80,0.1,0.14,0.07,0.18,0.06,0.05,0.03,0.14,0.15,0.07
100,0.1,0.14,0.12,0.11,0.09,0.09,0.1,0.12,0.16,0.07
120,0.08,0.08,0.09,0.19,0.14,0.09,0.12,0.23,0.09,0.07
140,0.16,0.11,0.08,0.13,0.18,0.06,0.06,0.04,0.17,0.02
160,0.1,0.08,0.11,0.08,0.09,0.05,0.07,0.19,0.07,0.14
180,0.11,0.1,0.1,0.21,0.1,0.09,0.13,0.19,0.16,0.08
200,0.06,0.09,0.07,0.07,0.11,0.14,0.09,0.09,0.13,0.06
220,0.08,0.13,0.1,0.12,0.12,0.08,0.12,0.16,0.13,0.12
240,0.08,0.23,0.12,0.19,0.07,0.08,0.08,0.12,0.08,0.08
260,0.15,0.09,0.16,0.09,0.09,0.16,0.07,0.09,0.13,0.09
280,0.09,0.1,0.13,0.16,0.15,0.12,0.12,0.11,0.07,0.06
300,0.05,0.05,0.19,0.09,0.1,0.12,0.11,0.17,0.02,0.05
320,0.16,0.05,0.08,0.1,0.1,0.14,0.1,0.09,0.16,0.11
340,0.11,0.11,0.1,0.19,0.05,0.19,0.06,0.14,0.07,0.09
360,0.14,0.09,0.14,0.09,0.09,0.17,0.07,0.13,0.2,0.09
380,0.09,0.09,0.08,0.05,0.09,0.24,0.06,0.09,0.17,0.23
400,0.13,0.06,0.13,0.13,0.06,0.12,0.12,0.15,0.02,0.22
420,0.14,0.08,0.07,0.17,0.05,0.08,0.13,0.11,0.05,0.21
440,0.08,0.1,0.1,0.19,0.08,0.11,0.12,0.06,0.1,0.21
460,0.19,0.09,0.18,0.12,0.03,0.21,0.15,0.05,0.15,0.23
480,0.2,0.06,0.29,0.23,0.07,0.12,0.1,0.18,0.11,0.1
500,0.1,0.06,0.17,0.31,0.07,0.19,0.08,0.09,0.13,0.11
520,0.18,0.16,0.16,0.16,0.2,0.14,0.12,0.18,0.09,0.19
540,0.14,0.09,0.25,0.06,0.07,0.18,0.08,0.17,0.12,0.2
560,0.18,0.17,0.14,0.22,0.22,0.16,0.05,0.2,0.1,0.17
580,0.23,0.13,0.19,0.19,0.16,0.18,0.13,0.2,0.11,0.23
600,0.22,0.11,0.18,0.2,0.09,0.2,0.22,0.23,0.12,0.2
620,0.12,0.07,0.17,0.19,0.13,0.09,0.12,0.16,0.16,0.23
640,0.11,0.19,0.16,0.28,0.25,0.07,0.16,0.16,0.16,0.32
660,0.25,0.16,0.22,0.18,0.19,0.11,0.15,0.17,0.11,0.22
680,0.37,0.1,0.23,0.24,0.18,0.14,0.13,0.14,0.09,0.34
700,0.22,0.3,0.19,0.18,0.17,0.23,0.36,0.22,0.19,0.27
720,0.33,0.13,0.15,0.17,0.12,0.15,0.19,0.2,0.1,0.42
740,0.2,0.18,0.26,0.3,0.16,0.32,0.19,0.29,0.11,0.17
760,0.41,0.45,0.12,0.24,0.19,0.28,0.35,0.13,0.15,0.24
780,0.2,0.39,0.16,0.18,0.18,0.16,0.23,0.15,0.11,0.3
800,0.16,0.42,0.24,0.16,0.2,0.22,0.3,0.2,0.21,0.22
820,0.26,0.44,0.2,0.26,0.13,0.25,0.34,0.19,0.5,0.42
840,0.27,0.22,0.22,0.18,0.31,0.38,0.26,0.29,0.15,0.4
860,0.31,0.37,0.23,0.24,0.29,0.35,0.24,0.37,0.48,0.46
880,0.31,0.39,0.23,0.24,0.5,0.31,0.28,0.22,0.38,0.43
900,0.59,0.22,0.19,0.36,0.19,0.24,0.25,0.42,0.46,0.49
920,0.39,0.18,0.46,0.27,0.18,0.38,0.27,0.25,0.47,0.49
940,0.63,0.16,0.44,0.24,0.37,0.29,0.25,0.48,0.24,0.53
960,0.54,0.33,0.4,0.37,0.45,0.32,0.25,0.36,0.59,0.42
980,0.64,0.5,0.47,0.24,0.45,0.41,0.46,0.41,0.29,0.44
1000,0.51,0.47,0.35,0.25,0.55,0.49,0.42,0.59,0.29,0.47
1020,0.59,0.56,0.43,0.3,0.3,0.45,0.41,0.57,0.31,0.51
1040,0.56,0.43,0.42,0.33,0.39,0.39,0.55,0.41,0.35,0.59
1060,0.71,0.53,0.49,0.4,0.47,0.6,0.35,0.51,0.49,0.43
1080,0.46,0.66,0.24,0.32,0.45,0.32,0.66,0.42,0.43,0.62
1100,0.48,0.68,0.24,0.33,0.44,0.3,0.42,0.62,0.46,0.51
1120,0.63,0.67,0.28,0.41,0.43,0.35,0.44,0.65,0.63,0.57
1140,0.59,0.71,0.24,0.44,0.6,0.37,0.39,0.63,0.61,0.57
1160,0.56,0.35,0.28,0.28,0.5,0.47,0.45,0.6,0.43,0.72
1180,0.57,0.6,0.5,0.48,0.34,0.36,0.51,0.54,0.56,0.66
1200,0.53,0.5,0.16,0.48,0.52,0.49,0.72,0.43,0.62,0.68
1220,0.56,0.25,0.41,0.54,0.49,0.5,0.3,0.56,0.66,0.64
1240,0.68,0.38,0.5,0.42,0.38,0.57,0.52,0.58,0.57,0.6
1260,0.72,0.61,0.21,0.59,0.49,0.57,0.57,0.46,0.49,0.65
1280,0.56,0.59,0.37,0.31,0.62,0.6,0.54,0.41,0.64,0.65
1300,0.71,0.5,0.62,0.45,0.55,0.6,0.34,0.4,0.72,0.6
1320,0.67,0.49,0.54,0.51,0.57,0.59,0.45,0.57,0.69,0.6
1340,0.51,0.38,0.68,0.5,0.62,0.69,0.46,0.6,0.78,0.7
1360,0.79,0.43,0.51,0.52,0.38,0.57,0.58,0.51,0.69,0.61
