tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,768.04,0,8754.86,0,110749,0,1751.83,0
20,0,410.978,0,4702.89,0,59199.1,0,932.894,0
40,0,206.793,0,2377.12,0,29986.3,0,477.025,0
60,0,159.298,0,1845.34,0,23226.9,0,375.27,0
80,0,114.932,0,1333.69,0,16745.8,0,279.11,0
100,0,91.1534,0,1058.03,0,13249.1,0,226.276,0
120,0,69.4884,0,808.798,0,10066.4,0,182.049,0
140,0,63.8225,0,742.977,0,9198.54,0,173.542,0
160,0,46.8405,0,547.406,0,6684.66,0,139.69,0
180,0,41.071,0,480.256,0,5751.62,0,130.301,0
200,0,31.7889,0,378.115,0,4340.79,0,122.57,0
220,0,28.9174,0,343.978,0,3833.91,0,120.222,0
240,0,25.902,0,307.962,0,3272.47,0,119.441,0
260,0,19.1774,0,231.989,0,2360.18,0,102.73,0
280,0,16.1569,0,199.632,0,1854.63,0,98.6049,0
300,0,15.7052,0,196.766,0,1685.02,0,108.64,0
320,0,12.8218,0,164.63,0,1355.92,0,97.1005,0
340,0,12.2809,0,162.806,0,1235.02,0,106.299,0
360,0,11.5532,0,155.238,0,1132.44,0,106.035,0
380,0,10.5058,0,139.517,0,959.339,0,96.0867,0
400,0,9.35186,0,128.034,0,872.132,0,92.6152,0
420,0,9.7259,0,133.016,0,912.268,0,101.087,0
440,0,9.57056,0,128.451,0,866.326,0,100.376,0
460,0,8.95364,0,118.387,0,797.383,0,92.7815,0
480,0,7.95509,0,104.321,0,697.321,0,82.5884,0
500,0,8.06046,0,105.337,0,731.801,0,85.7668,0
520,0,7.18087,0,94.6693,0,680.382,0,79.1189,0
540,0,6.83602,0,90.4752,0,674.223,0,76.4897,0
560,0,6.54257,0,96.1655,0,713.392,0,78.8771,0
580,0,6.50797,0,85.0932,0,625.514,0,71.2159,0
600,0,6.09909,0,92.9084,0,719.176,0,78.7939,0
620,0,5.04503,0,85.8527,0,661.599,0,71.5967,0
640,0,4.90607,0,88.363,0,737.28,0,78.0321,0
660,0,4.75576,0,77.6258,0,645.031,0,69.8662,0
680,0,4.91179,0,79.4215,0,695.537,0,73.9286,0
700,0,4.75082,0,82.2349,0,743.442,0,78.1757,0
720,0,4.58796,0,79.903,0,697.335,0,74.4079,0
740,0,4.15253,0,73.0409,0,642.737,0,69.0219,0
760,0,4.76613,0,74.9982,0,665.046,0,69.7465,0
780,0,4.6102,0,77.7956,0,734.557,0,77.7299,0
800,0,4.38117,0,70.2109,0,635.002,0,66.6691,0
820,0,4.35409,0,72.393,0,677.15,0,70.5127,0
840,0,4.13403,0,68.0258,0,641.757,0,65.7695,0
860,0,4.37532,0,59.1763,0,527.356,0,55.4321,0
880,0,4.16085,0,61.4543,0,589.786,0,61.0619,0
900,0,3.62636,0,55.6178,0,538.877,0,54.8648,0
920,0,3.47168,0,54.5536,0,544.792,0,55.1573,0
940,0,3.53562,0,54.5088,0,541.333,0,53.5353,0
960,0,3.01234,0,48.4284,0,482.89,0,47.5227,0
980,0,2.92939,0,46.5024,0,471.627,0,46.0744,0
1000,0,2.84715,0,42.2351,0,427.301,0,41.0276,0
1020,0,2.73772,0,41.4856,0,427.347,0,41.1336,0
1040,0,2.55041,0,42.6131,0,462.726,0,43.7108,0
1060,0,2.58529,0,39.9773,0,414.571,0,38.7296,0
1080,0,2.50744,0,41.7969,0,453.696,0,40.6157,0
1100,0,2.63596,0,43.7851,0,454.307,0,38.5877,0
1120,0,2.61884,0,43.6367,0,429.456,0,35.8442,0
1140,0,2.86747,0,48.3811,0,449.391,0,36.693,0
1160,0,2.99419,0,48.9229,0,469.173,0,37.881,0
1180,0,2.71257,0,46.718,0,440.96,0,35.2853,0
1200,0,2.70784,0,47.9324,0,469.581,0,36.6658,0
1220,0,2.62367,0,45.9641,0,438.901,0,34.0067,0
1240,0,2.38514,0,42.3896,0,424.414,0,33.7634,0
1260,0,2.11697,0,39.3644,0,433.482,0,33.8111,0
1280,0,2.04008,0,37.6872,0,414.717,0,32.8365,0
1300,0,1.96554,0,36.0137,0,401.401,0,33.4766,0
1320,0,1.89499,0,33.0126,0,373.682,0,30.5936,0
1340,0,2.00858,0,34.2032,0,393.282,0,31.9878,0
1360,0,1.77601,0,30.4525,0,356.346,0,28.6037,0
1380,0,1.74194,0,30.6643,0,377.884,0,29.4744,0
1400,0,1.71368,0,31.3732,0,381.685,0,30.2239,0
1420,0,1.62114,0,28.4533,0,346.458,0,27.8125,0
1440,0,1.50584,0,26.6313,0,320.136,0,26.1294,0
1460,0,1.57824,0,29.0124,0,356.361,0,28.003,0
1480,0,1.48454,0,27.1051,0,322.013,0,25.6267,0
1500,0,1.43125,0,26.342,0,324.679,0,25.8152,0
1520,0,1.44581,0,27.8429,0,369.803,0,28.752,0
1540,0,1.52099,0,27.498,0,341.77,0,27.5237,0
1560,0,1.58441,0,28.3549,0,360.533,0,28.9751,0
1580,0,1.3997,0,25.5133,0,325.504,0,25.918,0
1600,0,1.3839,0,25.6171,0,330.976,0,26.0828,0
1620,0,1.37669,0,26.2443,0,333.057,0,25.9927,0
1640,0,1.35379,0,26.7076,0,335.613,0,26.027,0
1660,0,1.29104,0,26.0271,0,324.215,0,24.7604,0
1680,0,1.30681,0,26.4147,0,333.291,0,25.988,0
1700,0,1.36132,0,26.5857,0,320.219,0,24.5294,0
1720,0,1.4103,0,27.7523,0,320.633,0,24.0944,0
1740,0,1.29336,0,26.5076,0,326.04,0,23.3359,0
1760,0,1.47571,0,28.9551,0,335.203,0,24.5217,0
1780,0,1.42709,0,28.2511,0,337.473,0,24.6558,0
1800,0,1.45764,0,28.1545,0,342.613,0,25.3793,0
1820,0,1.41442,0,28.4715,0,347.1,0,26.0599,0
1840,0,1.34842,0,25.7577,0,310.622,0,23.5668,0
1860,0,1.36647,0,26.8319,0,330.961,0,24.6362,0
1880,0,1.21628,0,24.3626,0,301.627,0,21.8828,0
1900,0,1.19848,0,23.7385,0,298.444,0,22.5182,0
1920,0,1.40348,0,26.4987,0,332.298,0,25.3743,0
1940,0,1.3924,0,25.7692,0,319.534,0,23.6705,0
1960,0,1.28908,0,24.8125,0,312.321,0,22.9915,0
1980,0,1.33103,0,25.8267,0,318.643,0,23.5653,0
2000,0,1.31681,0,25.2801,0,311.955,0,23.4603,0
2020,0,1.19918,0,21.5372,0,248.985,0,19.1565,0
2040,0,1.20456,0,22.4961,0,266.933,0,20.4117,0
2060,0,1.13626,0,21.8122,0,264.158,0,19.9544,0
2080,0,1.16274,0,23.4024,0,285.048,0,21.4411,0
2100,0,1.14534,0,22.4953,0,271.484,0,20.0892,0
2120,0,1.15728,0,22.6667,0,275.549,0,20.4649,0
2140,0,1.14014,0,21.8861,0,264.942,0,19.9636,0
2160,0,1.21504,0,24.4175,0,293.009,0,21.0004,0
2180,0,1.22077,0,25.0296,0,305.036,0,21.8033,0
2200,0,1.62258,0,31.2318,0,324.745,0,22.1337,0
2220,0,1.3565,0,25.6969,0,283.383,0,20.1576,0
2240,0,1.43035,0,27.2882,0,296.77,0,20.5476,0
2260,0,1.33399,0,25.86,0,278.843,0,18.7155,0
2280,0,1.54265,0,29.7215,0,320.878,0,21.4541,0
2300,0,1.24264,0,24.0138,0,267.213,0,18.309,0
2320,0,1.36516,0,26.8849,0,305.399,0,21.257,0
2340,0,1.35966,0,26.5926,0,306.465,0,21.9132,0
2360,0,1.10372,0,21.6799,0,254.539,0,19.1534,0
2380,0,0.973514,0,19.2438,0,236.706,0,17.6597,0
2400,0,0.962042,0,19.432,0,240.915,0,17.7514,0
2420,0,1.14626,0,22.6583,0,283.693,0,20.5208,0
2440,0,1.12205,0,23.6188,0,290.926,0,20.9819,0
2460,0,1.17421,0,24.5104,0,299.337,0,21.8305,0
