tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,719.279,0,7975.89,0,101152,0,1595.55,0
20,0,422.94,0,4730.02,0,60123.7,0,947.069,0
40,0,208.914,0,2333.01,0,29739.8,0,470.539,0
60,0,173.066,0,1924.52,0,24456.4,0,392.803,0
80,0,135.342,0,1510.41,0,19160.6,0,311.573,0
100,0,91.4724,0,1023.51,0,12909.6,0,217.697,0
120,0,58.1974,0,657.526,0,8246.96,0,145.562,0
140,0,45.0009,0,510.844,0,6298.3,0,120.683,0
160,0,31.8744,0,365.544,0,4418.23,0,92.2085,0
180,0,29.1353,0,340.873,0,3921.27,0,94.8981,0
200,0,27.0873,0,319.55,0,3557.79,0,95.834,0
220,0,15.4787,0,190.116,0,2005.97,0,65.8078,0
240,0,15.0202,0,189.646,0,1829.86,0,71.4967,0
260,0,13.2263,0,168.165,0,1572.98,0,68.0825,0
280,0,10.729,0,147.074,0,1263.32,0,72.1586,0
300,0,7.44449,0,114.696,0,895.621,0,66.9003,0
320,0,6.71188,0,107.736,0,793.281,0,66.5559,0
340,0,4.70706,0,79.0926,0,544.348,0,52.6972,0
360,0,4.40542,0,73.9345,0,471.78,0,52.4569,0
380,0,3.9113,0,74.0507,0,477.463,0,58.0288,0
400,0,4.04084,0,72.5473,0,455.243,0,56.8888,0
420,0,4.49973,0,73.4322,0,445.03,0,56.2584,0
440,0,5.05143,0,80.5575,0,494.74,0,63.6782,0
460,0,4.51238,0,66.4188,0,421.384,0,54.3553,0
480,0,5.52524,0,76.3082,0,497.799,0,64.2801,0
500,0,6.04345,0,78.771,0,524.898,0,67.2313,0
520,0,5.52731,0,73.4336,0,501.958,0,64.3362,0
540,0,6.54486,0,75.7618,0,508.258,0,63.6044,0
560,0,5.10607,0,67.3554,0,512.352,0,64.4978,0
580,0,5.58432,0,71.1312,0,536.424,0,65.476,0
600,0,4.61509,0,58.5652,0,456.495,0,56.3022,0
620,0,4.11821,0,59.7225,0,522.515,0,64.4852,0
640,0,4.66938,0,60.1919,0,511.471,0,61.7508,0
660,0,5.56725,0,62.961,0,517.845,0,60.6852,0
680,0,5.24688,0,58.4895,0,486.129,0,55.9364,0
700,0,6.29446,0,67.4649,0,568.3,0,65.5114,0
720,0,6.22776,0,64.9199,0,556.948,0,63.0244,0
740,0,4.34399,0,57.9581,0,569.885,0,63.5199,0
760,0,5.45542,0,62.2069,0,583.667,0,64.7284,0
780,0,5.01658,0,61.3554,0,605.554,0,66.2568,0
800,0,5.03558,0,57.9069,0,593.66,0,64.7911,0
820,0,5.67776,0,62.8761,0,646.67,0,69.9196,0
840,0,4.55627,0,54.2689,0,602.788,0,64.8836,0
860,0,4.00228,0,47.5547,0,525.026,0,56.6355,0
880,0,3.91303,0,48.4178,0,515.981,0,53.8911,0
900,0,3.6676,0,49.8139,0,560.26,0,59.8709,0
920,0,3.23821,0,45.9225,0,510.269,0,52.5974,0
940,0,3.48636,0,53.1158,0,592.819,0,58.2096,0
960,0,3.04705,0,46.6942,0,520.096,0,50.9743,0
980,0,2.66981,0,45.3027,0,512.918,0,49.1896,0
1000,0,3.00497,0,50.4379,0,585.369,0,55.5272,0
1020,0,2.73204,0,44.5245,0,522.401,0,49.951,0
1040,0,2.2852,0,39.257,0,447.516,0,41.436,0
1060,0,2.2378,0,35.0495,0,409.272,0,38.6187,0
1080,0,1.78781,0,31.104,0,375.921,0,33.9051,0
1100,0,1.80882,0,28.3189,0,337.603,0,31.4453,0
1120,0,2.55018,0,35.7968,0,387.28,0,34.1693,0
1140,0,2.53977,0,35.3452,0,412.069,0,35.6876,0
1160,0,2.37639,0,33.7786,0,400.277,0,33.7477,0
1180,0,2.15882,0,31.3983,0,390.098,0,33.3002,0
1200,0,1.82373,0,30.7931,0,384.876,0,33.0486,0
1220,0,1.87161,0,27.9751,0,358.431,0,30.6424,0
1240,0,1.54367,0,23.6548,0,301.144,0,26.2203,0
1260,0,1.55171,0,25.8726,0,331.621,0,28.5039,0
1280,0,1.51387,0,30.2723,0,375.13,0,29.3416,0
1300,0,1.31395,0,28.5791,0,344.88,0,27.0825,0
1320,0,1.15729,0,22.8616,0,288.031,0,24.7521,0
1340,0,1.35594,0,29.1529,0,340.793,0,27.4124,0
1360,0,1.47245,0,28.2953,0,320.855,0,25.6513,0
1380,0,1.48282,0,30.0985,0,338.887,0,27.4605,0
1400,0,1.84428,0,35.0514,0,347.704,0,28.7859,0
1420,0,1.58249,0,29.9652,0,319.805,0,26.3097,0
1440,0,1.69021,0,32.4753,0,340.388,0,26.3877,0
1460,0,1.84342,0,33.6941,0,342.96,0,27.7962,0
1480,0,1.76866,0,30.0486,0,315.243,0,25.3961,0
1500,0,1.72727,0,29.4965,0,305.632,0,24.0517,0
1520,0,1.94777,0,30.3877,0,317.46,0,25.2984,0
1540,0,1.72909,0,27.2816,0,297.465,0,23.7772,0
1560,0,1.78108,0,26.7294,0,301.871,0,23.7327,0
1580,0,1.62599,0,25.4876,0,316.732,0,24.1087,0
1600,0,1.66121,0,27.3618,0,358.171,0,26.937,0
1620,0,1.5185,0,25.6945,0,341.256,0,25.7948,0
1640,0,1.31903,0,24.6767,0,331.87,0,25.0935,0
1660,0,1.15506,0,23.1632,0,315.639,0,24.8419,0
1680,0,1.09801,0,22.2677,0,309.723,0,24.2326,0
1700,0,1.06746,0,23.2338,0,350.958,0,27.0704,0
1720,0,0.970452,0,21.5252,0,323.842,0,24.532,0
1740,0,0.936178,0,20.6644,0,302.665,0,22.4083,0
1760,0,1.12196,0,22.2649,0,329.491,0,24.2392,0
1780,0,1.09713,0,22.6653,0,345.451,0,26.5673,0
1800,0,1.07986,0,21.6768,0,326.568,0,24.9846,0
1820,0,1.0849,0,21.8267,0,319.824,0,24.4952,0
1840,0,1.12845,0,25.4939,0,387.465,0,27.7107,0
1860,0,1.18499,0,23.8156,0,352.588,0,26.0748,0
1880,0,1.09768,0,21.9402,0,317.705,0,23.0726,0
1900,0,1.07616,0,23.0312,0,323.073,0,23.5499,0
1920,0,1.16281,0,22.2071,0,301.119,0,21.8442,0
1940,0,1.24112,0,20.8375,0,299.75,0,22.4914,0
1960,0,1.26998,0,21.9255,0,308.114,0,22.8613,0
1980,0,1.31433,0,23.8649,0,334.94,0,23.909,0
2000,0,1.24074,0,21.3449,0,298.059,0,21.9542,0
2020,0,1.36677,0,24.5486,0,325.887,0,24.2609,0
2040,0,1.09495,0,21.7112,0,313.593,0,22.6189,0
2060,0,0.925587,0,20.161,0,294.213,0,22.1199,0
2080,0,1.07827,0,23.0233,0,310.453,0,22.8819,0
