tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,717.186,0,7975.59,0,100774,0,1599.09,0
20,0,336.62,0,3714.3,0,47031.1,0,745.249,0
40,0,202.851,0,2217.99,0,28181.9,0,447.298,0
60,0,159.741,0,1745.89,0,22194.5,0,353.759,0
80,0,121.477,0,1326.13,0,16851.6,0,270.273,0
100,0,97.1738,0,1060.87,0,13470,0,217.683,0
120,0,91.7724,0,1001.57,0,12707.9,0,206.66,0
140,0,80.4075,0,876.981,0,11106.3,0,182.923,0
160,0,76.8904,0,838.125,0,10600.7,0,176.078,0
180,0,67.1821,0,730.195,0,9217.48,0,154.367,0
200,0,57.1003,0,619.4,0,7791.11,0,133.048,0
220,0,46.0958,0,498.879,0,6251.77,0,108.512,0
240,0,38.3596,0,414.348,0,5159.61,0,92.2507,0
260,0,31.1987,0,335.5,0,4135.95,0,76.3848,0
280,0,27.3034,0,292.654,0,3568.94,0,68.3096,0
300,0,23.9012,0,255.584,0,3063.39,0,61.5977,0
320,0,20.6572,0,220.607,0,2587.41,0,55.3505,0
340,0,15.9463,0,169.994,0,1950.44,0,43.8916,0
360,0,13.0531,0,139.258,0,1553.6,0,37.5715,0
380,0,11.5854,0,122.52,0,1322.84,0,34.0092,0
400,0,10.6636,0,112.798,0,1195.56,0,32.7215,0
420,0,9.27293,0,98.1332,0,1013.7,0,29.6596,0
440,0,7.8539,0,83.9275,0,832.51,0,27.5038,0
460,0,7.32762,0,77.6522,0,732.274,0,26.3072,0
480,0,6.50732,0,69.068,0,625.574,0,24.5073,0
500,0,5.76361,0,61.4979,0,549.528,0,22.6925,0
520,0,5.75051,0,61.1933,0,516.95,0,23.4829,0
540,0,5.09372,0,56.2251,0,468.582,0,22.7415,0
560,0,4.93537,0,53.68,0,435.378,0,21.7896,0
580,0,4.65169,0,50.5616,0,392.046,0,21.5683,0
600,0,4.88367,0,52.6725,0,382.523,0,22.6267,0
620,0,4.95417,0,53.027,0,367.133,0,24.062,0
640,0,4.64135,0,50.7058,0,336.201,0,23.7397,0
660,0,4.65364,0,51.9468,0,331.948,0,24.357,0
680,0,4.53694,0,48.754,0,296.177,0,22.9493,0
700,0,3.76488,0,43.2923,0,262.877,0,21.66,0
720,0,3.26801,0,36.2183,0,214.823,0,18.6731,0
740,0,2.5877,0,32.1035,0,194.951,0,17.9163,0
760,0,2.21604,0,30.1675,0,185.627,0,18.1194,0
780,0,1.97432,0,29.2208,0,178.429,0,17.818,0
800,0,1.94007,0,28.6677,0,175.345,0,18.2157,0
820,0,2.08995,0,28.849,0,175.296,0,18.6062,0
840,0,1.93794,0,29.7415,0,177.682,0,18.5539,0
860,0,1.96269,0,31.4069,0,192.236,0,19.7814,0
880,0,2.62082,0,35.0126,0,206.237,0,21.0687,0
900,0,1.96132,0,35.1523,0,214.104,0,22.4607,0
920,0,1.82948,0,32.9693,0,211.471,0,22.0922,0
940,0,1.79499,0,30.5144,0,199.733,0,20.8804,0
960,0,2.40245,0,33.0422,0,213.678,0,22.6283,0
980,0,2.34899,0,31.2453,0,210.136,0,22.9349,0
1000,0,3.41836,0,37.0012,0,236.091,0,25.7801,0
1020,0,2.67713,0,36.3909,0,260.294,0,28.1414,0
