tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,701.302,0,7888.9,0,100001,0,1578.84,0
20,0,350.762,0,3933.45,0,49886.2,0,784.715,0
40,0,182.037,0,2055.37,0,26092.6,0,411.342,0
60,0,118.534,0,1334.99,0,16956.6,0,268.221,0
80,0,81.4412,0,915.411,0,11621.6,0,184.052,0
100,0,55.6551,0,626.617,0,7950.31,0,126.34,0
120,0,37.7939,0,426.309,0,5405.98,0,86.1273,0
140,0,27.0391,0,305.148,0,3863.85,0,61.8803,0
160,0,19.1843,0,216.998,0,2743.16,0,44.2639,0
180,0,13.7519,0,155.99,0,1967.79,0,32.0664,0
200,0,11.2359,0,127.764,0,1607.77,0,26.4534,0
220,0,7.63633,0,87.3792,0,1093.46,0,18.4278,0
240,0,4.9767,0,57.4416,0,713.29,0,12.3804,0
260,0,3.58836,0,41.9034,0,513.947,0,9.32738,0
280,0,2.54361,0,30.1799,0,364.61,0,6.94683,0
300,0,1.622,0,19.7872,0,231.625,0,4.84827,0
320,0,1.04332,0,13.3313,0,148.124,0,3.53832,0
340,0,0.686176,0,9.21488,0,96.3229,0,2.60133,0
360,0,0.440844,0,6.387,0,61.9741,0,1.96404,0
380,0,0.324196,0,5.2333,0,43.1047,0,1.77629,0
400,0,0.232878,0,4.3181,0,30.4209,0,1.60952,0
420,0,0.173516,0,3.48137,0,21.7741,0,1.4019,0
440,0,0.171869,0,3.56604,0,19.3471,0,1.49704,0
460,0,0.212025,0,3.97701,0,19.686,0,1.64614,0
480,0,0.310665,0,4.67622,0,20.4653,0,1.75032,0
500,0,0.246339,0,4.06214,0,18.7681,0,1.61638,0
520,0,0.322713,0,4.50942,0,19.7126,0,1.74203,0
540,0,0.323702,0,4.35531,0,20.0224,0,1.8189,0
560,0,0.432627,0,5.45391,0,24.2127,0,2.24224,0
580,0,0.413507,0,5.12874,0,22.3821,0,2.0474,0
600,0,0.31792,0,4.50986,0,21.5179,0,2.00352,0
620,0,0.329582,0,4.85145,0,24.4443,0,2.25676,0
640,0,0.427224,0,4.84969,0,21.448,0,2.00869,0
660,0,0.416836,0,4.86573,0,23.3458,0,2.25199,0
680,0,0.424549,0,4.77253,0,22.9346,0,2.19105,0
700,0,0.390918,0,4.67702,0,24.3952,0,2.32591,0
720,0,0.638326,0,6.56523,0,23.2809,0,2.80789,0
740,0,0.771046,0,7.51271,0,34.4021,0,3.32382,0
760,0,0.645371,0,6.57369,0,33.5178,0,3.25143,0
780,0,0.49511,0,5.4021,0,33.1729,0,3.14434,0
800,0,1.13738,0,9.99354,0,44.5218,0,4.29113,0
820,0,0.8962,0,8.30583,0,44.2383,0,4.35589,0
840,0,1.06789,0,9.75281,0,51.7236,0,5.43437,0
860,0,0.749684,0,8.27778,0,53.7966,0,5.7433,0
880,0,0.894719,0,9.33344,0,61.444,0,6.83641,0
900,0,0.751548,0,8.16773,0,59.0213,0,6.64538,0
920,0,1.20551,0,10.7925,0,66.7813,0,7.13519,0
940,0,1.02244,0,9.36135,0,68.7891,0,7.24085,0
960,0,1.73122,0,13.4874,0,82.74,0,8.71396,0
980,0,2.23977,0,17.2258,0,100.428,0,10.4801,0
1000,0,2.90423,0,20.8784,0,117.353,0,13.0115,0
1020,0,3.80717,0,26.5152,0,128.189,0,14.2246,0
1040,0,1.4681,0,12.7607,0,111.07,0,12.7901,0
1060,0,2.71277,0,19.6265,0,136.063,0,15.8213,0
1080,0,2.78722,0,20.6748,0,152.891,0,18.1572,0
1100,0,3.30097,0,24.2352,0,170.521,0,18.5719,0
1120,0,2.57379,0,19.7383,0,165.97,0,17.6393,0
1140,0,2.55265,0,19.4231,0,161.862,0,19.0087,0
1160,0,1.4223,0,14.0965,0,154.234,0,16.9948,0
1180,0,2.11027,0,19.1156,0,170.976,0,18.4524,0
1200,0,2.50239,0,21.4016,0,181.62,0,20.2296,0
1220,0,1.93006,0,18.7688,0,194.096,0,21.2386,0
1240,0,1.67302,0,17.7761,0,188.099,0,19.0301,0
1260,0,1.58086,0,18.9236,0,216.783,0,23.2714,0
1280,0,1.39428,0,20.0151,0,227.11,0,24.1796,0
1300,0,1.56565,0,21.843,0,265.114,0,26.2596,0
1320,0,1.23406,0,18.106,0,240.62,0,23.2552,0
1340,0,1.10634,0,18.3492,0,242.451,0,21.2659,0
1360,0,1.07916,0,18.0109,0,258.84,0,23.7394,0
1380,0,1.15209,0,19.2618,0,253.153,0,22.3217,0
1400,0,1.16743,0,18.128,0,259.447,0,23.525,0
1420,0,1.04873,0,16.0037,0,222.286,0,20.0612,0
1440,0,1.17167,0,18.5966,0,246.387,0,21.6825,0
1460,0,1.14179,0,17.7878,0,254.238,0,22.7129,0
1480,0,1.02118,0,17.0277,0,233.418,0,19.0591,0
1500,0,0.983628,0,17.5578,0,244.361,0,20.3128,0
1520,0,1.27244,0,18.7283,0,255.276,0,21.5544,0
1540,0,1.19523,0,17.3577,0,216.46,0,17.1979,0
1560,0,1.33154,0,18.9429,0,244.992,0,18.8091,0
1580,0,1.17266,0,17.3041,0,219.642,0,17.046,0
1600,0,1.2009,0,17.4034,0,227.174,0,17.7017,0
1620,0,1.26719,0,19.4379,0,249.968,0,19.2564,0
1640,0,1.05796,0,19.3673,0,246.645,0,19.5746,0
1660,0,1.07771,0,19.4243,0,254.252,0,18.9331,0
1680,0,1.01567,0,17.404,0,239.14,0,18.5852,0
1700,0,0.898945,0,17.9816,0,248.732,0,18.3889,0
1720,0,0.767852,0,15.7086,0,227.31,0,17.0218,0
1740,0,0.738179,0,17.5326,0,242.669,0,18.3699,0
1760,0,0.905304,0,19.8197,0,252.703,0,18.9441,0
1780,0,0.822703,0,19.413,0,257.417,0,18.1084,0
1800,0,0.967168,0,18.9774,0,252.643,0,17.9531,0
1820,0,1.05566,0,18.9957,0,257.714,0,18.4646,0
1840,0,0.915304,0,16.5977,0,237.456,0,17.0292,0
1860,0,1.00657,0,17.046,0,221.191,0,16.0977,0
1880,0,1.20517,0,20.7234,0,269.011,0,20.0273,0
1900,0,1.19284,0,21.9194,0,290.45,0,21.5008,0
1920,0,0.898055,0,16.8005,0,229.816,0,16.7619,0
1940,0,0.778923,0,18.0148,0,256.963,0,18.721,0
1960,0,0.749852,0,18.859,0,255.889,0,18.01,0
1980,0,0.757919,0,17.8085,0,259.962,0,18.6247,0
2000,0,0.709191,0,17.6721,0,234.967,0,16.5592,0
2020,0,0.721649,0,14.9614,0,226.334,0,17.1094,0
2040,0,0.759972,0,15.4772,0,219.436,0,16.4979,0
2060,0,0.794857,0,17.775,0,241.919,0,17.8477,0
2080,0,0.827868,0,17.2072,0,235.273,0,17.0979,0
2100,0,0.959981,0,19.3756,0,260.088,0,19.3988,0
2120,0,1.08422,0,21.0874,0,278.176,0,19.9657,0
2140,0,1.0802,0,19.7013,0,245.051,0,16.7222,0
2160,0,1.07597,0,20.1349,0,265.694,0,17.6622,0
2180,0,0.990943,0,18.7957,0,240.789,0,16.0215,0
2200,0,0.96654,0,18.6436,0,242.593,0,16.7172,0
2220,0,1.02413,0,18.3519,0,234.077,0,16.0496,0
2240,0,0.978795,0,19.3693,0,233.84,0,15.7586,0
