tick,9,8,7,6,4,2,5,3,1,0
0,0.1,0.07,0.11,0.09,0.13,0.05,0.13,0.15,0.2,0.08
20,0.18,0.12,0.18,0.11,0.11,0.19,0.17,0.09,0.09,0.08
40,0.1,0.12,0.15,0.17,0.07,0.22,0.16,0.15,0.16,0.08
60,0.05,0.08,0.24,0.19,0.26,0.23,0.18,0.39,0.17,0.08
80,0.06,0.1,0.3,0.33,0.35,0.4,0.21,0.24,0.19,0.14
100,0.34,0.35,0.5,0.13,0.36,0.44,0.3,0.33,0.29,0.11
120,0.45,0.43,0.4,0.4,0.46,0.47,0.3,0.44,0.47,0.17
140,0.36,0.34,0.46,0.21,0.46,0.51,0.33,0.38,0.51,0.1
160,0.49,0.43,0.54,0.27,0.41,0.52,0.34,0.37,0.51,0.08
180,0.57,0.49,0.48,0.24,0.5,0.49,0.31,0.33,0.41,0.1
200,0.54,0.58,0.58,0.36,0.51,0.49,0.42,0.56,0.38,0.08
220,0.68,0.64,0.6,0.43,0.57,0.62,0.62,0.51,0.49,0.03
240,0.57,0.7,0.49,0.41,0.48,0.59,0.63,0.65,0.51,0.07
260,0.58,0.75,0.53,0.45,0.67,0.64,0.58,0.64,0.54,0.08
280,0.71,0.63,0.53,0.53,0.68,0.68,0.58,0.6,0.64,0.12
300,0.69,0.73,0.63,0.61,0.69,0.68,0.6,0.57,0.58,0.18
320,0.71,0.6,0.64,0.61,0.63,0.67,0.52,0.51,0.57,0.05
340,0.64,0.52,0.43,0.66,0.49,0.52,0.38,0.41,0.6,0.11
360,0.54,0.55,0.48,0.67,0.41,0.53,0.25,0.4,0.33,0.04
380,0.23,0.37,0.46,0.51,0.28,0.36,0.19,0.23,0.29,0.09
400,0.22,0.34,0.39,0.46,0.24,0.24,0.29,0.22,0.19,0.04
420,0.17,0.31,0.36,0.44,0.37,0.27,0.28,0.28,0.29,0.14
440,0.1,0.31,0.38,0.33,0.33,0.23,0.21,0.3,0.49,0.1
460,0.37,0.42,0.52,0.29,0.29,0.32,0.19,0.47,0.53,0.1
480,0.7,0.47,0.45,0.26,0.39,0.47,0.38,0.46,0.52,0.06
500,0.69,0.53,0.49,0.38,0.52,0.41,0.46,0.43,0.52,0.07
520,0.73,0.54,0.56,0.47,0.4,0.54,0.4,0.44,0.61,0.08
540,0.54,0.63,0.6,0.61,0.45,0.59,0.5,0.45,0.51,0.14
560,0.5,0.59,0.55,0.67,0.45,0.55,0.42,0.61,0.52,0.08
