tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,1058.38,0,11622.4,0,147000,0,2328.05,0
20,0,1058.3,0,11622.6,0,146998,0,2328.41,0
40,0,1058.52,0,11625.1,0,147000,0,2332.39,0
60,0,1058.64,0,11628.1,0,147001,0,2336.96,0
80,0,1058.64,0,11631.8,0,147003,0,2342.35,0
100,0,1059.06,0,11638,0,147007,0,2350.01,0
120,0,1060.21,0,11648.1,0,147016,0,2361.29,0
140,0,1061.67,0,11658.7,0,147027,0,2372.4,0
160,0,1063.72,0,11673.9,0,147041,0,2387.24,0
180,0,1065.63,0,11687.5,0,147053,0,2400.34,0
200,0,1067.69,0,11701.3,0,147066,0,2413.68,0
220,0,1069.74,0,11715.1,0,147078,0,2426.8,0
240,0,1072.12,0,11730.2,0,147092,0,2441.11,0
260,0,1074.55,0,11745.1,0,147104,0,2455.28,0
280,0,1077.26,0,11760.7,0,147116,0,2470.45,0
300,0,1079.28,0,11772.3,0,147125,0,2481.78,0
320,0,479.078,0,5208.6,0,64900.2,0,1109.9,0
340,0,482.393,0,5226.29,0,64917.6,0,1125.92,0
360,0,486.577,0,5248.36,0,64941.3,0,1144.4,0
380,0,492.346,0,5278.2,0,64975.5,0,1168.15,0
400,0,498.52,0,5310.16,0,65014.1,0,1192.45,0
420,0,506.46,0,5351.61,0,65064.3,0,1223.5,0
440,0,513.357,0,5388.07,0,65109.4,0,1250.32,0
460,0,519.298,0,5420.44,0,65150.7,0,1274.34,0
480,0,525.144,0,5452.94,0,65195,0,1299,0
500,0,530.974,0,5485.37,0,65240.5,0,1323.68,0
520,0,536.81,0,5517.78,0,65287,0,1348.36,0
540,0,542.668,0,5550.07,0,65334.1,0,1372.53,0
560,0,548.23,0,5580.57,0,65378.6,0,1395.42,0
580,0,552.779,0,5604.7,0,65414,0,1413.99,0
600,0,557.929,0,5633.65,0,65458.4,0,1436.84,0
620,0,561.872,0,5655.63,0,65491.7,0,1454.38,0
640,0,251.693,0,2515.79,0,28858,0,660.06,0
660,0,257.285,0,2546.8,0,28906.7,0,682.595,0
680,0,264.753,0,2587.85,0,28972.5,0,710.278,0
700,0,272.615,0,2631.1,0,29041.6,0,737.599,0
720,0,283.534,0,2693.15,0,29141,0,774.381,0
740,0,293.065,0,2748.05,0,29230.6,0,805.941,0
760,0,302.985,0,2806.92,0,29327.7,0,839.053,0
780,0,311.715,0,2859.88,0,29419.4,0,869.474,0
800,0,320.439,0,2913.12,0,29515.2,0,900.033,0
820,0,328.651,0,2963.45,0,29608.6,0,928.715,0
840,0,336.427,0,3012.21,0,29701.3,0,956.625,0
860,0,343.641,0,3058.74,0,29792.4,0,983.183,0
880,0,350.021,0,3100.26,0,29875.6,0,1007.31,0
900,0,355.379,0,3135.95,0,29948,0,1028.45,0
920,0,359.785,0,3166.22,0,30011.2,0,1046.96,0
940,0,365.309,0,3204.6,0,30094.4,0,1071.11,0
960,0,348.795,0,3066.06,0,28659.1,0,1032.9,0
980,0,171.384,0,1488.3,0,13480.9,0,514.365,0
1000,0,179.103,0,1544.05,0,13599.8,0,543.129,0
1020,0,187.222,0,1603.86,0,13729,0,572.41,0
1040,0,196.795,0,1677.01,0,13888.8,0,606.507,0
1060,0,207.108,0,1756.89,0,14068.6,0,642.96,0
1080,0,215.933,0,1826.87,0,14231.9,0,675.056,0
1100,0,225.484,0,1903.74,0,14417.3,0,710.584,0
1120,0,232.838,0,1964.12,0,14569.1,0,738.615,0
1140,0,239.352,0,2018.88,0,14708.8,0,763.442,0
1160,0,245.546,0,2071.09,0,14847.2,0,787.39,0
1180,0,251.811,0,2125.07,0,14992.8,0,812.305,0
1200,0,256.319,0,2164.35,0,15102.4,0,831.228,0
1220,0,261.813,0,2213.4,0,15241.2,0,854.847,0
1240,0,265.775,0,2248.8,0,15344.9,0,872.191,0
1260,0,269.846,0,2286.01,0,15456.7,0,890.625,0
1280,0,273.098,0,2316,0,15548.4,0,905.625,0
1300,0,125.746,0,1072.17,0,7035.32,0,423.233,0
1320,0,130.817,0,1122.09,0,7187.23,0,445.602,0
1340,0,136.095,0,1174.57,0,7353.42,0,468.811,0
1360,0,142.394,0,1237.99,0,7555.25,0,496.09,0
1380,0,148.66,0,1301.92,0,7754.44,0,521.87,0
1400,0,154.731,0,1363.58,0,7950.47,0,546.565,0
1420,0,160.461,0,1422.14,0,8141.95,0,570.11,0
1440,0,166.242,0,1480.72,0,8338.47,0,593.85,0
1460,0,171.315,0,1532.79,0,8510.8,0,614.672,0
1480,0,175.535,0,1577.69,0,8666.57,0,633.511,0
1500,0,179.16,0,1616.36,0,8804.1,0,650.065,0
1520,0,182.568,0,1654.16,0,8940.12,0,665.972,0
1540,0,185.631,0,1688.37,0,9065.23,0,679.93,0
1560,0,188.47,0,1719.62,0,9181.86,0,692.778,0
1580,0,190.454,0,1743.73,0,9275.43,0,703.028,0
1600,0,192.222,0,1766.7,0,9368.74,0,712.734,0
1620,0,87.4144,0,811.025,0,4261.35,0,327.792,0
1640,0,89.7281,0,839.945,0,4381.89,0,339.807,0
1660,0,92.6151,0,876.63,0,4535.83,0,355.919,0
1680,0,95.099,0,909.94,0,4675.37,0,370.527,0
1700,0,97.5988,0,941.514,0,4801.49,0,382.539,0
1720,0,100.211,0,974.047,0,4935.07,0,394.417,0
1740,0,102.664,0,1005.32,0,5063.03,0,405.923,0
1760,0,105.104,0,1036.79,0,5189.26,0,417.483,0
1780,0,107.355,0,1066.39,0,5310.92,0,428.563,0
1800,0,109.544,0,1095.38,0,5435.92,0,439.277,0
1820,0,111.537,0,1122.74,0,5559.66,0,450.513,0
1840,0,113.089,0,1145.6,0,5659.32,0,459.643,0
1860,0,114.45,0,1166.25,0,5751.13,0,467.417,0
1880,0,115.762,0,1185.23,0,5839.25,0,474.815,0
1900,0,116.955,0,1203.19,0,5927.99,0,481.657,0
1920,0,118.054,0,1220.59,0,6017.27,0,487.895,0
1940,0,53.323,0,560.321,0,2770.28,0,224.154,0
1960,0,54.2498,0,575.701,0,2857.19,0,231.457,0
1980,0,55.1931,0,591.567,0,2948.81,0,239.552,0
2000,0,56.1873,0,609.234,0,3054.28,0,248.202,0
2020,0,57.1284,0,625.631,0,3144.88,0,254.947,0
2040,0,58.1403,0,642.204,0,3236.52,0,261.714,0
2060,0,59.2173,0,659.125,0,3324.23,0,268.289,0
2080,0,60.0818,0,673.951,0,3406.5,0,274.026,0
2100,0,60.9323,0,689.211,0,3494.5,0,279.488,0
2120,0,61.6508,0,703.038,0,3577.21,0,284.88,0
2140,0,62.2701,0,716.298,0,3651.93,0,290.022,0
2160,0,62.828,0,728.899,0,3726.2,0,295.639,0
2180,0,63.3621,0,741.274,0,3805.84,0,301.77,0
2200,0,63.9865,0,754.309,0,3884.31,0,306.997,0
2220,0,64.5367,0,766.009,0,3950.86,0,311.043,0
2240,0,65.0704,0,776.865,0,4013.64,0,314.808,0
2260,0,29.2035,0,354.485,0,1859.71,0,145.249,0
2280,0,29.7456,0,364.707,0,1946.42,0,151.795,0
2300,0,30.2985,0,374.578,0,2036.91,0,158.368,0
2320,0,30.8363,0,384.917,0,2130.18,0,164.305,0
2340,0,31.3034,0,395.152,0,2223.63,0,170.867,0
2360,0,31.8236,0,406.174,0,2323.16,0,177.28,0
2380,0,32.2865,0,416.244,0,2414.78,0,183.721,0
2400,0,32.6807,0,425.264,0,2487.36,0,188.566,0
2420,0,33.0483,0,434.724,0,2553.21,0,192.769,0
2440,0,33.4919,0,445.281,0,2625.79,0,197.74,0
2460,0,33.9026,0,454.951,0,2701.63,0,202.156,0
2480,0,34.282,0,463.631,0,2762.7,0,205.25,0
2500,0,34.5776,0,472.104,0,2824.06,0,208.391,0
2520,0,34.9063,0,479.323,0,2876.98,0,210.858,0
2540,0,35.3125,0,486.167,0,2929.32,0,214.101,0
2560,0,35.7882,0,493.267,0,2979.01,0,218.387,0
2580,0,19.1903,0,264.212,0,1606.86,0,117.385,0
2600,0,16.5684,0,233.529,0,1464.45,0,108.243,0
2620,0,17.0029,0,241.027,0,1542.78,0,114.003,0
2640,0,17.2533,0,249.604,0,1645.08,0,122.061,0
2660,0,17.4992,0,257.431,0,1735.81,0,128.289,0
2680,0,17.8098,0,265.684,0,1803.64,0,131.469,0
2700,0,18.2319,0,274.632,0,1882.72,0,136.424,0
2720,0,18.7318,0,282.507,0,1956.33,0,141.993,0
2740,0,19.1482,0,289.094,0,2028.97,0,148.485,0
2760,0,19.6868,0,296.94,0,2105.75,0,155.514,0
2780,0,20.0889,0,305.825,0,2187.01,0,161.84,0
2800,0,20.2826,0,312.134,0,2240.19,0,165.167,0
2820,0,20.5169,0,318.967,0,2305.78,0,167.958,0
2840,0,20.6392,0,325.641,0,2371.57,0,170.458,0
2860,0,20.7859,0,332.351,0,2437.69,0,173.429,0
2880,0,20.9713,0,339.127,0,2496.22,0,175.479,0
2900,0,9.51368,0,157.658,0,1180.31,0,81.8376,0
2920,0,9.75797,0,165.386,0,1268.75,0,88.6075,0
2940,0,10.081,0,171.862,0,1353.03,0,95.0796,0
2960,0,10.4222,0,178.352,0,1450.56,0,103.875,0
2980,0,10.8103,0,185.415,0,1546.1,0,112.097,0
3000,0,11.1469,0,191.823,0,1626.05,0,117.995,0
3020,0,11.4616,0,196.955,0,1688.28,0,121.189,0
3040,0,11.8252,0,205.8,0,1762.18,0,124.286,0
3060,0,12.1928,0,216.566,0,1840.24,0,127.421,0
3080,0,12.4833,0,222.858,0,1904.49,0,131.591,0
3100,0,12.6625,0,228.146,0,1974.45,0,136.679,0
3120,0,12.8021,0,233.718,0,2043.08,0,141.782,0
3140,0,13.0234,0,239.977,0,2114.13,0,146.612,0
3160,0,13.3249,0,246.26,0,2163.21,0,148.664,0
3180,0,13.6658,0,254.344,0,2208.1,0,149.228,0
3200,0,13.8941,0,258.97,0,2249.04,0,150.071,0
3220,0,7.62544,0,140.704,0,1215.91,0,78.7577,0
3240,0,6.69398,0,125.681,0,1119.8,0,74.1596,0
3260,0,7.12925,0,133.583,0,1199.64,0,81.1454,0
3280,0,7.61187,0,142.281,0,1287.17,0,88.0113,0
3300,0,7.98555,0,151.298,0,1380.39,0,95.2676,0
3320,0,8.35209,0,160.39,0,1482.09,0,103.055,0
3340,0,8.59932,0,167.688,0,1574.49,0,109.933,0
3360,0,8.76245,0,173.784,0,1660.99,0,115.981,0
3380,0,8.92593,0,178.748,0,1728.22,0,120.102,0
3400,0,9.2041,0,184.511,0,1795.83,0,123.16,0
3420,0,9.49804,0,188.535,0,1847.15,0,124.709,0
3440,0,9.82305,0,194.054,0,1913.2,0,127.409,0
3460,0,10.1771,0,200.194,0,1968.53,0,129.213,0
3480,0,10.5294,0,206.581,0,2021.16,0,131.328,0
3500,0,10.8918,0,214.948,0,2076.65,0,134.04,0
3520,0,11.2405,0,221.026,0,2128.24,0,137.03,0
3540,0,5.2327,0,103.007,0,1003.06,0,64.6028,0
3560,0,5.67196,0,113.098,0,1098.47,0,72.0118,0
3580,0,6.05902,0,122.34,0,1197.18,0,79.5056,0
3600,0,6.34729,0,129.327,0,1290.69,0,86.0952,0
3620,0,6.72483,0,138.761,0,1395.3,0,93.6973,0
3640,0,7.07403,0,147.308,0,1496.81,0,100.395,0
3660,0,7.31047,0,155,0,1561.15,0,103.496,0
3680,0,7.46288,0,162.066,0,1622.24,0,107.032,0
3700,0,7.68473,0,168.839,0,1684.97,0,110.396,0
3720,0,7.84022,0,174.411,0,1740.79,0,113.501,0
3740,0,8.02434,0,179.472,0,1799.06,0,116.727,0
3760,0,8.38499,0,185.402,0,1846.76,0,118.289,0
3780,0,8.70235,0,190.869,0,1892.89,0,120.365,0
3800,0,8.93341,0,197.222,0,1954.31,0,124.299,0
3820,0,9.07669,0,200.856,0,2007.86,0,128.268,0
3840,0,9.25478,0,204.577,0,2050.51,0,129.88,0
3860,0,4.30858,0,96.7017,0,973.199,0,61.3456,0
3880,0,4.61533,0,106.205,0,1055.62,0,67.2971,0
3900,0,4.89939,0,115.972,0,1153.48,0,75.117,0
3920,0,5.23982,0,124.708,0,1249.48,0,81.7819,0
3940,0,5.61384,0,133.022,0,1333.46,0,87.5336,0
3960,0,6.06228,0,140.334,0,1419.82,0,93.8717,0
3980,0,6.4871,0,148.247,0,1522.04,0,101.835,0
4000,0,6.87127,0,154.543,0,1620.23,0,109.129,0
