tick,9,8,7,6,4,2,5,3,1,0
0,0.07,0.11,0.12,0.04,0.14,0.09,0.15,0.07,0.06,0.03
20,0.08,0.13,0.09,0.16,0.04,0.06,0.15,0.06,0.08,0.06
40,0.14,0.11,0.07,0.11,0.17,0.16,0.1,0.09,0.06,0.05
60,0.25,0.14,0.17,0.13,0.18,0.1,0.2,0.34,0.09,0.05
80,0.31,0.11,0.24,0.14,0.27,0.13,0.22,0.22,0.11,0.04
100,0.27,0.18,0.28,0.14,0.23,0.09,0.33,0.25,0.1,0.05
120,0.29,0.17,0.19,0.09,0.24,0.15,0.28,0.23,0.16,0.07
140,0.31,0.11,0.31,0.13,0.29,0.15,0.27,0.43,0.12,0.04
160,0.27,0.28,0.22,0.12,0.25,0.18,0.26,0.33,0.07,0.03
180,0.3,0.33,0.3,0.29,0.2,0.16,0.25,0.41,0.05,0.06
200,0.33,0.2,0.28,0.16,0.23,0.19,0.31,0.41,0.09,0.03
220,0.34,0.19,0.19,0.27,0.26,0.23,0.31,0.38,0.1,0.05
240,0.33,0.21,0.27,0.31,0.33,0.23,0.3,0.42,0.2,0.04
260,0.36,0.31,0.35,0.25,0.34,0.09,0.25,0.45,0.3,0.05
280,0.33,0.23,0.23,0.23,0.27,0.19,0.27,0.4,0.31,0.07
300,0.44,0.29,0.24,0.21,0.34,0.16,0.27,0.36,0.34,0.12
320,0.23,0.32,0.17,0.27,0.24,0.14,0.42,0.41,0.23,0.13
340,0.31,0.26,0.13,0.14,0.31,0.11,0.27,0.35,0.11,0.17
360,0.28,0.22,0.17,0.09,0.16,0.11,0.11,0.35,0.1,0.15
380,0.2,0.19,0.08,0.07,0.17,0.12,0.1,0.2,0.15,0.13
400,0.27,0.06,0.11,0.12,0.19,0.11,0.14,0.13,0.09,0.06
420,0.24,0.13,0.15,0.13,0.26,0.16,0.15,0.34,0.08,0.18
440,0.32,0.12,0.16,0.12,0.31,0.24,0.3,0.37,0.06,0.11
460,0.26,0.13,0.23,0.11,0.3,0.21,0.32,0.34,0.1,0.12
480,0.35,0.25,0.28,0.12,0.25,0.21,0.2,0.4,0.11,0.09
500,0.27,0.18,0.3,0.25,0.23,0.16,0.33,0.32,0.15,0.13
520,0.3,0.18,0.31,0.18,0.25,0.17,0.21,0.49,0.23,0.17
540,0.26,0.25,0.2,0.21,0.22,0.13,0.26,0.34,0.18,0.1
560,0.37,0.34,0.26,0.23,0.34,0.2,0.26,0.31,0.28,0.09
580,0.3,0.26,0.3,0.18,0.3,0.18,0.34,0.38,0.26,0.11
600,0.39,0.43,0.32,0.32,0.25,0.25,0.33,0.33,0.27,0.07
620,0.35,0.34,0.26,0.26,0.24,0.15,0.3,0.42,0.19,0.09
640,0.23,0.31,0.27,0.25,0.19,0.16,0.27,0.29,0.14,0.03
660,0.23,0.29,0.17,0.23,0.21,0.16,0.28,0.43,0.25,0.13
680,0.25,0.36,0.22,0.17,0.15,0.13,0.15,0.45,0.2,0.1
700,0.14,0.27,0.15,0.19,0.08,0.16,0.1,0.27,0.13,0.16
720,0.2,0.22,0.25,0.13,0.27,0.14,0.25,0.2,0.09,0.07
740,0.26,0.19,0.12,0.15,0.23,0.21,0.31,0.31,0.14,0.06
760,0.25,0.25,0.3,0.12,0.18,0.17,0.28,0.4,0.12,0.1
780,0.29,0.24,0.21,0.27,0.22,0.18,0.26,0.28,0.16,0.12
800,0.2,0.25,0.25,0.26,0.31,0.15,0.35,0.38,0.2,0.09
820,0.27,0.19,0.26,0.29,0.19,0.2,0.22,0.34,0.14,0.06
840,0.28,0.27,0.32,0.31,0.35,0.12,0.27,0.29,0.31,0.09
860,0.42,0.28,0.24,0.25,0.31,0.19,0.32,0.35,0.17,0.11
880,0.46,0.3,0.29,0.28,0.28,0.23,0.39,0.42,0.25,0.07
900,0.46,0.31,0.22,0.26,0.34,0.25,0.29,0.41,0.27,0.05
920,0.52,0.37,0.22,0.29,0.38,0.22,0.28,0.38,0.32,0.1
940,0.48,0.36,0.25,0.26,0.28,0.18,0.28,0.47,0.22,0.11
960,0.22,0.31,0.28,0.28,0.33,0.14,0.24,0.44,0.25,0.07
980,0.42,0.39,0.18,0.24,0.28,0.16,0.3,0.35,0.21,0.06
1000,0.23,0.29,0.23,0.17,0.22,0.17,0.26,0.18,0.18,0.09
1020,0.25,0.26,0.2,0.07,0.16,0.11,0.23,0.2,0.16,0.06
1040,0.25,0.27,0.21,0.13,0.31,0.18,0.33,0.21,0.11,0.18
1060,0.29,0.23,0.17,0.13,0.27,0.18,0.33,0.42,0.08,0.07
1080,0.25,0.18,0.27,0.11,0.26,0.14,0.32,0.38,0.09,0.09
1100,0.29,0.26,0.25,0.24,0.28,0.18,0.32,0.42,0.11,0.08
1120,0.35,0.33,0.24,0.26,0.25,0.23,0.26,0.35,0.17,0.11
1140,0.38,0.32,0.27,0.3,0.28,0.16,0.32,0.36,0.25,0.05
1160,0.31,0.33,0.24,0.27,0.25,0.18,0.17,0.3,0.2,0.08
1180,0.31,0.35,0.27,0.24,0.24,0.21,0.25,0.34,0.22,0.16
1200,0.41,0.28,0.27,0.3,0.32,0.23,0.26,0.4,0.25,0.12
1220,0.4,0.42,0.34,0.34,0.3,0.16,0.36,0.47,0.28,0.1
1240,0.52,0.36,0.25,0.3,0.3,0.23,0.28,0.45,0.22,0.07
1260,0.39,0.4,0.27,0.3,0.25,0.22,0.22,0.45,0.3,0.1
1280,0.31,0.29,0.27,0.18,0.22,0.21,0.24,0.43,0.23,0.13
1300,0.33,0.36,0.13,0.22,0.28,0.16,0.31,0.4,0.21,0.13
1320,0.22,0.31,0.18,0.17,0.25,0.27,0.36,0.38,0.17,0.1
1340,0.27,0.3,0.22,0.1,0.22,0.14,0.38,0.45,0.16,0.16
1360,0.26,0.21,0.22,0.23,0.25,0.21,0.31,0.3,0.26,0.12
1380,0.29,0.28,0.27,0.22,0.3,0.27,0.23,0.41,0.15,0.18
1400,0.32,0.22,0.35,0.22,0.34,0.13,0.36,0.33,0.21,0.08
1420,0.35,0.3,0.28,0.2,0.22,0.22,0.19,0.4,0.24,0.16
1440,0.32,0.33,0.21,0.31,0.34,0.13,0.31,0.43,0.21,0.16
1460,0.44,0.33,0.19,0.26,0.3,0.15,0.26,0.44,0.19,0.21
1480,0.39,0.37,0.21,0.25,0.32,0.26,0.31,0.5,0.24,0.25
1500,0.38,0.35,0.23,0.25,0.38,0.17,0.42,0.42,0.28,0.22
1520,0.53,0.39,0.35,0.26,0.36,0.22,0.31,0.31,0.29,0.15
1540,0.38,0.32,0.28,0.26,0.32,0.15,0.3,0.4,0.27,0.21
1560,0.48,0.41,0.31,0.28,0.29,0.19,0.37,0.42,0.27,0.16
1580,0.42,0.36,0.28,0.28,0.26,0.19,0.32,0.38,0.28,0.2
1600,0.37,0.4,0.18,0.3,0.43,0.22,0.24,0.43,0.27,0.19
1620,0.42,0.37,0.24,0.32,0.25,0.24,0.42,0.45,0.19,0.23
1640,0.3,0.28,0.19,0.3,0.27,0.21,0.39,0.33,0.22,0.19
1660,0.37,0.38,0.29,0.17,0.27,0.18,0.42,0.35,0.27,0.26
1680,0.44,0.3,0.23,0.38,0.25,0.28,0.33,0.32,0.25,0.16
1700,0.33,0.3,0.23,0.28,0.2,0.27,0.41,0.35,0.19,0.15
1720,0.38,0.34,0.35,0.27,0.27,0.27,0.34,0.44,0.3,0.19
1740,0.38,0.35,0.32,0.31,0.26,0.25,0.28,0.5,0.26,0.25
1760,0.34,0.29,0.22,0.3,0.27,0.25,0.31,0.45,0.22,0.26
1780,0.51,0.33,0.26,0.36,0.25,0.31,0.21,0.43,0.3,0.26
1800,0.51,0.35,0.28,0.33,0.39,0.26,0.27,0.44,0.33,0.22
1820,0.5,0.38,0.32,0.37,0.36,0.21,0.27,0.44,0.35,0.27
1840,0.43,0.44,0.22,0.39,0.3,0.26,0.32,0.49,0.35,0.21
1860,0.43,0.35,0.28,0.34,0.31,0.29,0.41,0.5,0.25,0.24
1880,0.47,0.48,0.23,0.41,0.44,0.18,0.36,0.39,0.3,0.24
1900,0.48,0.37,0.29,0.42,0.31,0.15,0.45,0.55,0.33,0.28
1920,0.39,0.38,0.26,0.37,0.34,0.21,0.41,0.42,0.34,0.28
1940,0.41,0.32,0.24,0.3,0.35,0.3,0.28,0.41,0.32,0.19
