tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,1046.84,0,11614,0,146921,0,2313.53,0
20,0,1047.06,0,11615.4,0,146923,0,2316.38,0
40,0,1047.46,0,11620.6,0,146933,0,2324.8,0
60,0,1046.5,0,11622.7,0,146940,0,2331.97,0
80,0,1045.62,0,11626.1,0,146948,0,2339.97,0
100,0,1045.06,0,11631.8,0,146956,0,2349.39,0
120,0,924.275,0,11639.4,0,146968,0,2361,0
140,0,1044.9,0,11646.8,0,146979,0,2371.69,0
160,0,1045.06,0,11653.5,0,146986,0,2380.89,0
180,0,1045.56,0,11662.3,0,146995,0,2392.06,0
200,0,1046.31,0,11672.5,0,147005,0,2404.26,0
220,0,1046.98,0,11680.9,0,147011,0,2413.93,0
240,0,1047.64,0,11689.1,0,147015,0,2422.62,0
260,0,1048.19,0,11695.6,0,147017,0,2429.36,0
280,0,1048.67,0,11700.9,0,147017,0,2434.85,0
300,0,1049.37,0,11707.7,0,147016,0,2442.14,0
320,0,453.721,0,5064.89,0,63485.9,0,1063.88,0
340,0,456.129,0,5079.61,0,63495.4,0,1075.19,0
360,0,460.033,0,5102.1,0,63515.6,0,1090.38,0
380,0,465.406,0,5132.36,0,63546.3,0,1109.4,0
400,0,471.863,0,5170.02,0,63586,0,1132.54,0
420,0,478.055,0,5208.34,0,63626.3,0,1156.33,0
440,0,482.838,0,5239.5,0,63660.9,0,1177.16,0
460,0,486.145,0,5261.33,0,63686.5,0,1191.54,0
480,0,489.342,0,5283.42,0,63712.7,0,1205.18,0
500,0,492.601,0,5305.79,0,63739.3,0,1218.46,0
520,0,436.301,0,5324.74,0,63763.5,0,1230.39,0
540,0,498.511,0,5344.99,0,63790,0,1243.2,0
560,0,501.322,0,5362.87,0,63814.5,0,1254.46,0
580,0,503.592,0,5377.5,0,63833.5,0,1264,0
600,0,505.845,0,5392.14,0,63852.6,0,1273.84,0
620,0,507.931,0,5405.85,0,63870.1,0,1283.52,0
