tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,452.684,0,5070.29,0,64191.8,0,1015.38,0
20,0,8.23517,0,94.336,0,1193.04,0,19.028,0
40,0,0.166853,0,4.23807,0,23.1326,0,1.85759,0
60,0,0.134087,0,4.45658,0,22.6957,0,2.04899,0
80,0,0.135694,0,3.91241,0,20.5559,0,1.82247,0
100,0,0.0955017,0,3.26072,0,16.6894,0,1.49743,0
120,0,0.0694104,0,2.28383,0,11.7241,0,0.969516,0
140,0,0.0583163,0,1.83886,0,9.78263,0,0.842824,0
160,0,0.0506808,0,1.39426,0,7.12825,0,0.617246,0
180,0,0.0558368,0,1.51086,0,7.56772,0,0.635691,0
200,0,0.0796219,0,1.91664,0,9.45674,0,0.810241,0
220,0,0.0479334,0,1.27002,0,6.65666,0,0.587493,0
240,0,0.0938869,0,1.7137,0,7.94124,0,0.658293,0
260,0,0.0609317,0,1.03458,0,4.83113,0,0.412021,0
280,0,0.0978603,0,1.41897,0,6.34043,0,0.559283,0
300,0,0.121725,0,1.56794,0,6.54258,0,0.583039,0
320,0,0.0908535,0,1.09916,0,4.46049,0,0.410211,0
340,0,0.182183,0,2.04625,0,8.16795,0,0.757534,0
360,0,0.0793104,0,1.11721,0,5.51,0,0.526698,0
380,0,0.278526,0,2.78875,0,10.3457,0,0.967173,0
400,0,0.304386,0,2.97175,0,11.5172,0,1.09347,0
420,0,0.190921,0,1.97672,0,9.0036,0,0.866207,0
440,0,0.303405,0,2.81641,0,12.631,0,1.28955,0
460,0,0.459481,0,3.98461,0,16.6976,0,1.71025,0
480,0,0.269739,0,2.47293,0,12.5115,0,1.27132,0
500,0,0.308707,0,2.86812,0,16.3689,0,1.64221,0
520,0,0.470443,0,3.85536,0,18.2929,0,1.94185,0
540,0,0.586446,0,4.62225,0,21.4454,0,2.1984,0
560,0,0.620139,0,4.65449,0,22.0266,0,2.32231,0
580,0,0.39793,0,3.13233,0,20.1854,0,2.25263,0
600,0,0.846647,0,5.94297,0,31.4646,0,3.80205,0
620,0,0.866217,0,5.86437,0,29.5614,0,3.26444,0
640,0,0.953891,0,6.91852,0,46.3652,0,4.91367,0
660,0,1.51565,0,9.83302,0,47.3992,0,5.50764,0
680,0,1.11825,0,7.2891,0,46.3199,0,5.71382,0
700,0,0.669115,0,5.40615,0,63.2841,0,7.92297,0
720,0,0.783612,0,6.34028,0,64.0625,0,7.5484,0
740,0,0.77584,0,6.55268,0,72.1595,0,9.11936,0
760,0,0.566037,0,5.74454,0,84.3333,0,11.376,0
780,0,0.293936,0,4.0797,0,65.2955,0,7.71897,0
800,0,0.506787,0,7.46277,0,123.393,0,17.3472,0
820,0,0.395136,0,6.85897,0,123.79,0,14.5931,0
840,0,0.406861,0,6.13692,0,92.8654,0,11.3725,0
860,0,0.331158,0,7.07523,0,107.385,0,12.1151,0
880,0,0.295097,0,5.74648,0,113.651,0,13.0075,0
900,0,0.276815,0,5.71472,0,77.7961,0,7.93698,0
920,0,0.217021,0,6.01049,0,101.795,0,10.1133,0
940,0,0.338164,0,6.90667,0,127.166,0,13.0075,0
960,0,0.20767,0,5.45862,0,85.5426,0,8.45285,0
980,0,0.27078,0,7.17977,0,120.87,0,11.9157,0
1000,0,0.27291,0,7.79384,0,119.01,0,10.4215,0
1020,0,0.220692,0,4.77112,0,73.7872,0,6.6612,0
1040,0,0.211624,0,5.01417,0,67.5867,0,5.9406,0
1060,0,0.175574,0,4.20583,0,58.5434,0,4.93755,0
1080,0,0.217002,0,5.06738,0,71.0975,0,5.57387,0
1100,0,0.228038,0,4.79788,0,62.6193,0,5.02511,0
1120,0,0.191585,0,5.57245,0,67.0574,0,5.27011,0
1140,0,0.245652,0,5.40234,0,74.8837,0,5.59565,0
1160,0,0.270236,0,8.72193,0,97.8131,0,8.11838,0
1180,0,0.304579,0,8.84211,0,94.0303,0,7.82554,0
1200,0,0.247167,0,7.03104,0,79.2865,0,6.85077,0
1220,0,0.126674,0,3.47541,0,47.7007,0,3.63613,0
1240,0,0.178545,0,5.45395,0,73.7272,0,6.38917,0
1260,0,0.159196,0,4.3765,0,58.1028,0,4.68698,0
1280,0,0.215155,0,6.74049,0,75.9761,0,5.75093,0
1300,0,0.159887,0,6.89002,0,87.372,0,6.87515,0
1320,0,0.162128,0,5.75826,0,77.3007,0,6.21859,0
1340,0,0.209037,0,6.31201,0,81.8173,0,6.4801,0
1360,0,0.18508,0,7.65132,0,87.737,0,6.59098,0
1380,0,0.169778,0,6.0094,0,63.1078,0,4.5929,0
1400,0,0.183413,0,5.8779,0,67.7529,0,4.9593,0
1420,0,0.136825,0,4.12047,0,43.6778,0,3.31028,0
1440,0,0.18596,0,4.20754,0,40.2285,0,2.79695,0
1460,0,0.279097,0,6.61536,0,65.2,0,4.59753,0
1480,0,0.211723,0,5.91796,0,69.3695,0,5.23311,0
1500,0,0.2687,0,5.4454,0,69.0459,0,5.18955,0
1520,0,0.219086,0,5.68025,0,67.1724,0,4.741,0
1540,0,0.201837,0,5.83057,0,68.3883,0,4.75912,0
1560,0,0.193789,0,5.79805,0,61.5788,0,4.51196,0
1580,0,0.164264,0,5.10526,0,46.2694,0,3.08429,0
1600,0,0.227401,0,8.28108,0,78.4106,0,5.16425,0
1620,0,0.240453,0,6.89364,0,74.938,0,5.37936,0
1640,0,0.180595,0,3.69361,0,38.2128,0,2.8593,0
1660,0,0.224263,0,6.58809,0,76.7343,0,5.34386,0
1680,0,0.107122,0,3.1091,0,38.6812,0,2.7229,0
1700,0,0.168335,0,4.97266,0,63.6494,0,4.46347,0
1720,0,0.17132,0,5.69285,0,58.9099,0,3.6842,0
1740,0,0.211204,0,6.73447,0,72.7129,0,5.09302,0
1760,0,0.145222,0,5.12485,0,49.1646,0,3.12135,0
1780,0,0.141695,0,4.41713,0,37.6942,0,2.5452,0
1800,0,0.37555,0,12.1497,0,92.3709,0,5.94929,0
1820,0,0.233964,0,7.04068,0,55.3167,0,3.63167,0
1840,0,0.19494,0,6.32298,0,56.4555,0,3.73821,0
1860,0,0.184443,0,5.45805,0,53.1344,0,3.61058,0
1880,0,0.261761,0,6.57739,0,64.101,0,4.35472,0
1900,0,0.217208,0,6.8444,0,56.0231,0,3.81581,0
1920,0,0.197423,0,5.02181,0,50.9037,0,3.49401,0
1940,0,0.295526,0,7.54277,0,69.0663,0,4.85683,0
1960,0,0.257525,0,6.33362,0,62.1414,0,4.07273,0
1980,0,0.274379,0,6.41074,0,59.6564,0,4.12721,0
2000,0,0.192313,0,5.86261,0,45.4669,0,3.04904,0
2020,0,0.212182,0,6.79699,0,59.144,0,3.95222,0
2040,0,0.240716,0,6.41832,0,63.3345,0,4.57073,0
2060,0,0.150527,0,3.94186,0,39.914,0,2.86842,0
2080,0,0.174769,0,5.45436,0,55.7752,0,3.69877,0
2100,0,0.223912,0,6.52037,0,74.1242,0,5.03058,0
2120,0,0.228534,0,8.22707,0,75.9786,0,5.0424,0
2140,0,0.267415,0,9.80192,0,89.4206,0,5.7707,0
2160,0,0.175705,0,6.57851,0,54.9102,0,3.4763,0
2180,0,0.152305,0,5.87796,0,54.9029,0,3.37154,0
2200,0,0.209719,0,8.54483,0,68.396,0,4.22467,0
2220,0,0.160904,0,4.89191,0,40.8034,0,2.40715,0
2240,0,0.126074,0,3.14392,0,31.9083,0,1.94087,0
2260,0,0.154687,0,5.50814,0,62.5836,0,3.74683,0
2280,0,0.104548,0,3.19356,0,34.5805,0,2.07068,0
2300,0,0.195582,0,4.31198,0,52.8187,0,3.14398,0
2320,0,0.157265,0,4.2902,0,49.122,0,2.98189,0
2340,0,0.154032,0,5.3414,0,59.8207,0,4.01751,0
2360,0,0.209458,0,7.9144,0,65.2022,0,4.41912,0
2380,0,0.191607,0,5.93383,0,52.4784,0,3.42431,0
2400,0,0.271107,0,9.16704,0,70.1296,0,4.547,0
