tick,48,46,43,49,42,38,37,33,31,29,44,12,39,11,18,9,36,1,22,8,40,0,17,41,28,19,4,5,45,30,6,3,47,16,7,10,35,27,13,15,34,14,32,26,20,21,23,24,2,25
0,0.03,0.13,0.07,0.05,0.14,0.12,0.08,0.02,0.05,0.12,0.07,0.1,0.05,0.12,0.17,0.12,0.07,0.06,0.03,0.11,0.11,0.1,0.2,0.12,0.09,0.2,0.09,0.16,0.11,0.05,0.12,0.08,0.12,0.1,0.13,0.15,0.08,0.13,0.05,0.16,0.08,0.09,0.08,0.07,0.09,0.1,0.11,0.07,0.09,0.01
10,0.11,0.15,0.12,0.13,0.12,0.14,0.15,0.04,0.19,0.14,0.13,0.17,0.12,0.08,0.18,0.21,0.11,0.03,0.12,0.07,0.11,0.07,0.06,0.03,0.09,0.18,0.07,0.15,0.1,0.12,0.07,0.15,0.13,0.05,0.09,0.18,0.13,0.27,0.11,0.12,0.13,0.27,0.1,0.18,0.19,0.09,0.11,0.14,0.09,0.06
20,0.12,0.2,0.08,0.14,0.13,0.19,0.16,0.08,0.27,0.09,0.2,0.09,0.17,0.05,0.25,0.14,0.17,0.05,0.18,0.1,0.13,0.09,0.15,0.1,0.16,0.1,0.07,0.08,0.16,0.14,0.13,0.14,0.19,0.14,0.11,0.18,0.19,0.16,0.17,0.1,0.17,0.17,0.23,0.2,0.23,0.14,0.08,0.3,0.06,0.18
30,0.19,0.16,0.2,0.25,0.2,0.14,0.18,0.11,0.18,0.13,0.26,0.11,0.28,0.12,0.22,0.17,0.33,0.05,0.15,0.14,0.27,0.13,0.07,0.14,0.12,0.12,0.05,0.17,0.21,0.14,0.09,0.09,0.26,0.13,0.07,0.23,0.22,0.26,0.24,0.17,0.16,0.16,0.27,0.18,0.15,0.19,0.2,0.22,0.29,0.12
40,0.15,0.18,0.15,0.23,0.07,0.13,0.15,0.26,0.3,0.22,0.11,0.11,0.26,0.03,0.23,0.18,0.17,0.03,0.16,0.04,0.14,0.18,0.07,0.27,0.12,0.12,0.11,0.09,0.17,0.09,0.17,0.08,0.22,0.17,0.12,0.13,0.1,0.18,0.22,0.2,0.21,0.11,0.26,0.14,0.15,0.18,0.09,0.14,0.12,0.09
50,0.23,0.18,0.28,0.35,0.14,0.19,0.22,0.2,0.28,0.13,0.18,0.23,0.26,0.11,0.37,0.23,0.2,0.1,0.12,0.05,0.21,0.13,0.07,0.31,0.15,0.17,0.03,0.06,0.27,0.13,0.21,0.12,0.22,0.18,0.11,0.07,0.21,0.17,0.1,0.18,0.1,0.13,0.23,0.2,0.14,0.15,0.07,0.18,0.09,0.11
60,0.2,0.23,0.3,0.28,0.19,0.23,0.08,0.22,0.18,0.16,0.23,0.13,0.3,0.16,0.36,0.18,0.15,0.16,0.07,0.01,0.19,0.3,0.14,0.34,0.21,0.11,0.08,0.06,0.23,0.1,0.15,0.1,0.28,0.24,0.07,0.15,0.22,0.24,0.07,0.15,0.11,0.1,0.24,0.13,0.12,0.24,0.08,0.21,0.1,0.07
70,0.17,0.21,0.35,0.1,0.22,0.09,0.13,0.35,0.16,0.15,0.25,0.12,0.19,0.05,0.44,0.19,0.13,0.01,0.16,0.07,0.2,0.13,0.07,0.42,0.13,0.06,0.11,0.06,0.13,0.06,0.03,0.11,0.18,0.22,0.06,0.11,0.21,0.15,0.09,0.18,0.1,0.15,0.25,0.18,0.13,0.18,0.18,0.21,0.08,0.14
80,0.24,0.12,0.3,0.11,0.13,0.12,0.11,0.22,0.14,0.17,0.21,0.23,0.33,0.14,0.58,0.24,0.16,0.07,0.15,0.07,0.14,0.26,0.1,0.41,0.12,0.14,0.11,0.08,0.12,0.11,0.16,0.1,0.25,0.2,0.08,0.15,0.12,0.19,0.11,0.27,0.13,0.13,0.29,0.22,0.15,0.26,0.2,0.14,0.15,0.23
90,0.22,0.21,0.39,0.15,0.19,0.16,0.2,0.15,0.21,0.21,0.17,0.09,0.39,0.1,0.53,0.26,0.17,0.09,0.19,0.14,0.19,0.28,0.13,0.4,0.2,0.12,0.02,0.13,0.17,0.09,0.14,0.11,0.15,0.3,0,0.08,0.13,0.22,0.14,0.26,0.09,0.21,0.25,0.23,0.06,0.3,0.08,0.23,0.12,0.07
100,0.15,0.14,0.41,0.12,0.19,0.3,0.16,0.11,0.22,0.12,0.26,0.13,0.3,0.15,0.47,0.31,0.18,0.11,0.15,0.06,0.22,0.32,0.1,0.44,0.16,0.17,0.09,0.09,0.17,0.2,0.18,0.11,0.2,0.19,0.07,0.08,0.19,0.17,0.06,0.42,0.05,0.16,0.36,0.25,0.13,0.14,0.16,0.2,0.12,0.17
110,0.25,0.15,0.33,0.13,0.19,0.22,0.2,0.11,0.21,0.19,0.17,0.16,0.37,0.18,0.49,0.28,0.14,0.16,0.1,0.17,0.19,0.5,0.18,0.43,0.13,0.12,0.11,0.07,0.22,0.11,0.16,0.12,0.28,0.18,0.06,0.06,0.19,0.18,0.07,0.32,0.11,0.14,0.35,0.18,0.21,0.23,0.13,0.2,0.13,0.17
120,0.09,0.06,0.26,0.13,0.16,0.31,0.22,0.12,0.12,0.15,0.19,0.08,0.38,0.16,0.6,0.34,0.13,0.12,0.08,0.18,0.14,0.35,0.21,0.45,0.15,0.05,0.11,0.12,0.23,0.17,0.04,0.11,0.22,0.17,0.05,0.12,0.14,0.13,0.13,0.3,0.14,0.24,0.26,0.17,0.13,0.16,0.16,0.21,0.18,0.19
130,0.2,0.13,0.44,0.13,0.19,0.25,0.2,0.05,0.16,0.12,0.2,0.16,0.26,0.21,0.52,0.29,0.16,0.17,0.11,0.12,0.16,0.44,0.15,0.51,0.15,0.22,0.06,0.13,0.2,0.15,0.08,0.12,0.22,0.25,0.1,0.12,0.13,0.24,0.15,0.42,0.14,0.1,0.37,0.16,0.12,0.2,0.14,0.22,0.16,0.18
140,0.11,0.14,0.34,0.08,0.21,0.23,0.18,0.11,0.15,0.23,0.18,0.11,0.32,0.12,0.43,0.34,0.2,0.11,0.05,0.2,0.12,0.23,0.23,0.5,0.14,0.19,0.14,0.11,0.21,0.2,0.09,0.1,0.27,0.1,0.06,0.16,0.13,0.17,0.17,0.42,0.1,0.19,0.31,0.14,0.11,0.26,0.2,0.23,0.17,0.13
150,0.12,0.13,0.37,0.12,0.21,0.2,0.17,0.14,0.17,0.22,0.17,0.16,0.26,0.2,0.53,0.31,0.13,0.19,0.2,0.26,0.15,0.16,0.18,0.54,0.09,0.18,0.15,0.09,0.11,0.19,0.13,0.16,0.16,0.15,0.1,0.11,0.18,0.18,0.13,0.35,0.06,0.15,0.36,0.14,0.12,0.22,0.21,0.25,0.16,0.08
