tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,450.858,0,5166.72,0,65276.7,0,1040.73,0
20,0,450.805,0,5166.6,0,65275.4,0,1040.59,0
40,0,152.692,0,1750.49,0,22112,0,352.82,0
60,0,152.666,0,1751.22,0,22111.5,0,353.51,0
80,0,51.1557,0,588.576,0,7407.95,0,120.02,0
100,0,17.3551,0,200.783,0,2512.8,0,41.995,0
120,0,17.4045,0,204.101,0,2519.34,0,44.8272,0
140,0,6.05882,0,73.523,0,876.503,0,17.9717,0
160,0,6.15031,0,78.6576,0,888.553,0,21.3212,0
180,0,2.17129,0,33.0204,0,311.218,0,10.7956,0
200,0,1.13934,0,21.9629,0,162.946,0,7.66517,0
220,0,1.00485,0,21.2038,0,138.77,0,7.86982,0
240,0,0.514596,0,11.9097,0,66.0908,0,4.53533,0
260,0,0.620882,0,16.2762,0,85.8375,0,6.2611,0
280,0,0.394211,0,10.2095,0,51.4127,0,4.05835,0
300,0,0.348318,0,8.84904,0,43.2195,0,3.427,0
320,0,0.382039,0,9.88616,0,48.6925,0,3.89846,0
340,0,0.247991,0,6.40097,0,32.5598,0,2.67795,0
360,0,0.452927,0,10.2333,0,51.4173,0,4.29348,0
380,0,0.301531,0,7.66038,0,41.5191,0,3.76205,0
400,0,0.324522,0,7.20527,0,40.389,0,3.75154,0
420,0,0.440166,0,9.03109,0,48.565,0,4.46334,0
440,0,0.55511,0,7.60415,0,38.5223,0,3.40425,0
460,0,0.48671,0,6.63641,0,35.0676,0,3.24339,0
480,0,0.79404,0,9.55845,0,49.0957,0,4.36843,0
500,0,0.949978,0,10.1934,0,50.7916,0,4.74925,0
520,0,0.726293,0,9.96754,0,60.8232,0,5.90773,0
540,0,0.436209,0,6.88135,0,44.2348,0,4.28316,0
560,0,0.613901,0,8.58105,0,52.0433,0,5.02811,0
580,0,0.391703,0,7.97266,0,59.325,0,5.96113,0
600,0,1.33812,0,12.5191,0,66.6997,0,6.72364,0
620,0,1.02766,0,12.0488,0,79.4059,0,7.74992,0
640,0,1.37262,0,12.0539,0,64.9514,0,6.24869,0
660,0,1.17158,0,12.5466,0,90.063,0,9.14939,0
680,0,1.27896,0,13.2817,0,95.1685,0,9.47656,0
700,0,0.781353,0,9.74373,0,84.1995,0,8.14971,0
720,0,0.726098,0,11.4164,0,105.001,0,10.5492,0
740,0,1.86426,0,15.5403,0,99.2313,0,9.70331,0
760,0,1.41434,0,13.9592,0,99.9099,0,9.55158,0
780,0,1.00593,0,12.8303,0,107.75,0,9.74711,0
800,0,0.988391,0,11.2088,0,110.466,0,10.4169,0
820,0,0.668914,0,12.2134,0,132.006,0,12.0904,0
840,0,0.669842,0,11.2172,0,117.13,0,11.163,0
860,0,0.568155,0,11.7114,0,132.082,0,11.9012,0
880,0,0.863588,0,11.8959,0,127.069,0,11.8861,0
900,0,0.614776,0,9.64149,0,108.984,0,10.0002,0
920,0,0.621158,0,13.5487,0,153.597,0,14.7163,0
940,0,0.674906,0,12.4701,0,137.982,0,12.6427,0
960,0,0.742782,0,16.1077,0,170.486,0,15.3979,0
980,0,0.662171,0,15.5306,0,168.943,0,14.9336,0
1000,0,0.701985,0,15.7987,0,170.913,0,14.5986,0
1020,0,0.657903,0,14.6536,0,182.247,0,16.2598,0
1040,0,0.652239,0,14.3597,0,153.277,0,13.9075,0
1060,0,0.795596,0,14.8504,0,156.463,0,13.4227,0
1080,0,0.79426,0,17.1448,0,186.652,0,15.3556,0
1100,0,0.584534,0,13.5103,0,154.798,0,12.7236,0
1120,0,0.655822,0,14.6193,0,162.294,0,12.9463,0
1140,0,0.562171,0,11.7799,0,132.376,0,10.4348,0
1160,0,0.787282,0,14.2819,0,150.798,0,11.4905,0
1180,0,0.931825,0,16.6516,0,170.537,0,13.3554,0
1200,0,0.792187,0,14.8216,0,166.179,0,13.5035,0
1220,0,0.852708,0,17.1907,0,167.276,0,13.1432,0
1240,0,0.797481,0,15.9625,0,172.765,0,13.0601,0
1260,0,0.669341,0,14.2447,0,157.302,0,11.6508,0
1280,0,0.616422,0,14.8167,0,162.153,0,12.0472,0
1300,0,0.613608,0,15.4043,0,181.011,0,13.6822,0
1320,0,0.749227,0,17.3631,0,189.551,0,13.9009,0
1340,0,0.726429,0,15.6405,0,169.016,0,12.6214,0
1360,0,0.75983,0,14.7956,0,162.137,0,12.1801,0
1380,0,0.746709,0,16.7746,0,184.964,0,13.4939,0
1400,0,0.473327,0,10.9889,0,116.132,0,8.37171,0
1420,0,0.727339,0,15.1595,0,165.277,0,12.2259,0
1440,0,0.689497,0,13.166,0,144.703,0,10.4249,0
1460,0,0.496273,0,11.1935,0,119.591,0,8.27136,0
1480,0,0.68145,0,14.9087,0,168.796,0,12.5716,0
1500,0,0.481252,0,11.3902,0,128.692,0,9.3919,0
1520,0,0.787505,0,17.9106,0,204.96,0,15.4244,0
1540,0,0.62671,0,14.5064,0,167.372,0,12.6547,0
1560,0,0.535931,0,13.5185,0,144.314,0,10.818,0
1580,0,0.525317,0,13.3093,0,149.056,0,11.0779,0
1600,0,0.581956,0,12.7689,0,139.947,0,9.70407,0
1620,0,0.749492,0,15.8812,0,183.316,0,14.0879,0
1640,0,0.547018,0,14.7195,0,161.797,0,12.4192,0
1660,0,0.554346,0,14.1969,0,158.62,0,11.7414,0
1680,0,0.541362,0,11.9906,0,134.145,0,9.55157,0
1700,0,0.56156,0,15.1701,0,179.178,0,12.9879,0
1720,0,0.632297,0,16.7088,0,183.408,0,12.7357,0
1740,0,0.690751,0,14.5368,0,151.804,0,10.5245,0
1760,0,0.873974,0,17.216,0,174.789,0,12.0995,0
1780,0,0.809268,0,14.0931,0,149.842,0,10.3695,0
1800,0,0.70928,0,15.1961,0,149.214,0,10.1787,0
1820,0,1.00288,0,18.5501,0,183.25,0,12.5481,0
1840,0,0.679843,0,15.8619,0,168.704,0,11.8187,0
1860,0,0.534063,0,14.1978,0,148.143,0,9.81641,0
1880,0,0.508565,0,15.2226,0,155.08,0,10.1972,0
1900,0,0.56059,0,15.6057,0,146.552,0,9.93766,0
1920,0,0.585196,0,13.724,0,146.232,0,9.84722,0
1940,0,0.761657,0,14.9735,0,158.567,0,10.5463,0
1960,0,0.763025,0,14.4263,0,142.256,0,9.49256,0
1980,0,0.846463,0,16.8162,0,160.989,0,10.4054,0
2000,0,0.731019,0,17.431,0,163.131,0,10.4195,0
